카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년04월_여_70~79세,"10,363",299,391,292,221,648,353,197,360,199,100,348,534,253,303,333,767,308,"1,041",523,560,253,168,243,587,809,273
2020년04월_여_80~89세,"6,736",270,353,195,111,470,319,169,317,166,103,280,513,180,185,179,440,162,525,202,244,90,83,113,395,523,149
2020년04월_여_90~99세,"1,233",39,57,22,29,77,49,33,53,29,29,48,81,45,29,28,81,33,105,51,49,26,21,11,82,99,27
2020년04월_여_100세 이상,52,0,1,3,0,1,1,1,0,4,0,2,3,4,4,1,6,3,6,1,0,0,2,5,3,1,0
2020년05월_계_총인구수,"280,795","2,750","4,665","18,522","31,522","12,278","2,989","1,842","3,252","1,537",923,"3,280","5,607","2,828","3,855","4,759","24,081","6,474","44,987","7,811","9,131","2,923","2,512","3,201","18,463","40,713","19,890"
2020년05월_계_연령구간인구수,"280,795","2,750","4,665","18,522","31,522","12,278","2,989","1,842","3,252","1,537",923,"3,280","5,607","2,828","3,855","4,759","24,081","6,474","44,987","7,811","9,131","2,923","2,512","3,201","18,463","40,713","19,890"
2020년05월_계_0~9세,"23,901",60,136,"1,635","5,869",868,60,37,68,17,27,78,148,60,156,155,"1,725",373,"3,582",396,393,122,68,114,"2,179","3,674","1,901"
2020년05월_계_10~19세,"30,861",135,224,"2,685","4,748","1,048",102,77,148,39,42,157,292,170,278,377,"2,678",594,"5,646",612,718,196,111,204,"1,723","5,069","2,788"
2020년05월_계_20~29세,"37,122",184,421,"3,147","3,050","1,322",172,130,200,86,60,241,429,261,381,837,"3,778",776,"6,734",928,"1,183",352,296,399,"2,181","6,331","3,243"
2020년05월_계_30~39세,"33,190",120,284,"2,240","6,550","1,191",145,104,163,68,35,147,293,158,336,422,"2,588",656,"5,161",795,802,262,220,288,"2,704","5,002","2,456"
