카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년05월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0,,,,
2020년05월_여_총인구수,"183,859","54,398","21,103","10,653","4,104","7,141",725,"1,239","21,328","30,053","33,115",,,,
2020년05월_여_연령구간인구수,"183,859","54,398","21,103","10,653","4,104","7,141",725,"1,239","21,328","30,053","33,115",,,,
2020년05월_여_0~9세,"17,425","5,535","1,831",710,236,522,21,77,"1,950","2,513","4,030",,,,
2020년05월_여_10~19세,"16,349","4,207","2,312",888,293,545,30,103,"1,990","2,839","3,142",,,,
2020년05월_여_20~29세,"20,954","6,316","2,419","1,261",403,497,55,93,"2,735","3,664","3,511",,,,
2020년05월_여_30~39세,"28,111","9,808","2,756","1,235",409,713,47,99,"3,228","3,979","5,837",,,,
2020년05월_여_40~49세,"30,748","9,026","3,658","1,630",535,"1,044",73,170,"3,539","5,102","5,971",,,,
2020년05월_여_50~59세,"30,662","8,703","3,457","2,028",774,"1,242",115,213,"3,634","5,604","4,892",,,,
2020년05월_여_60~69세,"22,641","6,297","2,566","1,509",747,"1,416",171,219,"2,430","3,778","3,508",,,,
2020년05월_여_70~79세,"11,017","2,991","1,332",817,411,733,129,151,"1,211","1,740","1,502",,,,
2020년05월_여_80~89세,"4,940","1,258",651,480,245,351,74,91,500,697,593,,,,
2020년05월_여_90~99세,939,246,118,81,45,73,10,21,101,119,125,,,,
2020년05월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4,,,,
2020년06월_계_총인구수,"377,525","110,919","44,130","22,901","9,163","14,605","1,492","2,667","43,416","61,090","67,142",,,,
2020년06월_계_연령구간인구수,"377,525","110,919","44,130","22,901","9,163","14,605","1,492","2,667","43,416","61,090","67,142",,,,
2020년06월_계_0~9세,"35,792","11,428","3,753","1,429",501,"1,046",42,152,"4,112","5,075","8,254",,,,
2020년06월_계_10~19세,"33,598","8,688","4,769","1,862",618,"1,193",69,218,"4,017","5,688","6,476",,,,
2020년06월_계_20~29세,"44,547","13,330","5,197","2,857",966,"1,113",112,179,"5,713","7,845","7,235",,,,
2020년06월_계_30~39세,"58,658","20,517","5,799","2,784",962,"1,427",91,238,"6,632","8,527","11,681",,,,
2020년06월_계_40~49세,"65,609","19,448","7,861","3,594","1,348","2,341",162,393,"7,367","10,564","12,531",,,,
2020년06월_계_50~59세,"62,616","17,069","7,585","4,558","1,783","2,517",257,495,"7,372","11,146","9,834",,,,
2020년06월_계_60~69세,"45,889","12,309","5,399","3,303","1,683","2,773",375,508,"4,976","7,586","6,977",,,,
2020년06월_계_70~79세,"21,560","5,768","2,577","1,618",832,"1,533",237,295,"2,297","3,357","3,046",,,,
2020년06월_계_80~89세,"7,953","2,023","1,041",771,398,561,130,160,805,"1,118",946,,,,
