카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년06월_계_70~79세,"24,522","1,236","2,723","1,571","1,283",918,842,"1,548","1,422","1,559","1,229","1,615","1,452","1,119","1,350","2,901","1,754"
2020년06월_계_80~89세,"10,797",635,"1,245",833,625,429,375,659,660,731,523,621,523,511,522,"1,119",786
2020년06월_계_90~99세,"1,614",99,169,147,81,83,45,108,96,126,80,86,71,82,60,179,102
2020년06월_계_100세 이상,326,51,40,27,10,23,12,17,15,27,18,6,16,18,15,14,17
2020년06월_남_총인구수,"176,664","11,663","18,630","10,561","10,319","6,863","5,920","11,353","11,919","11,286","8,572","9,907","9,056","7,403","9,245","18,764","15,203"
2020년06월_남_연령구간인구수,"176,664","11,663","18,630","10,561","10,319","6,863","5,920","11,353","11,919","11,286","8,572","9,907","9,056","7,403","9,245","18,764","15,203"
2020년06월_남_0~9세,"13,121","1,278","1,239",825,"1,111",349,483,889,"1,015",438,642,583,647,321,523,"1,349","1,429"
2020년06월_남_10~19세,"14,695",762,"1,248",887,977,483,558,"1,057",896,632,473,665,805,447,759,"1,883","2,163"
2020년06월_남_20~29세,"28,012","1,361","2,946","1,473","1,088","1,479",883,"1,820","2,233","2,506","1,603","1,632","1,329","1,455","1,495","2,762","1,947"
2020년06월_남_30~39세,"30,972","2,419","3,247","1,782","1,764","1,172",944,"1,845","1,988","2,358","1,805","1,896","1,444","1,549","1,678","3,198","1,883"
2020년06월_남_40~49세,"30,139","2,013","2,887","1,589","2,114","1,062","1,120","1,847","1,982","1,829","1,306","1,615","1,635","1,196","1,634","3,264","3,046"
2020년06월_남_50~59세,"26,730","1,802","3,281","1,704","1,458","1,075",890,"1,795","1,762","1,494","1,129","1,496","1,392",961,"1,361","2,823","2,307"
2020년06월_남_60~69세,"17,934","1,228","2,151","1,256","1,010",676,541,"1,151","1,144",989,860,"1,066",934,776,974,"1,868","1,310"
2020년06월_남_70~79세,"10,380",512,"1,146",695,540,369,338,633,606,684,533,703,632,468,572,"1,169",780
2020년06월_남_80~89세,"4,148",245,432,307,232,172,148,273,265,314,195,227,210,190,225,405,308
2020년06월_남_90~99세,453,29,44,37,22,22,13,38,27,32,23,24,23,34,19,38,28
2020년06월_남_100세 이상,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020년06월_여_총인구수,"197,726","13,227","20,732","11,508","11,498","7,246","6,313","11,979","13,151","13,361","9,902","11,187","10,057","8,366","10,373","22,203","16,623"
