카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020년10월_남_70~79세,"8,071",81,201,420,569,519,365,582,252,305,743,358,614,332,538,211,733,"1,114",134,
2020년10월_남_80~89세,"2,490",15,59,127,149,165,92,183,78,117,238,85,159,142,232,82,195,300,72,
2020년10월_남_90~99세,254,2,10,11,15,12,9,16,8,13,19,5,22,17,26,6,26,31,6,
2020년10월_남_100세 이상,36,0,1,3,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2,
2020년10월_여_총인구수,"153,283",904,"2,152","5,067","7,286","7,490","5,515","8,606","5,913","5,402","16,851","6,794","13,296","7,523","11,033","6,528","16,482","25,485",956,
2020년10월_여_연령구간인구수,"153,283",904,"2,152","5,067","7,286","7,490","5,515","8,606","5,913","5,402","16,851","6,794","13,296","7,523","11,033","6,528","16,482","25,485",956,
2020년10월_여_0~9세,"11,576",31,78,191,350,436,462,482,486,210,"1,427",521,"1,188",517,737,507,"1,529","2,392",32,
2020년10월_여_10~19세,"15,046",44,131,285,479,626,564,775,700,372,"2,050",596,"1,597",550,936,725,"2,100","2,484",32,
2020년10월_여_20~29세,"18,460",103,242,606,924,858,620,"1,131",733,784,"2,024",805,"1,506",879,"1,264",813,"1,760","3,320",88,
2020년10월_여_30~39세,"20,791",102,213,553,890,876,650,940,766,652,"2,107","1,171","1,551","1,253","1,514","1,040","2,162","4,258",93,
2020년10월_여_40~49세,"26,419",131,286,692,"1,012","1,171",951,"1,286","1,150",777,"3,269","1,173","2,579","1,254","1,825","1,256","3,248","4,270",89,
2020년10월_여_50~59세,"25,342",179,389,980,"1,272","1,341",903,"1,607",980,"1,106","2,783","1,073","2,217","1,165","1,729","1,042","2,432","3,978",166,
