카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년04월_계_90~99세,"1,300",35,106,29,56,55,43,45,31,39,102,16,90,27,60,69,79,67,91,50,77,38,40,55
2020년04월_계_100세 이상,84,5,10,1,2,4,5,0,4,0,15,1,7,1,1,4,4,1,1,3,5,1,7,2
2020년04월_남_총인구수,"217,681","2,043","11,440","2,298","9,522","10,076","4,842","5,667","4,647","4,569","9,448","4,064","13,791","3,504","15,403","18,832","11,325","12,360","18,364","8,749","13,647","14,434","6,544","12,112"
2020년04월_남_연령구간인구수,"217,681","2,043","11,440","2,298","9,522","10,076","4,842","5,667","4,647","4,569","9,448","4,064","13,791","3,504","15,403","18,832","11,325","12,360","18,364","8,749","13,647","14,434","6,544","12,112"
2020년04월_남_0~9세,"17,860",83,"1,248",95,"1,197",962,139,323,160,175,684,105,"1,101",198,"1,490","2,404",748,907,"1,465",538,965,"1,300",358,"1,215"
2020년04월_남_10~19세,"23,203",126,"1,061",140,"1,176","1,196",279,522,265,287,614,217,"1,576",247,"1,867","1,634","1,016","1,378","2,786",880,"1,439","2,437",339,"1,721"
2020년04월_남_20~29세,"32,972",268,"1,344",289,"1,104","1,311",648,993,"1,265",746,"1,659","1,287","2,237",460,"1,688","2,197","1,977","1,987","2,921","1,422","2,378","2,213",815,"1,763"
2020년04월_남_30~39세,"28,243",224,"1,872",260,"1,401","1,234",462,646,663,628,"1,304",612,"1,779",494,"1,893","3,453","1,530","1,493","1,837",936,"1,673","1,416",953,"1,480"
2020년04월_남_40~49세,"35,985",299,"2,056",295,"1,799","1,693",668,741,648,604,"1,417",482,"2,129",492,"3,143","3,293","1,645","1,996","3,321","1,293","1,881","2,801",954,"2,335"
2020년04월_남_50~59세,"38,410",415,"1,622",499,"1,380","1,740","1,003","1,137",648,843,"1,501",588,"2,399",620,"2,601","2,859","2,050","2,268","3,584","1,773","2,646","2,729","1,323","2,182"
2020년04월_남_60~69세,"24,887",329,"1,255",463,847,"1,106",941,786,556,715,"1,245",483,"1,667",591,"1,670","2,005","1,470","1,420","1,572","1,218","1,718",921,"1,076",833
2020년04월_남_70~79세,"11,792",222,667,200,442,611,494,387,314,417,734,207,658,290,824,789,624,698,623,510,672,415,575,419
2020년04월_남_80~89세,"4,048",69,286,49,157,214,198,119,120,147,264,79,235,105,216,188,249,202,236,170,261,194,137,153
2020년04월_남_90~99세,264,6,28,7,19,9,8,13,8,7,21,3,9,7,11,9,16,11,19,9,13,7,13,11
2020년04월_남_100세 이상,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020년04월_여_총인구수,"219,182","2,110","12,205","2,013","10,160","10,733","4,922","5,786","4,388","4,192","9,290","3,438","14,026","3,501","14,762","18,953","11,239","12,814","18,746","8,714","13,750","15,136","6,012","12,292"
2020년04월_여_연령구간인구수,"219,182","2,110","12,205","2,013","10,160","10,733","4,922","5,786","4,388","4,192","9,290","3,438","14,026","3,501","14,762","18,953","11,239","12,814","18,746","8,714","13,750","15,136","6,012","12,292"
2020년04월_여_0~9세,"17,019",72,"1,254",90,"1,196",905,137,312,157,155,665,101,"1,040",174,"1,381","2,291",747,830,"1,434",517,873,"1,201",350,"1,137"
2020년04월_여_10~19세,"21,387",118,"1,050",98,"1,107","1,197",243,470,246,227,590,189,"1,447",230,"1,736","1,557",855,"1,238","2,527",845,"1,226","2,252",339,"1,600"
2020년04월_여_20~29세,"27,556",230,"1,371",204,"1,050","1,138",461,751,"1,059",527,"1,093",829,"1,793",330,"1,493","1,909","1,746","1,763","2,483","1,099","2,020","1,961",642,"1,604"
2020년04월_여_30~39세,"26,126",179,"1,920",197,"1,600","1,295",314,552,449,417,"1,049",388,"1,645",385,"1,866","3,322","1,232","1,379","1,852",758,"1,491","1,587",722,"1,527"
2020년04월_여_40~49세,"37,359",215,"2,019",207,"1,925","1,908",537,848,486,484,"1,298",380,"2,394",448,"2,953","3,134","1,660","2,110","3,914","1,400","2,168","3,573",753,"2,545"
2020년04월_여_50~59세,"38,849",380,"1,727",459,"1,405","1,770",972,"1,224",670,801,"1,522",642,"2,655",677,"2,222","3,143","2,213","2,490","3,521","1,808","2,888","2,527","1,187","1,946"
2020년04월_여_60~69세,"26,275",436,"1,349",405,"1,001","1,236","1,062",865,648,839,"1,446",495,"1,688",660,"1,717","2,020","1,445","1,660","1,517","1,245","1,601",912,"1,118",910
2020년04월_여_70~79세,"15,869",297,936,231,582,825,787,499,440,491,"1,026",278,842,390,966,"1,057",833,909,936,622,903,722,654,643
2020년04월_여_80~89세,"7,639",151,492,100,255,409,371,233,206,219,510,123,435,186,378,457,441,378,489,376,512,370,214,334
2020년04월_여_90~99세,"1,036",29,78,22,37,46,35,32,23,32,81,13,81,20,49,60,63,56,72,41,64,31,27,44
2020년04월_여_100세 이상,67,3,9,0,2,4,3,0,4,0,10,0,6,1,1,3,4,1,1,3,4,0,6,2
2020년05월_계_총인구수,"437,566","4,681","23,531","4,306","19,622","20,654","9,733","11,413","9,077","8,753","18,705","7,573","27,753","6,966","31,464","37,682","22,516","25,160","37,000","17,416","27,350","29,473","12,468","24,270"
2020년05월_계_연령구간인구수,"437,566","4,681","23,531","4,306","19,622","20,654","9,733","11,413","9,077","8,753","18,705","7,573","27,753","6,966","31,464","37,682","22,516","25,160","37,000","17,416","27,350","29,473","12,468","24,270"
2020년05월_계_0~9세,"34,816",232,"2,483",182,"2,366","1,835",275,631,312,334,"1,334",204,"2,134",362,"3,022","4,682","1,459","1,720","2,885","1,048","1,816","2,489",700,"2,311"
2020년05월_계_10~19세,"44,419",309,"2,079",242,"2,269","2,369",518,983,514,505,"1,189",406,"3,003",468,"3,695","3,186","1,873","2,598","5,274","1,703","2,627","4,645",665,"3,299"
2020년05월_계_20~29세,"60,761",552,"2,718",492,"2,167","2,441","1,092","1,731","2,368","1,266","2,772","2,171","4,007",781,"3,356","4,081","3,721","3,768","5,385","2,514","4,409","4,160","1,443","3,366"
2020년05월_계_30~39세,"54,496",521,"3,743",454,"2,983","2,500",775,"1,201","1,119","1,050","2,330","1,007","3,411",871,"4,019","6,745","2,749","2,864","3,674","1,691","3,147","3,020","1,657","2,965"
2020년05월_계_40~49세,"73,231",625,"4,059",498,"3,712","3,568","1,196","1,567","1,123","1,087","2,708",852,"4,512",937,"6,317","6,398","3,280","4,074","7,175","2,668","4,037","6,315","1,697","4,826"
