년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,11,10,"26,502",94,659,74,"2,055",317,297,141,38,38,83,281,209,306,232,311,253,267,919,623,"1,892","2,252","1,091","1,219",922,"3,972","4,555","2,071","1,138",128,65
2020,11,20,"33,815",193,750,135,"2,211",458,567,144,65,56,164,422,385,406,353,694,431,458,"1,285",744,"2,540","2,654","1,815","1,444","1,085","5,091","4,649","3,385",864,253,114
2020,11,30,"31,107",123,827,90,"2,629",439,375,123,58,29,134,449,317,356,279,583,302,447,"1,152",716,"2,000","2,437","1,272","1,153","1,373","4,013","5,695","2,302","1,183",186,65
2020,11,40,"42,078",244,"1,284",151,"3,201",734,619,249,92,87,227,563,355,573,496,760,444,627,"1,594",930,"2,786","3,406","1,816","1,724","1,567","5,567","6,563","3,342","1,663",284,130
2020,11,50,"48,571",465,"1,420",324,"3,509","1,059","1,234",456,187,136,464,720,489,730,653,"1,047",614,922,"2,097","1,152","3,416","3,469","2,239","1,882","1,555","5,940","6,098","4,535","1,038",485,236
2020,11,60,"40,669",619,"1,598",449,"2,540","1,240","1,376",660,310,166,470,959,601,958,858,"1,264",799,"1,229","2,107","1,346","2,992","2,769","1,681","1,382","1,538","3,314","3,293","2,767",703,461,220
2020,11,70,"24,458",572,"1,003",390,"1,387","1,054","1,130",607,331,174,297,728,540,708,763,952,569,961,"1,306",764,"1,362","1,444",908,592,967,"1,438","1,278","1,267",438,338,190
2020,11,80,"10,629",295,454,246,740,617,651,363,207,100,153,222,210,243,270,328,238,344,435,221,601,594,384,187,361,560,547,582,150,200,126
2020,11,90,"1,599",47,63,41,93,111,122,43,44,17,27,39,22,26,33,43,36,43,43,30,79,103,52,34,53,96,100,91,17,28,23
2020,11,100,107,2,1,1,6,5,5,3,2,1,4,6,1,8,5,6,2,7,8,4,1,0,1,1,7,5,2,1,2,10,0
2020,12,총,"280,242","2,709","8,590","1,930","20,426","6,292","6,518","2,846","1,339",828,"2,062","4,657","3,223","4,452","4,050","6,220","3,826","5,470","11,605","6,983","18,844","21,241","11,860","10,335","10,499","32,672","37,425","21,519","8,196","2,434","1,191"
2020,12,0,"20,942",52,581,35,"2,092",265,137,65,14,22,57,237,115,151,113,238,148,169,728,466,"1,228","1,797",667,772,"1,064","2,746","4,666","1,225",999,67,26
2020,12,10,"26,412",90,655,75,"2,042",316,297,139,38,38,82,284,204,300,231,302,248,268,911,625,"1,878","2,309","1,088","1,204",919,"3,935","4,540","2,067","1,131",129,67
2020,12,20,"33,719",198,741,138,"2,204",459,571,141,61,58,156,443,383,412,352,687,429,455,"1,265",731,"2,528","2,667","1,792","1,435","1,080","5,081","4,649","3,358",878,257,110
2020,12,30,"31,026",123,818,88,"2,607",439,369,120,57,27,132,454,319,351,286,585,304,443,"1,128",705,"1,990","2,526","1,243","1,148","1,387","4,009","5,678","2,279","1,163",183,65
2020,12,40,"41,915",240,"1,268",151,"3,195",739,618,245,93,88,219,560,346,567,489,759,446,621,"1,585",933,"2,761","3,473","1,797","1,707","1,575","5,523","6,535","3,320","1,656",277,129
2020,12,50,"48,521",465,"1,410",318,"3,504","1,054","1,236",457,184,136,460,714,480,728,658,"1,042",605,920,"2,078","1,153","3,416","3,495","2,234","1,867","1,552","5,934","6,119","4,534","1,054",479,235
2020,12,60,"40,792",621,"1,598",454,"2,542","1,235","1,384",662,309,164,476,961,601,959,853,"1,266",796,"1,231","2,108","1,341","2,999","2,811","1,680","1,387","1,536","3,337","3,311","2,784",702,463,221
2020,12,70,"24,534",570,997,382,"1,398","1,059","1,127",606,331,175,296,734,547,710,757,962,569,968,"1,311",772,"1,358","1,467",921,595,964,"1,449","1,269","1,269",441,340,190
2020,12,80,"10,669",301,458,248,744,613,648,363,206,101,152,225,205,240,274,330,242,343,439,223,607,593,385,187,364,558,553,589,152,202,124
2020,12,90,"1,607",47,63,40,93,109,126,46,44,18,28,39,22,26,32,43,37,45,44,30,77,103,52,32,51,95,103,93,18,27,24
2020,12,100,105,2,1,1,5,4,5,2,2,1,4,6,1,8,5,6,2,7,8,4,2,0,1,1,7,5,2,1,2,10,0
