년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2021,1,0,"19,586",719,770,470,488,727,499,643,"1,194",710,768,"1,659","2,481","3,497","1,915","3,046"
2021,1,10,"21,961",986,"1,154",564,899,864,654,895,"1,339","1,017","1,455","2,785","3,244","3,030","1,444","1,631"
2021,1,20,"27,069","1,477","1,601","1,369","1,786","1,817","1,151","1,997","1,855","1,395","1,338","3,120","1,857","3,041","1,376","1,889"
2021,1,30,"28,539","1,212","1,231","1,307","1,522","1,678","1,181","1,758","1,930","1,333",804,"2,079","1,876","4,385","2,197","4,046"
2021,1,40,"33,880","1,549","1,661","1,319","1,912","1,515","1,058","1,967","2,016","1,366","1,543","3,051","4,014","4,843","2,604","3,462"
2021,1,50,"31,860","1,816","1,908","1,618","2,187","1,844","1,409","2,681","2,218","1,654","1,679","3,136","2,906","3,042","1,637","2,125"
2021,1,60,"20,173","1,237","1,246","1,513","1,449","1,405","1,261","1,992","1,524","1,111","1,026","1,772","1,158","1,469",785,"1,225"
2021,1,70,"7,246",578,552,587,567,509,497,795,458,369,384,588,347,473,246,296
2021,1,80,"2,373",205,176,194,163,186,192,289,139,135,137,183,125,125,65,59
2021,1,90,302,23,26,19,21,28,23,29,29,15,23,27,12,16,2,9
2021,1,100,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2021,2,총,"193,548","9,770","10,286","8,948","10,967","10,579","7,893","13,029","12,684","9,088","9,166","18,385","18,055","23,936","12,347","18,415"
2021,2,0,"19,670",708,753,464,483,729,505,641,"1,189",707,758,"1,658","2,500","3,478","1,943","3,154"
2021,2,10,"21,996",978,"1,152",563,882,862,650,879,"1,346","1,021","1,469","2,759","3,234","3,033","1,457","1,711"
2021,2,20,"26,980","1,459","1,589","1,366","1,790","1,810","1,133","1,996","1,841","1,374","1,331","3,087","1,866","3,035","1,365","1,938"
2021,2,30,"28,527","1,211","1,218","1,316","1,521","1,673","1,175","1,746","1,902","1,323",801,"2,088","1,866","4,350","2,192","4,145"
2021,2,40,"34,052","1,535","1,646","1,311","1,886","1,519","1,045","1,960","2,022","1,373","1,560","3,039","4,013","4,886","2,625","3,632"
2021,2,50,"31,917","1,821","1,911","1,590","2,193","1,839","1,405","2,673","2,219","1,635","1,664","3,163","2,914","3,039","1,649","2,202"
2021,2,60,"20,419","1,246","1,253","1,541","1,462","1,417","1,266","2,015","1,529","1,131","1,040","1,794","1,172","1,498",805,"1,250"
2021,2,70,"7,277",575,559,585,564,513,502,794,463,373,383,584,351,471,248,312
2021,2,80,"2,392",213,178,192,166,187,187,292,139,135,138,187,126,129,61,62
2021,2,90,301,24,25,20,20,28,23,29,30,15,22,26,12,16,2,9
2021,2,100,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2021,3,총,"194,069","9,736","10,287","8,935","10,907","10,566","7,844","13,020","12,617","9,061","9,156","18,726","18,082","23,944","12,368","18,820"
2021,3,0,"19,665",703,752,464,472,724,497,636,"1,190",704,757,"1,654","2,479","3,486","1,937","3,210"
2021,3,10,"22,145",974,"1,149",556,890,849,637,873,"1,335","1,018","1,462","2,890","3,256","3,034","1,468","1,754"
2021,3,20,"27,151","1,454","1,585","1,365","1,771","1,814","1,126","1,989","1,816","1,373","1,333","3,283","1,853","3,037","1,371","1,981"
2021,3,30,"28,536","1,189","1,215","1,303","1,513","1,669","1,164","1,744","1,876","1,323",791,"2,093","1,882","4,352","2,190","4,232"
2021,3,40,"34,018","1,538","1,643","1,310","1,867","1,522","1,038","1,947","2,027","1,376","1,543","3,032","3,993","4,862","2,609","3,711"
2021,3,50,"31,915","1,813","1,907","1,587","2,197","1,816","1,396","2,678","2,190","1,619","1,662","3,157","2,936","3,048","1,659","2,250"
2021,3,60,"20,648","1,249","1,269","1,554","1,452","1,443","1,273","2,039","1,548","1,132","1,060","1,820","1,192","1,507",821,"1,289"
2021,3,70,"7,274",575,562,581,558,513,506,789,464,368,381,584,350,475,247,321
