년도,월,나이,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021,2,80,"1,794",186,37,143,33,125,147,92,120,77,127,81,132,141,163,91,99
2021,2,90,168,16,2,21,0,12,13,8,11,7,13,14,8,7,18,5,13
2021,2,100,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021,3,총,"35,294","2,853",569,"1,573",447,"1,300","1,562","1,154","1,394","1,010","1,701","1,221","2,898","3,488","4,517","1,588","8,019"
2021,3,0,"2,071",95,21,52,6,27,48,19,34,44,44,39,215,226,348,59,794
2021,3,10,"3,083",195,33,88,23,195,65,95,55,41,67,44,239,311,499,93,"1,040"
2021,3,20,"3,586",239,44,105,19,83,135,139,102,58,126,77,315,382,509,123,"1,130"
2021,3,30,"2,996",208,27,85,19,61,89,58,75,57,124,73,308,344,404,142,922
2021,3,40,"4,703",334,59,140,47,110,173,104,142,107,193,114,392,468,710,196,"1,414"
2021,3,50,"6,234",540,128,288,112,198,274,216,276,182,348,252,473,571,746,306,"1,324"
2021,3,60,"6,647",632,138,387,126,299,366,282,351,303,373,328,505,623,716,336,882
2021,3,70,"3,973",399,79,259,62,188,250,145,224,133,283,195,309,415,401,238,393
2021,3,80,"1,818",192,38,149,33,125,148,88,122,78,128,83,133,139,165,90,107
2021,3,90,168,15,2,20,0,14,14,8,11,7,12,14,9,7,18,5,12
2021,3,100,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021,4,총,"35,256","2,845",571,"1,567",450,"1,300","1,557","1,159","1,383","1,025","1,703","1,227","2,881","3,488","4,513","1,586","8,001"
2021,4,0,"2,065",97,20,51,6,25,49,18,35,44,46,40,210,226,348,58,792
2021,4,10,"3,060",194,33,87,23,193,63,96,55,42,67,46,238,313,495,93,"1,022"
2021,4,20,"3,591",238,45,104,18,86,129,141,100,60,125,79,310,378,511,122,"1,145"
2021,4,30,"2,971",200,27,85,18,56,90,60,73,56,122,73,304,342,405,142,918
2021,4,40,"4,678",337,55,143,48,111,173,103,137,105,190,113,390,468,705,193,"1,407"
2021,4,50,"6,219",535,133,286,114,200,273,217,278,184,348,251,467,568,748,303,"1,314"
2021,4,60,"6,686",637,139,385,127,300,370,279,348,312,378,328,508,625,723,342,885
2021,4,70,"3,972",397,79,252,64,190,245,148,222,137,282,196,314,419,394,237,396
2021,4,80,"1,831",192,38,154,32,125,151,89,122,78,130,85,131,140,164,91,109
2021,4,90,168,14,2,20,0,14,14,8,11,7,12,14,9,7,19,5,12
2021,4,100,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021,5,총,"35,175","2,847",569,"1,562",449,"1,304","1,556","1,154","1,379","1,020","1,709","1,225","2,868","3,467","4,502","1,589","7,975"
2021,5,0,"2,045",99,18,50,6,25,48,19,34,44,45,41,208,226,345,55,782
2021,5,10,"3,046",193,34,86,23,188,63,93,55,42,70,45,233,307,498,94,"1,022"
2021,5,20,"3,571",234,45,102,18,89,131,138,101,59,126,80,309,372,505,124,"1,138"
2021,5,30,"2,954",204,27,83,18,54,87,58,70,56,121,73,301,346,404,142,910
2021,5,40,"4,636",330,53,144,47,113,175,102,134,104,185,111,388,462,691,193,"1,404"
2021,5,50,"6,208",537,131,283,112,198,271,217,274,185,351,250,467,561,753,302,"1,316"
2021,5,60,"6,716",638,142,390,129,304,369,281,353,308,382,330,507,627,725,344,887
2021,5,70,"3,973",399,79,249,64,194,245,148,221,138,282,193,316,417,394,237,397
2021,5,80,"1,839",195,36,154,32,125,153,90,123,77,132,86,130,140,166,93,107
2021,5,90,171,14,4,21,0,14,14,8,12,7,12,14,9,7,20,4,11
2021,5,100,16,4,0,0,0,0,0,0,2,0,3,2,0,2,1,1,1
2021,6,총,"35,098","2,833",566,"1,567",453,"1,299","1,555","1,145","1,384","1,020","1,710","1,231","2,854","3,459","4,487","1,579","7,956"
2021,6,0,"2,024",99,18,51,6,26,50,19,34,44,43,42,205,224,337,51,775
2021,6,10,"3,019",194,34,87,22,185,60,90,55,42,69,45,229,306,495,92,"1,014"
2021,6,20,"3,551",218,44,101,19,88,131,135,99,58,130,79,305,374,510,123,"1,137"
2021,6,30,"2,949",204,27,88,18,53,86,57,73,57,119,75,297,347,405,139,904
2021,6,40,"4,620",327,54,144,44,114,176,101,133,105,184,111,386,462,686,192,"1,401"
2021,6,50,"6,172",530,128,283,111,194,269,214,274,183,350,253,463,557,750,302,"1,311"
2021,6,60,"6,777",647,144,391,136,306,373,282,357,310,388,331,512,627,727,345,901
2021,6,70,"3,963",396,77,247,64,192,246,150,224,139,281,193,315,415,394,235,395
2021,6,80,"1,849",200,37,154,33,127,150,90,121,75,133,88,133,141,164,96,107
2021,6,90,165,14,3,21,0,14,14,7,12,7,12,13,9,6,19,4,10
2021,6,100,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021,7,총,"34,994","2,833",567,"1,561",447,"1,285","1,560","1,139","1,378","1,011","1,702","1,227","2,830","3,461","4,465","1,583","7,945"
2021,7,0,"2,010",100,18,52,3,26,51,19,35,43,42,42,202,224,331,51,771
2021,7,10,"2,985",188,32,88,23,174,62,84,55,43,69,46,224,306,487,88,"1,016"
2021,7,20,"3,530",223,47,99,19,87,128,132,95,54,129,77,306,371,513,124,"1,126"
2021,7,30,"2,924",208,27,86,17,53,86,59,73,57,115,73,285,345,389,141,910
2021,7,40,"4,610",323,54,142,42,115,174,96,131,107,183,112,386,467,690,197,"1,391"
2021,7,50,"6,140",523,128,279,110,191,275,214,270,176,351,250,453,550,749,301,"1,320"
2021,7,60,"6,801",652,144,396,136,306,370,284,360,313,391,334,516,629,733,346,891
2021,7,70,"3,967",398,76,245,62,192,250,153,223,137,278,192,314,421,392,234,400
2021,7,80,"1,851",199,38,154,35,127,150,91,121,74,130,87,135,141,163,97,109
2021,7,90,167,15,3,20,0,14,14,7,13,7,13,13,9,7,18,4,10
2021,7,100,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021,8,총,"34,883","2,813",565,"1,551",445,"1,285","1,555","1,145","1,369","1,010","1,699","1,227","2,821","3,434","4,452","1,576","7,936"
2021,8,0,"1,991",98,17,53,4,25,50,19,34,42,42,41,200,219,328,50,769
2021,8,10,"2,976",185,33,88,23,178,63,84,56,44,68,48,219,303,484,86,"1,014"
2021,8,20,"3,496",218,45,99,18,85,124,136,93,54,128,75,303,357,516,123,"1,122"
2021,8,30,"2,905",205,26,85,18,53,86,58,71,54,115,70,287,340,383,141,913
2021,8,40,"4,575",320,55,140,40,111,172,93,131,107,178,115,388,465,689,194,"1,377"
2021,8,50,"6,129",518,128,274,112,192,272,215,264,176,352,253,454,553,744,300,"1,322"
2021,8,60,"6,802",653,144,395,135,307,374,285,362,311,395,331,515,626,734,347,888
2021,8,70,"3,977",397,75,246,61,190,250,156,223,140,277,190,311,421,394,235,411
2021,8,80,"1,855",199,39,153,34,129,149,92,119,75,131,91,135,143,161,96,109
2021,8,90,169,16,3,18,0,15,15,7,14,7,13,12,9,7,19,4,10
2021,8,100,8,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
2021,9,총,"34,911","2,819",568,"1,562",448,"1,283","1,552","1,145","1,369","1,009","1,696","1,219","2,837","3,431","4,456","1,568","7,949"
2021,9,0,"1,986",100,17,56,3,24,50,19,32,42,39,39,199,219,331,48,768
2021,9,10,"2,963",181,33,88,24,175,64,80,53,44,68,48,216,302,486,86,"1,015"
2021,9,20,"3,446",214,43,97,19,83,120,132,95,52,126,71,303,345,506,120,"1,120"
2021,9,30,"2,897",205,27,86,18,51,85,58,71,51,115,70,292,337,387,137,907
2021,9,40,"4,583",328,54,142,37,110,172,96,133,107,179,113,394,463,686,191,"1,378"
2021,9,50,"6,152",517,130,273,113,192,273,213,267,179,353,253,455,556,745,301,"1,332"
2021,9,60,"6,843",659,145,403,140,312,372,292,360,313,397,326,518,631,736,348,891
2021,9,70,"3,997",394,76,246,61,191,251,155,225,138,277,194,313,422,400,237,417
2021,9,80,"1,870",201,40,154,33,130,151,93,117,76,130,92,138,149,160,96,110
2021,9,90,165,16,3,17,0,15,14,7,14,7,11,12,9,7,19,4,10
2021,9,100,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021,10,총,"34,983","2,814",573,"1,570",455,"1,285","1,553","1,157","1,370","1,002","1,698","1,218","2,828","3,432","4,483","1,583","7,962"
2021,10,0,"1,974",97,17,55,3,22,49,22,30,40,36,38,197,217,334,48,769
2021,10,10,"2,957",186,33,90,25,171,67,77,52,44,71,48,214,301,485,85,"1,008"
2021,10,20,"3,461",212,43,104,18,83,115,135,95,54,126,67,302,347,514,122,"1,124"
2021,10,30,"2,908",202,28,86,20,52,91,61,71,48,115,72,290,338,390,135,909
2021,10,40,"4,585",333,54,140,37,113,173,97,133,106,180,108,395,460,689,198,"1,369"
2021,10,50,"6,170",511,132,275,113,193,269,214,267,177,355,253,455,562,749,302,"1,343"
2021,10,60,"6,857",656,148,406,145,313,368,291,365,309,396,330,512,631,740,353,894
2021,10,70,"4,014",389,77,244,61,194,254,158,227,139,276,195,316,421,402,238,423
2021,10,80,"1,881",208,39,152,33,129,153,95,115,77,131,93,139,147,161,98,111
2021,10,90,167,16,2,18,0,15,14,7,13,8,11,13,8,8,19,4,11
2021,10,100,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021,11,총,"34,928","2,810",569,"1,570",455,"1,302","1,547","1,158","1,369","1,016","1,688","1,205","2,817","3,423","4,476","1,579","7,944"
2021,11,0,"1,961",100,15,55,3,22,46,21,30,40,34,38,191,212,330,46,778
2021,11,10,"2,965",184,34,88,25,191,67,78,52,42,73,46,214,303,490,86,992
2021,11,20,"3,449",214,43,107,17,83,111,136,96,58,123,66,307,342,507,121,"1,118"
