년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,6,50,"52,713","22,571","2,331",444,477,500,362,268,612,269,646,398,924,"1,004","1,705","2,139","3,433","4,166","2,893","30,142","2,331","2,011","1,885",997,"1,733","1,905","1,207","3,182","1,672","2,804","4,335","3,112","2,968",,
2020,6,60,"30,543","14,970","1,369",482,505,447,397,264,586,265,575,382,695,721,"1,152","1,259","1,510","2,427","1,934","15,573","1,907","1,219","1,127",795,"1,134","1,194",914,"1,488",910,"1,172","1,273","1,279","1,161",,
2020,6,70,"13,312","6,999",667,259,264,247,231,146,270,176,331,168,389,456,457,584,517,978,859,"6,313","1,116",538,496,438,537,416,328,493,325,403,385,516,322,,
2020,6,80,"5,047","2,723",296,109,120,122,93,96,142,96,120,64,133,193,134,183,180,347,295,"2,324",457,205,231,193,173,122,109,186,129,105,126,194,94,,
2020,6,90,487,261,29,11,17,10,6,5,17,9,13,11,13,13,12,16,23,36,20,226,37,21,18,31,16,12,16,16,11,16,13,12,7,,
2020,6,100,45,22,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,7,총,"335,655","131,361","12,387","2,244","2,192","2,253","1,723","1,262","3,238","1,154","2,933","1,943","4,612","4,900","9,218","12,300","23,020","28,050","17,932","204,294","12,855","11,564","10,533","4,649","8,594","13,732","7,002","18,803","9,311","20,471","35,060","22,085","29,635",,
2020,7,0,"32,370","10,833",915,81,62,76,47,29,129,17,90,49,242,151,577,"1,169","2,580","3,188","1,431","21,537",679,975,725,159,425,516,491,"1,800",759,"2,960","5,434","1,872","4,742",,
2020,7,10,"35,793","13,829","1,495",127,121,128,89,52,185,53,165,84,412,394,774,"1,694","3,094","3,593","1,369","21,964","1,252","1,247","1,009",320,520,729,648,"2,674","1,300","2,925","4,743","2,059","2,538",,
2020,7,20,"50,377","18,842","1,539",246,209,229,146,114,503,86,302,260,628,662,"1,485","1,663","3,371","3,782","3,617","31,535","1,626","1,423","1,423",561,"1,357","3,281","1,281","3,125","1,429","2,699","4,378","4,753","4,199",,
