년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,10,20,"948,109","98,355","24,197","28,458","14,952","30,748","67,878","18,527","16,169","33,182","32,662","40,604","18,176","22,428","60,803","20,326","39,621","6,092","56,451","30,651","25,800","77,161","32,502","22,602","22,057","4,506","14,001","44,111","16,832","37,337","20,085","12,348","18,097","71,258","18,784","29,234","23,240","29,873","17,023","12,348","26,323","55,674","23,846","14,658","10,379","6,662","3,417","3,559","5,819"
2020,10,30,"982,705","93,138","17,101","30,610","13,304","32,123","69,757","19,345","16,634","33,778","30,497","39,440","17,482","21,958","60,037","21,229","43,130","5,258","46,507","23,694","22,813","70,390","33,914","18,573","17,903","4,343","13,353","44,221","21,188","40,985","20,012","11,795","25,057","72,148","17,927","29,388","24,833","35,507","16,353","12,667","36,926","78,709","30,290","14,519","8,136","6,079","2,413","3,125","5,496"
2020,10,40,"1,167,816","102,371","22,555","31,934","14,130","33,752","77,954","19,950","17,472","40,532","37,418","43,253","18,089","25,164","65,459","25,950","49,315","7,387","55,437","29,294","26,143","88,367","39,435","24,308","24,624","4,543","16,431","65,241","22,888","48,245","22,035","12,218","26,652","99,102","22,933","41,278","34,891","41,296","17,947","16,086","45,255","86,774","35,114","20,351","11,118","8,299","2,739","4,263","8,308"
2020,10,50,"1,131,227","98,313","24,722","30,738","15,579","27,274","77,881","21,063","19,306","37,512","39,417","47,613","21,496","26,117","72,085","25,082","45,436","8,645","65,384","34,996","30,388","95,788","41,113","27,280","27,395","5,307","17,639","59,529","17,228","45,918","23,666","14,237","20,586","83,575","22,300","33,445","27,830","37,898","18,409","16,650","33,893","61,567","32,286","19,902","16,070","10,557","3,850","6,074","10,742"
2020,10,60,"750,482","58,642","15,021","19,450","10,786","13,385","55,181","16,161","15,086","23,934","27,200","34,625","16,814","17,811","53,947","17,895","26,829","6,360","36,700","19,190","17,510","59,849","27,770","16,359","15,720","3,523","12,108","39,984","9,715","24,460","16,264","10,680","16,724","50,001","15,461","19,048","15,492","24,175","13,005","12,550","23,622","34,831","23,759","14,329","13,031","9,328","3,846","6,190","11,129"
2020,10,70,"345,864","25,106","6,945","7,937","5,272","4,952","26,302","7,779","6,967","11,556","13,682","14,482","7,669","6,813","21,374","8,071","12,420","3,689","13,206","7,350","5,856","26,400","13,090","6,631","6,679","1,615","5,218","20,293","4,283","8,678","6,748","4,220","7,917","29,927","7,382","11,854","10,691","12,588","6,012","6,229","11,929","14,875","10,581","7,516","5,754","4,818","2,303","3,226","6,402"
2020,10,80,"124,854","8,626","2,678","2,558","1,739","1,651","9,136","2,280","1,970","4,886","5,129","4,791","2,460","2,331","6,575","2,490","4,882","1,587","4,720","2,713","2,007","11,798","5,379","3,119","3,300",672,"1,798","6,865","1,446","2,852","2,644","1,450","1,992","11,342","2,667","4,583","4,092","5,137","2,451","2,650","3,893","5,108","3,093","2,666","2,329","1,951","1,012","1,400","2,369"
2020,10,90,"12,348",903,300,261,174,168,"1,041",226,180,635,436,508,215,293,699,254,504,170,443,269,174,"1,195",501,348,346,85,174,596,102,266,321,157,219,"1,109",262,460,387,529,235,209,352,420,280,243,228,185,110,140,235
2020,10,100,"1,157",82,21,27,25,9,136,63,51,22,49,52,28,24,63,36,74,19,30,15,15,94,60,20,14,9,25,61,12,27,24,13,32,38,13,18,7,61,18,12,19,36,27,12,31,16,16,19,14
2020,11,총,"6,748,061","597,612","138,079","186,359","88,067","185,107","465,702","122,416","109,362","233,924","226,656","272,550","120,116","152,434","406,839","148,104","275,968","46,959","335,365","178,646","156,719","527,834","235,485","145,341","147,008","30,466","98,033","355,027","118,706","260,233","136,130","81,584","146,255","533,488","132,516","217,694","183,278","235,537","113,668","96,313","235,230","442,631","194,991","116,847","78,012","56,728","22,801","32,192","59,600"
