년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021,3,총,"102,383","11,020","4,135","3,871","3,240","2,215","3,207","1,215","4,246","5,957","4,477","3,104","29,067","9,923","4,827","7,692","4,187"
2021,3,0,"5,669",399,112,103,65,64,72,11,118,253,78,84,"2,476",756,161,671,246
2021,3,10,"6,760",489,135,208,92,92,137,36,148,225,130,83,"2,921",955,281,635,193
2021,3,20,"10,162",956,291,225,182,110,174,78,264,982,272,211,"3,435","1,276",501,804,401
2021,3,30,"9,380",771,289,207,181,95,160,44,221,453,241,200,"3,551","1,141",390,995,441
2021,3,40,"12,597","1,262",357,337,270,166,239,70,371,508,402,251,"4,668","1,494",542,"1,171",489
2021,3,50,"18,234","2,262",745,653,576,394,598,265,716,862,772,568,"5,194","1,712",878,"1,239",800
2021,3,60,"19,039","2,341","1,044",954,786,579,837,308,"1,000","1,151","1,129",859,"3,883","1,330",987,"1,090",761
2021,3,70,"12,662","1,614",728,708,626,381,604,225,861,918,853,506,"1,868",825,702,722,521
2021,3,80,"7,043",836,387,420,415,291,340,157,486,547,532,302,966,389,348,337,290
2021,3,90,813,87,46,54,47,42,43,20,61,57,65,39,100,44,36,27,45
2021,3,100,24,3,1,2,0,1,3,1,0,1,3,1,5,1,1,1,0
2021,4,총,"102,529","11,015","4,116","3,865","3,233","2,213","3,216","1,228","4,243","5,933","4,474","3,103","28,861","9,832","4,791","8,224","4,182"
2021,4,0,"5,689",404,110,103,64,64,76,14,118,249,79,87,"2,429",731,158,759,244
2021,4,10,"6,744",483,135,211,91,92,136,37,146,219,129,83,"2,876",954,278,680,194
2021,4,20,"10,157",952,290,220,180,113,175,84,257,966,262,207,"3,431","1,261",496,866,397
2021,4,30,"9,374",773,288,207,180,92,161,44,222,439,238,198,"3,493","1,121",387,"1,095",436
2021,4,40,"12,582","1,250",351,339,268,166,244,69,363,515,397,251,"4,608","1,476",536,"1,263",486
2021,4,50,"18,239","2,259",737,646,571,398,595,264,714,859,778,569,"5,160","1,702",873,"1,319",795
2021,4,60,"19,161","2,345","1,052",960,792,573,842,314,"1,009","1,163","1,138",858,"3,906","1,326",978,"1,143",762
2021,4,70,"12,645","1,610",718,701,627,384,601,222,862,911,852,503,"1,877",820,699,733,525
2021,4,80,"7,095",850,390,421,411,289,336,159,493,555,533,308,974,395,348,337,296
2021,4,90,818,87,44,55,48,40,47,20,59,56,65,38,102,45,37,28,47
2021,4,100,25,2,1,2,1,2,3,1,0,1,3,1,5,1,1,1,0
2021,5,총,"102,194","10,948","4,080","3,846","3,202","2,226","3,197","1,216","4,225","5,888","4,446","3,096","28,644","9,761","4,745","8,552","4,122"
2021,5,0,"5,673",401,105,104,72,62,77,13,113,247,77,84,"2,402",728,156,793,239
2021,5,10,"6,722",481,135,212,93,95,134,38,142,216,130,83,"2,832",939,279,725,188
2021,5,20,"10,122",945,281,216,174,115,173,83,259,951,260,208,"3,421","1,250",489,914,383
2021,5,30,"9,282",763,279,204,176,93,165,40,216,438,227,192,"3,425","1,100",379,"1,157",428
2021,5,40,"12,488","1,230",352,336,260,165,234,67,356,512,393,244,"4,551","1,468",529,"1,311",480
2021,5,50,"18,152","2,225",726,640,567,398,587,258,710,844,775,567,"5,129","1,689",867,"1,376",794
2021,5,60,"19,185","2,359","1,048",957,785,583,841,314,"1,008","1,165","1,131",858,"3,900","1,332",975,"1,174",755
2021,5,70,"12,615","1,597",717,695,622,383,601,224,865,909,856,506,"1,889",813,686,736,516
2021,5,80,"7,106",858,390,424,406,289,335,158,496,550,529,314,986,394,347,336,294
2021,5,90,826,87,46,57,46,41,49,20,60,55,64,39,104,47,37,29,45
2021,5,100,23,2,1,1,1,2,1,1,0,1,4,1,5,1,1,1,0
2021,6,총,"102,099","10,902","4,065","3,846","3,188","2,223","3,198","1,223","4,221","5,810","4,438","3,074","28,541","9,705","4,721","8,841","4,103"
2021,6,0,"5,665",400,107,103,71,59,74,14,113,237,78,84,"2,384",725,159,823,234
2021,6,10,"6,677",472,131,209,93,96,130,38,140,211,129,83,"2,812",927,274,741,191
2021,6,20,"10,069",936,279,214,171,114,179,83,256,916,255,204,"3,409","1,247",475,956,375
2021,6,30,"9,266",765,272,205,170,92,164,39,212,435,224,190,"3,395","1,097",377,"1,205",424
2021,6,40,"12,445","1,211",352,336,259,163,232,67,358,497,391,240,"4,522","1,458",518,"1,360",481
2021,6,50,"18,069","2,211",714,637,566,398,587,261,705,837,767,556,"5,106","1,655",864,"1,418",787
2021,6,60,"19,298","2,364","1,052",962,783,584,845,315,"1,015","1,165","1,143",857,"3,927","1,339",979,"1,210",758
2021,6,70,"12,601","1,586",720,691,622,386,600,221,858,901,848,508,"1,890",812,687,756,515
2021,6,80,"7,160",868,390,431,404,287,338,163,506,554,536,312,988,398,349,341,295
2021,6,90,826,87,47,57,48,42,48,21,58,55,63,39,104,46,38,30,43
2021,6,100,23,2,1,1,1,2,1,1,0,2,4,1,4,1,1,1,0
