년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,8,80,"2,623",215,53,,153,125,56,114,166,71,83,79,64,25,71,110,54,13,98,54,31,94,99,32,161,129,134,141,82,116
2020,8,90,242,18,6,,8,13,4,12,17,9,5,8,8,0,10,13,5,0,10,2,3,7,17,5,13,8,11,11,6,13
2020,8,100,10,2,0,,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,9,총,"47,918","3,194",684,,"1,875","1,492",487,"1,322","1,979",835,"1,004","1,296",881,355,"1,008","1,334",631,177,"1,306",537,196,"1,025",997,403,"6,060","4,604","3,736","4,094","1,831","4,575"
2020,9,0,"2,733",151,26,,52,57,15,53,37,29,24,47,31,12,34,73,19,3,41,8,2,16,39,13,483,372,296,299,106,395
2020,9,10,"4,045",232,26,,102,72,18,73,150,45,47,81,39,19,54,67,36,6,80,29,13,45,40,20,758,459,388,424,197,525
2020,9,20,"4,763",244,43,,135,104,37,101,123,48,67,103,65,16,61,93,34,10,74,24,9,77,62,20,747,556,420,469,190,831
2020,9,30,"4,110",266,44,,125,83,19,89,116,44,65,64,48,20,65,100,51,6,85,17,5,68,46,14,689,572,387,406,152,464
2020,9,40,"6,202",407,70,,215,154,45,142,204,87,79,151,106,40,108,140,60,16,162,58,16,108,113,45,874,716,574,563,286,663
2020,9,50,"8,883",607,145,,361,299,117,223,341,182,222,267,186,73,221,262,148,40,266,94,45,165,177,91,"1,014",804,675,842,326,690
2020,9,60,"8,849",641,145,,445,334,108,319,489,186,262,321,220,104,227,304,141,58,290,143,37,254,218,102,843,684,544,577,267,586
2020,9,70,"5,447",411,127,,278,247,68,193,337,133,151,172,114,47,157,173,83,25,198,109,35,189,185,62,474,304,305,360,219,291
2020,9,80,"2,627",214,52,,153,126,56,116,164,72,82,81,62,24,72,107,54,13,98,53,31,96,100,31,165,129,136,142,82,116
2020,9,90,248,19,6,,9,14,4,12,17,9,5,8,9,0,9,15,5,0,11,2,3,7,17,5,13,8,11,11,6,13
2020,9,100,11,2,0,,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,10,총,"47,856","3,193",687,,"1,881","1,484",484,"1,315","1,972",834,"1,002","1,289",881,359,"1,003","1,340",627,177,"1,296",534,198,"1,022",990,397,"6,063","4,583","3,744","4,094","1,829","4,578"
2020,10,0,"2,723",154,27,,52,51,15,52,37,30,24,46,28,11,33,74,19,3,36,7,0,16,37,13,489,367,302,298,104,398
2020,10,10,"4,023",231,25,,102,70,17,69,147,45,46,81,39,20,53,68,35,6,80,29,13,46,40,18,755,463,388,427,195,515
2020,10,20,"4,767",246,45,,136,104,36,102,123,48,65,102,67,16,60,92,34,11,74,24,9,71,60,21,753,551,420,466,192,839
2020,10,30,"4,076",265,43,,123,83,18,88,114,43,66,62,49,22,65,102,49,6,83,18,5,71,46,13,681,560,384,407,149,461
2020,10,40,"6,164",400,73,,221,152,45,142,201,87,75,149,102,39,106,139,59,16,162,57,16,109,112,43,870,704,574,562,290,659
2020,10,50,"8,863",606,145,,357,296,116,220,341,179,223,263,188,74,221,262,148,40,265,89,47,162,178,91,"1,016",804,674,842,323,693
2020,10,60,"8,905",647,145,,448,336,109,324,492,188,263,325,224,104,228,307,140,58,289,146,39,254,214,99,846,690,550,578,271,591
2020,10,70,"5,451",412,126,,277,247,69,190,334,133,154,172,112,49,158,175,82,24,196,108,36,190,186,63,475,306,305,362,218,292
2020,10,80,"2,626",211,52,,155,128,55,115,166,72,81,80,62,24,71,106,56,13,100,53,30,96,100,31,165,130,136,141,81,116
2020,10,90,247,19,6,,10,15,4,12,16,9,5,8,9,0,8,15,5,0,10,3,3,7,17,5,13,8,11,10,6,13
2020,10,100,11,2,0,,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,11,총,"47,779","3,193",686,,"1,878","1,481",482,"1,311","1,960",835,997,"1,285",881,362,997,"1,351",626,178,"1,290",529,198,"1,015",991,395,"6,052","4,584","3,732","4,079","1,818","4,593"
2020,11,0,"2,706",149,28,,52,52,15,49,39,29,23,47,28,13,31,78,18,2,36,7,0,16,39,13,486,357,300,301,104,394
2020,11,10,"4,025",239,27,,103,71,17,69,140,46,45,80,38,20,55,68,34,7,82,28,13,45,40,17,757,469,387,426,196,506
2020,11,20,"4,763",245,42,,135,103,32,103,124,47,65,101,68,15,57,94,34,12,73,24,9,71,58,20,748,554,406,466,189,868
2020,11,30,"4,040",263,43,,120,83,18,89,112,42,64,65,49,22,63,103,49,6,79,17,5,69,46,11,685,565,386,393,143,450
2020,11,40,"6,141",404,75,,222,151,45,139,198,89,73,144,103,37,105,138,60,15,164,54,16,106,112,43,863,697,574,565,285,664
2020,11,50,"8,842",599,146,,357,292,117,224,337,177,220,264,188,76,222,267,148,40,262,91,47,162,180,90,"1,013",807,672,829,325,690
2020,11,60,"8,928",653,145,,449,339,110,321,492,189,266,325,221,105,229,305,141,59,287,146,39,255,214,102,845,690,554,585,268,594
2020,11,70,"5,448",406,124,,273,246,69,189,333,134,154,170,114,49,157,176,82,24,196,107,36,189,184,64,479,308,309,362,217,297
2020,11,80,"2,624",214,51,,156,127,55,115,167,73,82,80,62,25,70,107,55,13,100,52,29,95,101,30,163,129,133,139,85,116
2020,11,90,250,18,5,,11,15,4,12,17,9,5,8,9,0,8,15,5,0,10,3,4,7,17,5,13,8,11,12,6,13
2020,11,100,12,3,0,,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,12,총,"47,634","3,164",688,,"1,880","1,488",485,"1,308","1,945",832,999,"1,284",886,361,998,"1,349",626,173,"1,287",528,198,"1,017",985,396,"6,024","4,547","3,784","4,063","1,804","4,535"
2020,12,0,"2,688",152,29,,51,51,15,48,40,28,23,47,28,14,32,74,18,2,35,7,1,16,40,13,476,354,301,295,106,392
2020,12,10,"3,933",225,26,,101,79,14,69,124,44,52,79,36,19,54,69,30,6,80,28,13,44,39,17,729,458,401,412,192,493
2020,12,20,"4,750",248,43,,132,99,36,100,125,48,63,101,71,14,59,90,37,11,72,24,9,69,57,18,750,546,412,471,190,855
2020,12,30,"4,015",258,43,,120,82,18,89,110,43,62,64,50,23,61,100,49,6,81,17,5,70,43,12,676,558,400,398,139,438
2020,12,40,"6,091",396,74,,223,153,44,140,199,87,74,145,102,37,105,140,59,15,164,53,16,105,108,40,861,684,574,558,278,657
2020,12,50,"8,828",592,147,,357,288,118,226,337,177,214,259,188,75,222,270,147,40,261,93,46,163,181,93,"1,017",809,674,831,320,683
2020,12,60,"8,988",654,146,,458,344,112,320,490,192,271,327,223,106,229,307,144,56,291,143,39,260,215,103,852,696,564,584,271,591
2020,12,70,"5,452",407,124,,273,246,69,188,330,133,153,171,115,48,157,176,83,24,195,107,36,190,182,65,485,307,312,359,220,297
2020,12,80,"2,632",211,51,,154,129,55,115,171,72,82,82,63,25,71,108,55,13,97,53,29,93,103,30,165,129,135,141,85,115
2020,12,90,244,18,5,,11,15,4,12,18,8,5,8,9,0,7,15,4,0,10,3,4,7,17,5,13,6,11,13,3,13
2020,12,100,13,3,0,,0,2,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2021,1,총,"47,589","3,202",685,,"1,887","1,483",482,"1,307","1,935",829,"1,007","1,282",883,358,996,"1,338",624,171,"1,294",526,200,"1,014",991,393,"5,981","4,523","3,833","4,062","1,785","4,518"
2021,1,0,"2,688",155,27,,53,50,15,44,41,26,25,49,27,14,32,73,18,2,37,8,3,17,40,12,465,354,302,299,101,399
2021,1,10,"3,921",254,26,,102,80,13,72,117,42,56,77,36,19,54,67,29,6,80,26,13,43,39,17,729,449,401,406,193,475
2021,1,20,"4,692",243,44,,129,98,36,96,124,49,62,99,69,14,59,88,35,10,73,23,9,70,56,17,738,549,411,472,180,839
2021,1,30,"3,997",258,41,,125,82,19,88,113,40,61,65,52,22,59,95,48,5,79,16,5,67,45,12,667,556,419,388,134,436
2021,1,40,"6,085",402,74,,223,151,44,142,193,88,76,143,98,35,103,139,60,15,165,54,15,106,109,40,854,670,591,557,277,661
2021,1,50,"8,811",584,146,,358,284,115,228,335,176,212,259,188,76,220,269,148,40,264,90,47,162,182,91,"1,025",803,678,831,318,682
2021,1,60,"9,027",664,147,,458,345,114,320,492,195,274,326,225,104,234,307,142,56,289,146,39,259,216,104,841,699,572,588,274,597
2021,1,70,"5,464",407,123,,274,246,69,189,329,132,154,172,114,49,155,178,84,24,196,106,36,192,183,66,485,307,313,362,220,299
2021,1,80,"2,644",214,53,,154,129,53,115,171,73,82,83,64,25,72,108,56,13,100,54,29,89,102,30,164,130,135,145,85,116
2021,1,90,247,18,4,,11,16,4,12,19,8,5,8,9,0,7,14,4,0,10,3,4,9,19,4,13,6,11,13,3,13
2021,1,100,13,3,0,,0,2,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2021,2,총,"47,506","3,170",686,,"1,886","1,484",486,"1,296","1,940",826,"1,007","1,287",880,362,999,"1,334",621,172,"1,290",526,199,"1,015",989,391,"5,964","4,532","3,842","4,045","1,769","4,508"
2021,2,0,"2,677",152,27,,54,47,16,45,43,26,24,51,26,13,33,74,19,2,40,8,3,15,39,12,462,349,302,299,98,398
2021,2,10,"3,903",251,26,,101,80,12,68,117,42,55,74,35,20,56,68,29,6,77,26,13,45,39,16,730,455,399,396,188,479
2021,2,20,"4,626",233,44,,129,99,35,95,123,45,60,99,67,15,55,85,35,9,73,23,9,68,56,17,730,543,411,471,180,817
2021,2,30,"3,958",254,39,,122,81,20,86,113,40,61,64,54,21,60,90,45,5,79,14,6,67,43,12,662,548,432,381,130,429
2021,2,40,"6,063",397,76,,217,151,44,137,193,90,77,147,97,35,103,139,57,15,160,51,14,105,108,40,853,684,592,554,271,656
2021,2,50,"8,804",576,144,,359,280,118,229,338,176,210,261,189,74,222,266,149,41,265,93,46,162,180,90,"1,024",802,676,825,320,689
