년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,10,20,"55,674","5,356","1,091","5,649","3,293",463,355,470,577,362,644,609,269,817,"1,244","4,002","2,592","1,470","2,203",926,"1,780","4,152","1,875","3,363","2,121","2,295","2,186","4,096","1,414"
2020,10,30,"78,709","5,802",967,"8,884","4,191",376,319,500,527,310,687,570,250,751,"2,414","5,038","2,385","1,529","2,956",827,"1,657","4,928","1,977","4,356","4,192","4,980","4,054","9,576","3,706"
2020,10,40,"86,774","8,175","1,663","9,502","3,808",537,439,681,828,516,992,872,347,"1,050","2,088","4,345","2,605","2,643","3,115","1,370","2,192","5,197","4,263","4,395","6,835","4,098","3,077","8,627","2,514"
2020,10,50,"61,567","6,562","2,020","5,993","3,520",864,722,879,"1,270",935,"1,514","1,363",606,"1,481","1,294","3,110","2,021","1,705","2,204","1,178","2,174","3,486","2,491","2,178","2,904","2,032","1,731","4,132","1,198"
2020,10,60,"34,831","3,891","1,402","3,160","2,362",673,663,689,"1,090",910,"1,097","1,122",512,"1,078",581,"1,698","1,148",735,"1,227",665,"1,475","1,172",938,901,979,"1,101",790,"2,044",728
2020,10,70,"14,875","1,726",773,"1,317","1,010",325,318,369,588,419,423,516,216,503,122,683,501,394,375,321,616,454,433,507,335,468,274,670,219
2020,10,80,"5,108",508,291,479,344,129,157,131,289,215,181,252,98,203,35,232,174,141,91,86,190,133,145,161,78,114,68,119,64
2020,10,90,420,46,27,31,26,13,16,11,35,17,23,18,9,13,2,20,10,5,13,5,9,10,6,16,6,8,8,14,3
2020,10,100,36,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,2,0,2,0,1,0,0,0,1,2,0
2020,11,총,"442,631","41,382","9,469","45,744","22,642","3,808","3,296","4,095","5,874","3,943","5,987","5,908","2,448","6,572","10,821","23,499","14,536","11,926","16,490","7,019","12,284","26,423","17,742","21,727","26,701","20,516","16,030","41,896","13,853"
