년도,월,나이,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021,9,60,"59,730","5,262","7,118","3,139","8,827","4,534","6,921","4,837","6,414","6,425","6,253"
2021,9,70,"25,354","2,457","3,189","1,219","3,174","1,536","3,117","2,081","2,841","3,054","2,686"
2021,9,80,"13,636","1,143","1,639",721,"1,823",912,"1,548","1,036","1,550","1,767","1,497"
2021,9,90,"2,458",211,238,142,391,190,293,173,292,275,253
2021,9,100,117,11,19,9,17,3,14,10,15,8,11
2021,10,총,"407,672","31,190","44,577","20,778","66,874","43,560","41,377","28,524","48,552","41,405","40,835"
2021,10,0,"26,017","1,335","2,520","1,244","4,506","3,660","2,208","1,772","4,427","2,043","2,302"
2021,10,10,"33,296","1,850","3,355","1,846","5,389","4,739","3,010","2,089","4,680","3,206","3,132"
2021,10,20,"54,820","4,828","6,045","2,846","9,528","5,761","5,372","3,582","5,323","5,792","5,743"
2021,10,30,"54,732","4,170","5,674","2,577","10,587","6,381","5,244","3,787","6,970","4,506","4,836"
2021,10,40,"62,311","4,242","6,459","3,138","10,575","7,887","5,939","3,836","8,546","5,851","5,838"
2021,10,50,"74,774","5,675","8,272","3,880","11,979","7,920","7,656","5,251","7,483","8,431","8,227"
2021,10,60,"60,059","5,273","7,151","3,154","8,896","4,566","6,950","4,871","6,433","6,468","6,297"
2021,10,70,"25,349","2,446","3,201","1,217","3,177","1,535","3,143","2,092","2,828","3,036","2,674"
2021,10,80,"13,731","1,148","1,643",727,"1,835",914,"1,549","1,054","1,555","1,784","1,522"
2021,10,90,"2,466",212,238,140,384,194,292,181,292,280,253
2021,10,100,117,11,19,9,18,3,14,9,15,8,11
2021,11,총,"407,157","31,133","44,549","20,801","66,751","43,484","41,398","28,509","48,441","41,340","40,751"
2021,11,0,"25,861","1,330","2,512","1,250","4,504","3,633","2,191","1,763","4,393","2,026","2,259"
2021,11,10,"33,206","1,841","3,342","1,839","5,358","4,733","3,016","2,079","4,693","3,184","3,121"
2021,11,20,"54,579","4,826","5,994","2,827","9,478","5,737","5,361","3,566","5,273","5,783","5,734"
2021,11,30,"54,638","4,141","5,692","2,584","10,568","6,378","5,264","3,780","6,932","4,485","4,814"
2021,11,40,"62,179","4,232","6,456","3,137","10,519","7,878","5,935","3,827","8,538","5,830","5,827"
