년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021,9,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,10,총,"22,282","6,635","1,848","2,006",951,"1,672","3,114","2,040",786,690,"1,416","1,124"
2021,10,0,"1,264",501,150,68,20,78,276,70,26,12,36,27
2021,10,10,"1,671",625,164,87,32,97,312,127,52,29,95,51
2021,10,20,"2,321",691,158,221,83,185,472,227,59,58,105,62
2021,10,30,"1,845",547,115,190,81,93,413,149,62,44,74,77
2021,10,40,"2,929",999,235,265,111,216,443,266,90,49,144,111
2021,10,50,"4,276","1,222",377,398,206,319,505,438,167,133,275,236
2021,10,60,"4,048","1,015",332,429,218,336,377,420,160,166,302,293
2021,10,70,"2,548",717,211,230,110,212,199,235,107,114,229,184
2021,10,80,"1,264",293,94,106,80,128,107,97,56,79,146,78
2021,10,90,114,25,11,12,10,8,10,10,7,6,10,5
2021,10,100,2,0,1,0,0,0,0,1,0,0,0,0
2021,11,총,"22,272","6,620","1,850","2,007",943,"1,667","3,131","2,031",788,690,"1,421","1,124"
2021,11,0,"1,251",496,148,64,20,77,278,68,24,12,37,27
2021,11,10,"1,658",623,164,88,30,95,314,123,51,28,92,50
2021,11,20,"2,334",693,156,223,79,182,484,228,62,58,109,60
2021,11,30,"1,829",535,114,192,78,94,412,145,62,44,77,76
2021,11,40,"2,939","1,011",238,262,112,214,439,270,88,49,144,112
2021,11,50,"4,265","1,216",377,399,206,319,507,434,165,134,272,236
2021,11,60,"4,064","1,016",335,427,217,337,380,423,166,167,302,294
2021,11,70,"2,546",712,210,235,111,214,199,232,106,113,230,184
2021,11,80,"1,270",294,96,105,81,127,107,97,57,78,148,80
2021,11,90,114,24,11,12,9,8,11,10,7,7,10,5
2021,11,100,2,0,1,0,0,0,0,1,0,0,0,0
2021,12,총,"22,206","6,610","1,840","1,999",944,"1,677","3,099","2,027",787,697,"1,406","1,120"
2021,12,0,"1,222",491,145,62,20,76,263,65,24,13,37,26
2021,12,10,"1,654",628,161,88,30,96,314,124,49,29,86,49
2021,12,20,"2,329",691,159,225,79,187,468,223,62,64,112,59
2021,12,30,"1,810",520,107,192,80,99,413,144,62,41,78,74
2021,12,40,"2,920","1,007",237,263,107,210,437,267,90,51,139,112
2021,12,50,"4,256","1,210",378,394,208,318,506,439,164,134,269,236
2021,12,60,"4,082","1,028",336,420,219,341,383,428,167,169,300,291
2021,12,70,"2,536",714,210,239,113,211,195,226,105,109,229,185
2021,12,80,"1,279",297,96,104,79,131,109,99,57,79,146,82
2021,12,90,116,24,10,12,9,8,11,11,7,8,10,6
2021,12,100,2,0,1,0,0,0,0,1,0,0,0,0
