년도,월,나이,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020,12,100,50,14,2,4,2,5,2,3,5,6,1,2,0,0,0,0,0,4,0,0,0,,
2021,1,총,"357,871","43,227","2,745","3,176","6,235","8,907","6,770","7,474","5,679","3,566","2,451","19,229","29,617","40,200","23,551","29,510","34,397","32,925","19,366","11,161","27,685",,
2021,1,0,"47,226","3,222",87,89,321,318,213,319,188,74,99,"2,611","4,282","5,769","3,520","4,657","5,983","5,814","3,172","1,646","4,842",,
2021,1,10,"43,097","4,183",105,131,379,416,299,431,394,115,188,"3,340","3,940","5,388","4,315","4,199","4,808","3,510","2,516","1,085","3,355",,
2021,1,20,"37,735","6,466",370,303,744,898,"1,021",880,563,296,272,"1,761","3,632","4,491","1,793","2,609","2,602","3,127","1,883","1,355","2,669",,
2021,1,30,"61,528","5,460",347,286,719,899,874,725,522,249,187,"2,550","6,004","7,502","3,420","5,444","6,589","7,718","3,666","2,281","6,086",,
2021,1,40,"69,371","6,890",338,336,836,"1,033",927,904,689,348,351,"4,474","6,139","8,575","5,963","6,290","7,512","6,331","3,929","1,935","5,571",,
2021,1,50,"45,466","6,696",539,549,"1,094","1,634","1,272","1,251","1,043",701,443,"2,573","3,202","4,625","2,704","3,198","3,456","3,708","2,287","1,644","2,847",,
2021,1,60,"30,553","5,418",513,681,"1,063","1,777","1,133","1,408","1,015",879,415,"1,191","1,643","2,303","1,186","1,943","2,346","1,875","1,294",844,"1,626",,
2021,1,70,"14,468","3,131",263,417,629,"1,145",592,919,677,526,273,498,537,"1,006",454,797,823,597,442,235,507,,
2021,1,80,"7,164","1,515",154,315,398,668,387,561,499,321,196,194,188,451,159,332,231,191,145,109,150,,
2021,1,90,"1,213",232,27,65,50,114,50,73,84,51,26,35,50,90,37,41,47,50,32,27,32,,
2021,1,100,50,14,2,4,2,5,2,3,5,6,1,2,0,0,0,0,0,4,0,0,0,,
2021,2,총,"359,569","43,316","2,776","3,161","6,237","8,953","6,859","7,485","5,662","3,544","2,444","19,173","30,157","40,692","23,621","29,455","34,437","33,190","19,360","11,198","27,849",,
2021,2,0,"47,289","3,202",88,87,320,324,221,324,185,71,99,"2,586","4,352","5,829","3,513","4,640","5,991","5,821","3,151","1,648","4,837",,
2021,2,10,"43,332","4,197",103,130,370,413,308,422,388,116,183,"3,329","4,024","5,443","4,332","4,177","4,807","3,577","2,521","1,082","3,410",,
2021,2,20,"37,759","6,452",383,297,745,917,"1,024",877,558,282,270,"1,734","3,674","4,561","1,808","2,590","2,581","3,121","1,868","1,352","2,665",,
2021,2,30,"61,557","5,481",354,291,727,912,907,735,517,243,184,"2,537","6,104","7,556","3,402","5,404","6,518","7,733","3,626","2,266","6,060",,
2021,2,40,"69,982","6,911",334,336,834,"1,033",940,906,684,349,345,"4,485","6,272","8,728","5,964","6,316","7,577","6,422","3,942","1,946","5,658",,
2021,2,50,"45,760","6,696",540,537,"1,104","1,626","1,294","1,251","1,041",704,447,"2,582","3,279","4,647","2,745","3,200","3,477","3,745","2,321","1,661","2,863",,
2021,2,60,"30,908","5,465",524,680,"1,062","1,798","1,142","1,418","1,027",877,417,"1,194","1,675","2,353","1,207","1,958","2,377","1,913","1,310",866,"1,645",,
2021,2,70,"14,469","3,129",264,422,624,"1,138",589,911,673,521,274,487,535,"1,026",450,792,832,600,441,242,519,,
2021,2,80,"7,227","1,532",157,313,398,669,383,566,498,321,198,199,193,453,164,336,231,201,149,108,158,,
2021,2,90,"1,236",237,27,64,52,118,49,72,86,54,26,38,49,96,35,42,46,53,31,27,34,,
2021,2,100,50,14,2,4,1,5,2,3,5,6,1,2,0,0,1,0,0,4,0,0,0,,
