년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020,12,10,"5,059",339,565,98,119,77,94,72,183,57,237,70,86,63,"2,042",957
2020,12,20,"6,377",411,754,164,172,114,121,154,233,65,258,137,265,85,"2,462",982
2020,12,30,"5,705",292,715,157,149,126,117,125,189,74,272,96,164,75,"2,361",793
2020,12,40,"8,161",520,936,238,252,176,213,219,322,147,346,177,286,113,"2,911","1,305"
2020,12,50,"10,383",763,"1,147",364,423,281,390,379,675,241,577,319,417,202,"2,755","1,450"
2020,12,60,"10,052",803,"1,197",488,510,324,436,432,798,325,604,464,428,277,"1,906","1,060"
2020,12,70,"5,786",497,712,304,322,241,257,264,446,209,405,284,247,147,916,535
2020,12,80,"2,759",235,333,208,150,110,122,124,216,86,237,138,131,82,356,231
2020,12,90,304,30,40,19,9,13,20,10,20,17,27,22,11,15,38,13
2020,12,100,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2021,1,총,"58,277","4,063","6,845","2,113","2,157","1,523","1,794","1,808","3,177","1,253","3,226","1,738","2,087","1,089","17,462","7,942"
2021,1,0,"3,685",175,452,65,51,58,39,43,105,26,211,31,50,34,"1,706",639
2021,1,10,"5,049",336,570,100,118,76,93,72,182,56,243,67,88,60,"2,034",954
2021,1,20,"6,356",406,747,161,168,113,121,154,226,66,279,131,265,87,"2,446",986
2021,1,30,"5,696",297,708,159,150,126,111,117,189,72,283,103,166,73,"2,352",790
2021,1,40,"8,120",510,939,243,253,176,209,216,311,153,348,172,286,113,"2,921","1,270"
2021,1,50,"10,324",746,"1,135",360,411,282,384,368,674,242,583,318,407,202,"2,757","1,455"
2021,1,60,"10,144",821,"1,204",490,524,328,438,439,800,322,605,468,434,279,"1,917","1,075"
2021,1,70,"5,810",498,713,304,323,239,259,265,452,214,408,285,250,143,928,529
2021,1,80,"2,760",237,336,211,150,111,120,124,213,82,239,139,128,82,358,230
2021,1,90,312,30,40,20,9,13,20,10,24,19,26,23,12,15,39,12
2021,1,100,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2021,2,총,"58,131","4,037","6,796","2,103","2,158","1,524","1,791","1,806","3,166","1,245","3,213","1,729","2,090","1,082","17,454","7,937"
2021,2,0,"3,645",171,439,64,53,58,38,45,106,26,202,30,50,32,"1,698",633
2021,2,10,"5,040",327,570,100,119,76,93,73,179,53,241,68,89,61,"2,043",948
2021,2,20,"6,276",406,729,157,163,112,119,146,222,68,275,124,264,84,"2,411",996
2021,2,30,"5,641",286,705,151,151,127,110,119,184,69,281,103,168,73,"2,346",768
2021,2,40,"8,098",506,928,245,252,174,208,220,313,149,344,171,282,111,"2,923","1,272"
2021,2,50,"10,299",736,"1,127",355,416,286,383,362,665,246,584,318,407,201,"2,758","1,455"
2021,2,60,"10,204",834,"1,206",495,523,327,440,441,803,320,616,470,436,277,"1,933","1,083"
2021,2,70,"5,812",495,714,304,327,238,258,266,450,210,404,283,251,145,937,530
2021,2,80,"2,780",238,339,212,145,111,122,124,218,86,237,139,127,82,362,238
2021,2,90,315,31,38,20,9,14,20,10,25,17,28,22,15,15,39,12
2021,2,100,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2021,3,총,"57,835","3,991","6,710","2,089","2,147","1,511","1,780","1,799","3,144","1,231","3,187","1,714","2,108","1,076","17,441","7,907"
2021,3,0,"3,632",163,436,63,55,57,38,45,105,28,208,33,52,30,"1,690",629
2021,3,10,"5,014",325,566,97,120,75,93,74,176,55,242,66,89,61,"2,042",933
2021,3,20,"6,241",402,715,159,160,112,115,140,221,63,271,123,271,84,"2,412",993
2021,3,30,"5,603",278,688,153,148,123,111,120,184,71,286,103,167,71,"2,340",760
2021,3,40,"8,019",503,914,237,247,168,202,218,304,140,338,169,282,108,"2,926","1,263"
2021,3,50,"10,240",733,"1,110",347,412,286,382,358,649,246,574,316,411,205,"2,756","1,455"
2021,3,60,"10,246",830,"1,205",499,526,334,443,446,806,319,618,464,445,273,"1,945","1,093"
