년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020,12,30,"10,033",915,825,183,650,"1,203",515,918,307,411,298,636,973,227,375,494,399,704
2020,12,40,"11,397","1,182",817,191,873,"1,542",796,978,404,363,236,485,"1,198",309,533,493,448,549
2020,12,50,"12,675","1,058",861,210,943,"1,793",675,843,370,396,423,561,"1,192",490,854,660,583,763
2020,12,60,"10,045",770,638,223,696,"1,319",545,646,317,508,316,500,846,428,685,505,473,630
2020,12,70,"6,982",606,446,149,447,782,385,450,260,344,275,355,746,271,474,296,317,379
2020,12,80,"3,563",307,263,102,229,470,177,198,111,194,122,204,385,144,182,157,140,178
2020,12,90,722,48,58,17,55,124,36,39,31,51,25,29,68,24,32,27,26,32
2020,12,100,179,17,15,5,8,15,5,10,6,30,5,11,14,8,11,2,6,11
2021,1,총,"76,597","6,642","5,271","1,362","5,225","9,838","4,552","5,602","2,321","2,900","2,419","4,007","8,655","2,355","4,033","3,514","3,117","4,784"
2021,1,0,"3,682",393,288,58,271,558,377,411,99,87,57,112,357,64,103,178,135,134
2021,1,10,"5,494",547,386,80,423,829,554,452,154,95,118,231,644,112,237,270,196,166
2021,1,20,"11,838",795,667,146,643,"1,201",496,661,264,421,539,887,"2,241",281,544,441,395,"1,216"
2021,1,30,"10,034",911,822,183,640,"1,202",513,919,303,414,302,637,968,221,371,495,406,727
2021,1,40,"11,332","1,179",824,188,873,"1,534",794,971,400,360,237,480,"1,185",308,527,483,440,549
2021,1,50,"12,645","1,059",856,209,932,"1,796",671,839,372,397,416,567,"1,198",488,856,653,583,753
2021,1,60,"10,090",775,645,221,698,"1,338",545,642,319,505,323,498,842,427,690,510,474,638
2021,1,70,"6,990",605,446,153,452,779,385,453,256,344,275,351,748,276,477,298,312,380
2021,1,80,"3,582",311,264,102,230,465,176,204,115,194,122,203,388,145,184,157,144,178
2021,1,90,731,50,58,17,54,122,36,40,33,53,25,30,70,25,33,27,26,32
2021,1,100,179,17,15,5,9,14,5,10,6,30,5,11,14,8,11,2,6,11
2021,2,총,"76,512","6,608","5,268","1,362","5,213","9,813","4,553","5,598","2,316","2,905","2,435","4,006","8,649","2,367","4,009","3,498","3,125","4,787"
2021,2,0,"3,667",384,285,58,270,553,380,412,97,89,57,113,354,63,105,177,134,136
2021,2,10,"5,455",541,385,80,417,813,547,448,155,95,122,229,664,110,231,262,196,160
2021,2,20,"11,822",793,667,145,636,"1,204",500,661,260,421,544,887,"2,209",291,545,439,401,"1,219"
2021,2,30,"10,011",891,828,175,636,"1,202",514,923,305,419,309,630,964,222,367,490,405,731
2021,2,40,"11,316","1,189",825,196,884,"1,526",786,969,394,362,234,481,"1,191",303,518,478,437,543
2021,2,50,"12,625","1,057",853,205,922,"1,796",672,837,380,397,416,562,"1,200",487,844,658,583,756
2021,2,60,"10,139",772,646,225,710,"1,343",556,646,315,497,325,505,840,436,695,508,479,641
2021,2,70,"6,958",600,446,154,447,773,376,448,255,347,274,354,752,272,467,299,315,379
2021,2,80,"3,603",314,261,101,229,468,181,206,114,193,125,203,388,149,193,158,142,178
2021,2,90,734,50,57,18,52,120,35,39,35,55,23,31,73,26,33,27,27,33
2021,2,100,182,17,15,5,10,15,6,9,6,30,6,11,14,8,11,2,6,11
2021,3,총,"75,652","6,476","5,268","1,319","5,129","9,790","4,473","5,501","2,251","2,907","2,417","3,909","8,673","2,336","3,984","3,432","3,108","4,679"
2021,3,0,"3,642",383,285,59,270,557,379,410,95,90,55,116,341,63,103,171,132,133
2021,3,10,"5,509",534,386,79,420,810,545,442,152,119,136,224,707,109,230,262,194,160
2021,3,20,"11,859",790,672,145,626,"1,205",498,660,262,442,563,877,"2,229",283,552,436,404,"1,215"
2021,3,30,"9,976",886,833,175,634,"1,202",513,918,303,415,303,634,958,225,360,477,406,734
2021,3,40,"11,172","1,161",833,191,874,"1,521",774,955,380,361,232,476,"1,167",298,506,471,432,540
2021,3,50,"12,464","1,038",849,196,916,"1,772",668,824,373,395,403,547,"1,211",475,847,641,577,732
2021,3,60,"10,058",763,645,215,692,"1,370",541,627,310,499,318,491,839,440,705,507,476,620
2021,3,70,"6,732",562,452,142,428,764,352,435,235,351,263,320,753,266,456,290,313,350
2021,3,80,"3,539",307,262,96,219,464,171,195,111,193,121,197,392,154,191,152,145,169
2021,3,90,656,46,46,16,47,120,31,34,29,40,22,26,71,23,29,25,26,25
2021,3,100,45,6,5,5,3,5,1,1,1,2,1,1,5,0,5,0,3,1
2021,4,총,"75,546","6,465","5,255","1,311","5,098","9,771","4,445","5,489","2,256","2,915","2,415","3,902","8,677","2,335","3,977","3,426","3,094","4,715"
