년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021,9,90,159,18,13,8,13,9,11,15,25,9,8,4,17,9
2021,9,100,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021,10,총,"21,741","4,811","1,539","1,726",949,901,"1,079","1,721","2,925",830,826,745,"2,125","1,564"
2021,10,0,871,271,44,64,32,25,27,44,146,12,27,31,81,67
2021,10,10,"1,484",453,108,103,53,36,53,75,244,27,45,76,123,88
2021,10,20,"1,800",509,111,123,67,51,85,140,263,49,44,36,139,183
2021,10,30,"1,390",403,65,84,49,54,60,112,200,38,52,39,117,117
2021,10,40,"2,560",666,180,181,102,88,117,174,411,76,78,65,204,218
2021,10,50,"4,439",946,394,365,183,170,206,371,546,156,163,143,464,332
2021,10,60,"4,840",854,347,412,240,237,273,402,596,208,214,212,534,311
2021,10,70,"2,807",489,191,243,136,146,162,259,335,163,129,106,286,162
2021,10,80,"1,382",201,85,143,74,83,85,129,157,92,66,33,159,75
2021,10,90,163,19,13,8,13,8,11,15,27,9,8,4,17,11
2021,10,100,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021,11,총,"21,732","4,805","1,540","1,726",943,897,"1,080","1,718","2,935",836,825,746,"2,124","1,557"
2021,11,0,860,273,44,60,31,23,26,42,146,13,23,31,81,67
2021,11,10,"1,460",446,106,103,53,34,52,71,241,27,45,76,121,85
2021,11,20,"1,810",505,113,127,66,53,84,139,270,50,44,39,142,178
2021,11,30,"1,394",404,65,82,48,56,63,116,200,37,51,37,117,118
2021,11,40,"2,554",661,180,182,99,86,115,174,412,78,80,66,203,218
2021,11,50,"4,431",945,390,361,187,171,209,369,543,158,163,141,463,331
2021,11,60,"4,866",861,351,417,237,235,272,405,602,211,214,211,537,313
2021,11,70,"2,792",488,190,237,136,145,159,260,336,159,131,107,283,161
2021,11,80,"1,396",203,87,148,73,84,88,127,157,94,66,34,159,76
2021,11,90,165,19,13,9,13,8,12,15,28,9,8,4,17,10
2021,11,100,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021,12,총,"21,696","4,793","1,533","1,733",944,893,"1,074","1,725","2,929",832,821,742,"2,127","1,550"
2021,12,0,853,274,44,57,29,23,23,43,147,12,24,30,80,67
2021,12,10,"1,452",444,104,104,53,33,52,72,242,25,43,75,119,86
2021,12,20,"1,806",504,115,128,68,52,82,136,266,50,45,37,144,179
2021,12,30,"1,390",412,61,79,47,52,63,117,199,38,50,36,120,116
2021,12,40,"2,535",650,179,186,95,87,114,176,405,76,80,67,203,217
2021,12,50,"4,420",943,392,360,187,171,209,371,540,157,162,141,463,324
2021,12,60,"4,885",860,351,423,244,234,272,408,605,213,214,209,540,312
2021,12,70,"2,792",487,187,237,133,148,162,259,339,157,130,109,282,162
2021,12,80,"1,401",202,89,151,76,83,86,127,158,95,64,34,159,77
2021,12,90,159,17,11,8,12,8,11,16,28,9,9,4,16,10
2021,12,100,3,0,0,0,0,2,0,0,0,0,0,0,1,0
