년도,월,나이,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021,1,0,"10,471",170,"1,055",17,47,7,62,28,6,684,32,35,30,41,436,383,247,640,880,174,212,73,"1,240","2,164",740,"1,068"
2021,1,10,"12,960",223,"1,179",20,76,15,77,61,13,830,75,80,63,53,300,351,425,697,995,171,312,114,"2,146","2,872",763,"1,049"
2021,1,20,"17,345",346,872,56,96,13,106,76,17,"1,050",112,391,196,109,487,582,884,"1,069","1,287",238,"1,084",490,"2,430","2,982","1,172","1,200"
2021,1,30,"16,727",302,"1,288",35,83,25,113,49,14,"1,129",100,176,139,98,683,615,594,"1,049","1,422",233,531,273,"1,798","3,213","1,285","1,480"
2021,1,40,"21,474",413,"1,815",41,114,33,143,114,28,"1,403",153,170,155,118,573,666,757,"1,149","1,649",326,610,204,"3,132","4,518","1,450","1,740"
2021,1,50,"23,367",680,"1,508",108,222,83,314,248,83,"1,397",291,239,235,193,555,864,975,"1,266","1,792",384,808,329,"3,123","4,331","1,702","1,637"
2021,1,60,"19,901",710,"1,220",172,299,127,426,321,114,"1,131",445,289,278,205,577,713,"1,009",922,"1,571",350,889,348,"2,030","2,928","1,437","1,390"
2021,1,70,"11,809",506,548,111,135,101,288,211,95,592,246,195,194,187,449,476,619,567,879,247,679,230,"1,242","1,515",695,802
2021,1,80,"7,569",408,340,100,142,75,269,146,54,385,166,140,143,113,250,271,371,366,579,126,405,134,741,943,391,511
2021,1,90,"1,466",68,95,12,24,15,64,34,10,70,32,17,32,33,44,51,78,59,97,23,82,25,127,182,95,97
2021,1,100,70,2,4,1,0,1,6,0,0,3,1,1,1,1,5,8,3,5,0,2,1,1,3,7,6,8
2021,2,총,"143,385","3,819","9,947",669,"1,246",492,"1,863","1,283",431,"8,691","1,656","1,748","1,448","1,150","4,324","4,937","5,960","7,803","11,159","2,283","5,603","2,239","18,014","25,773","9,773","11,074"
2021,2,0,"10,461",174,"1,058",17,48,7,60,28,6,679,33,36,35,39,425,378,242,640,880,174,204,74,"1,238","2,179",739,"1,068"
2021,2,10,"12,970",219,"1,189",19,74,13,75,59,12,839,75,83,61,54,295,351,424,695,987,171,334,110,"2,143","2,870",771,"1,047"
2021,2,20,"17,388",331,873,54,99,14,108,77,16,"1,054",108,396,186,105,481,577,883,"1,074","1,295",238,"1,073",510,"2,441","3,020","1,165","1,210"
2021,2,30,"16,706",306,"1,279",35,88,25,110,48,14,"1,135",99,177,139,101,684,601,586,"1,053","1,420",230,523,267,"1,777","3,211","1,283","1,515"
2021,2,40,"21,464",417,"1,825",41,115,30,141,110,28,"1,402",151,180,154,119,565,659,752,"1,141","1,635",326,600,213,"3,122","4,523","1,465","1,750"
2021,2,50,"23,357",674,"1,507",106,219,83,309,248,82,"1,388",297,240,233,191,549,855,974,"1,263","1,798",386,809,325,"3,122","4,342","1,707","1,650"
2021,2,60,"20,072",714,"1,224",173,301,127,432,323,114,"1,142",447,286,269,205,582,713,"1,022",935,"1,581",357,893,348,"2,053","2,975","1,442","1,414"
2021,2,70,"11,772",504,544,108,134,101,286,208,95,594,244,195,194,188,444,476,614,564,877,247,670,232,"1,246","1,515",694,798
2021,2,80,"7,658",409,348,104,144,75,271,148,54,388,170,136,143,113,255,270,384,375,588,128,414,134,741,950,404,512
2021,2,90,"1,467",69,96,11,24,16,65,34,10,67,31,18,33,34,39,50,76,58,97,24,82,25,128,181,97,102
2021,2,100,70,2,4,1,0,1,6,0,0,3,1,1,1,1,5,7,3,5,1,2,1,1,3,7,6,8
2021,3,총,"142,908","3,799","9,951",665,"1,243",492,"1,846","1,276",425,"8,666","1,642","1,728","1,420","1,123","4,277","4,885","5,937","7,798","11,112","2,259","5,585","2,220","17,950","25,760","9,756","11,093"
2021,3,0,"10,427",172,"1,041",17,49,7,58,30,6,665,34,37,36,39,425,387,245,646,883,173,209,69,"1,218","2,177",744,"1,060"
2021,3,10,"12,886",221,"1,199",20,75,14,75,62,12,823,75,82,60,55,292,354,421,682,955,167,331,111,"2,129","2,856",764,"1,051"
2021,3,20,"17,382",331,877,50,101,14,103,76,16,"1,062",102,401,177,105,480,578,886,"1,077","1,305",241,"1,080",503,"2,415","3,029","1,160","1,213"
2021,3,30,"16,664",300,"1,270",36,86,25,109,47,12,"1,121",102,179,134,95,679,589,587,"1,061","1,404",219,530,268,"1,783","3,211","1,293","1,524"
2021,3,40,"21,315",407,"1,825",38,108,31,140,110,25,"1,394",146,176,150,117,565,658,738,"1,133","1,608",330,595,212,"3,101","4,514","1,444","1,750"
2021,3,50,"23,254",670,"1,501",104,214,83,314,243,81,"1,386",290,238,227,182,534,842,962,"1,260","1,808",381,796,322,"3,110","4,357","1,694","1,655"
2021,3,60,"20,136",721,"1,247",175,303,125,428,322,114,"1,161",448,278,260,202,571,697,"1,015",936,"1,586",356,891,347,"2,082","2,991","1,462","1,418"
2021,3,70,"11,697",499,547,109,138,101,283,203,96,594,244,184,199,187,433,464,619,560,878,236,666,228,"1,233","1,496",690,810
2021,3,80,"7,667",411,345,103,145,75,273,149,54,382,171,138,143,111,259,266,388,383,587,130,414,135,745,948,405,507
2021,3,90,"1,436",66,96,12,24,16,58,34,9,75,28,14,34,30,37,47,75,56,97,25,73,24,130,178,95,103
2021,3,100,44,1,3,1,0,1,5,0,0,3,2,1,0,0,2,3,1,4,1,1,0,1,4,3,5,2
2021,4,총,"142,914","3,801","9,937",663,"1,245",495,"1,836","1,275",426,"8,680","1,643","1,711","1,423","1,114","4,274","4,891","5,912","7,770","11,103","2,257","5,598","2,210","17,917","25,730","9,745","11,258"
2021,4,0,"10,367",167,"1,030",17,48,7,56,31,6,663,35,38,38,39,424,388,241,642,875,173,208,72,"1,211","2,164",734,"1,060"
