년도,월,나이,양평군,양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면
2021,5,60,"23,770","4,623","1,827","1,285","2,790","1,695","2,120",998,"1,040","1,192","1,735","3,212","1,253"
2021,5,70,"13,180","2,453",965,706,"1,649",874,"1,047",560,606,703,"1,000","1,897",720
2021,5,80,"6,469","1,193",418,246,712,395,423,318,391,444,589,987,353
2021,5,90,"1,012",163,58,43,115,60,80,42,42,81,113,169,46
2021,5,100,43,8,3,2,11,1,3,1,2,4,3,3,2
2021,6,총,"120,012","30,731","10,506","4,793","13,842","8,085","9,823","3,891","3,783","4,622","6,877","17,869","5,190"
2021,6,0,"7,178","2,168",908,175,735,475,621,126,104,137,230,"1,267",232
2021,6,10,"9,783","3,217",962,247,"1,099",572,864,220,154,192,371,"1,566",319
2021,6,20,"10,617","3,545",833,348,"1,240",749,617,254,222,279,485,"1,658",387
2021,6,30,"10,767","3,180","1,179",360,"1,203",773,828,277,195,288,409,"1,689",386
2021,6,40,"16,283","4,777","1,691",500,"1,835","1,072","1,493",417,354,383,700,"2,465",596
2021,6,50,"20,647","5,346","1,635",870,"2,401","1,407","1,717",672,663,909,"1,226","2,915",886
2021,6,60,"23,992","4,671","1,844","1,301","2,826","1,697","2,131","1,004","1,048","1,201","1,748","3,253","1,268"
2021,6,70,"13,171","2,446",971,702,"1,659",883,"1,043",563,605,709,999,"1,878",713
2021,6,80,"6,514","1,211",420,244,718,398,424,315,391,439,594,"1,006",354
2021,6,90,"1,016",162,60,44,115,58,82,42,44,81,112,168,48
2021,6,100,44,8,3,2,11,1,3,1,3,4,3,4,1
2021,7,총,"120,419","30,764","10,495","4,799","13,971","8,117","9,822","3,882","3,786","4,629","6,919","18,019","5,216"
2021,7,0,"7,177","2,179",904,175,744,477,610,125,104,134,232,"1,257",236
2021,7,10,"9,951","3,210",959,248,"1,165",575,868,220,155,198,380,"1,653",320
2021,7,20,"10,645","3,558",835,343,"1,261",750,607,251,222,278,482,"1,666",392
2021,7,30,"10,796","3,167","1,171",367,"1,197",787,834,277,194,287,416,"1,715",384
2021,7,40,"16,286","4,775","1,682",497,"1,847","1,070","1,494",412,357,391,710,"2,457",594
2021,7,50,"20,615","5,327","1,619",869,"2,400","1,412","1,708",667,663,906,"1,212","2,934",898
2021,7,60,"24,172","4,717","1,866","1,311","2,849","1,696","2,148","1,012","1,046","1,204","1,777","3,271","1,275"
2021,7,70,"13,165","2,440",975,698,"1,658",889,"1,045",559,601,712,"1,000","1,878",710
2021,7,80,"6,549","1,218",422,246,725,400,424,315,394,433,597,"1,015",360
2021,7,90,"1,019",165,59,43,114,60,81,43,47,82,110,169,46
2021,7,100,44,8,3,2,11,1,3,1,3,4,3,4,1
