년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021,9,30,"9,664",473,269,93,63,331,"1,780",346,108,189,223,"1,147",960,367,812,"2,503"
2021,9,40,"12,932",740,518,172,110,504,"1,087",575,207,332,332,"1,555","1,662",676,"1,368","3,094"
2021,9,50,"13,247","1,197",582,382,256,615,786,798,359,604,359,"1,494","1,599",742,"1,211","2,263"
2021,9,60,"11,698",920,582,670,449,611,502,802,599,729,560,"1,106","1,114",711,938,"1,405"
2021,9,70,"7,399",518,414,524,338,418,272,544,466,592,442,570,614,434,539,714
2021,9,80,"5,441",414,359,435,259,307,209,465,383,424,403,374,376,219,349,465
2021,9,90,"1,021",73,57,80,39,68,42,83,68,82,56,84,82,43,63,101
2021,9,100,39,4,7,1,1,1,1,2,1,1,6,3,4,2,2,3
2021,10,총,"84,528","5,659","3,569","2,597","1,645","3,755","7,357","4,499","2,484","3,514","2,953","9,121","8,898","4,341","7,797","16,339"
2021,10,0,"7,318",325,229,59,23,286,"1,401",218,57,111,178,730,736,260,666,"2,039"
2021,10,10,"8,027",466,314,94,53,368,603,340,117,203,204,934,930,394,985,"2,022"
2021,10,20,"7,657",533,237,97,56,248,680,322,116,249,182,"1,102",807,485,858,"1,685"
2021,10,30,"9,630",471,262,90,63,331,"1,768",351,107,188,219,"1,146",960,366,807,"2,501"
2021,10,40,"12,933",734,520,170,107,501,"1,090",572,204,325,335,"1,558","1,657",682,"1,367","3,111"
2021,10,50,"13,270","1,194",587,379,255,608,783,802,353,606,365,"1,499","1,611",744,"1,207","2,277"
