년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,12,20,"25,915","1,515",930,"1,123","1,237","1,471","1,196","2,056","1,586","1,338","1,124","1,593",642,682,"1,740","1,134","1,447",853,"1,925","1,088","1,235"
2020,12,30,"24,512","1,301",948,"1,200","1,267","1,231","1,094","2,131","1,502","1,509",885,"1,224",834,677,"1,221",950,"1,400",641,"1,702","1,134","1,661"
2020,12,40,"26,091",987,782,"1,595","1,580","1,480",896,"1,515","1,446","1,927","1,395","1,682",768,909,"1,442","1,211","1,264",769,"2,135",793,"1,515"
2020,12,50,"28,430","1,369",749,"1,525","1,773","1,703",835,"1,378","1,476","1,837","1,678","2,097",699,"1,088","1,673","1,386","1,265",950,"2,499",876,"1,574"
2020,12,60,"26,356","1,228",651,"1,529","1,858","1,442",749,"1,173","1,506","1,558","1,290","1,930",730,918,"1,572","1,350",976,913,"2,435",799,"1,749"
2020,12,70,"14,031",600,257,905,"1,200",717,437,650,927,886,679,899,417,472,873,808,560,508,983,385,868
2020,12,80,"4,663",191,77,311,398,281,158,244,350,242,192,317,145,141,263,252,177,162,341,140,281
2020,12,90,353,15,13,32,23,21,12,21,17,23,15,28,10,7,15,24,10,10,18,14,25
2020,12,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2021,1,총,"173,861","7,834","4,950","9,911","10,891","9,658","5,923","10,651","9,946","11,290","8,802","11,325","5,010","5,722","9,819","8,336","8,187","5,534","14,211","5,710","10,151"
2021,1,0,"10,728",312,339,727,682,577,285,699,506,"1,010",577,576,385,363,432,512,633,291,941,236,645
2021,1,10,"12,700",293,221,934,870,771,288,642,601,948,982,"1,014",355,453,621,720,486,427,"1,259",245,570
2021,1,20,"25,821","1,525",918,"1,118","1,236","1,458","1,172","2,081","1,597","1,320","1,129","1,568",651,689,"1,718","1,130","1,435",849,"1,913","1,080","1,234"
2021,1,30,"24,559","1,312",948,"1,211","1,261","1,216","1,088","2,174","1,506","1,513",869,"1,220",831,677,"1,225",953,"1,398",642,"1,688","1,150","1,677"
2021,1,40,"26,034",990,777,"1,589","1,587","1,462",892,"1,550","1,454","1,921","1,393","1,666",769,904,"1,438","1,188","1,265",775,"2,117",782,"1,515"
2021,1,50,"28,346","1,367",748,"1,525","1,762","1,698",836,"1,390","1,469","1,829","1,659","2,094",710,"1,092","1,647","1,380","1,255",950,"2,497",872,"1,566"
2021,1,60,"26,489","1,225",656,"1,554","1,856","1,455",747,"1,182","1,515","1,579","1,302","1,941",734,921,"1,583","1,360",967,914,"2,446",796,"1,756"
2021,1,70,"14,071",601,251,906,"1,207",714,438,659,927,899,684,897,415,473,875,815,561,506,988,385,870
2021,1,80,"4,707",192,79,313,405,281,160,250,351,242,190,320,147,141,265,251,177,169,342,148,284
2021,1,90,358,14,13,32,24,22,13,21,16,22,14,28,12,7,15,24,10,10,19,14,28
2021,1,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2021,2,총,"173,763","7,864","4,952","9,936","10,856","9,640","5,913","10,747","9,934","11,296","8,767","11,322","4,997","5,690","9,808","8,316","8,159","5,521","14,197","5,744","10,104"
2021,2,0,"10,717",320,333,725,677,581,285,721,504,"1,026",573,570,386,350,428,510,625,289,938,238,638
2021,2,10,"12,637",287,223,933,863,769,281,649,602,943,971,"1,011",350,452,615,718,480,429,"1,252",245,564
2021,2,20,"25,750","1,553",922,"1,119","1,226","1,441","1,174","2,099","1,591","1,307","1,108","1,567",650,683,"1,715","1,123","1,425",843,"1,904","1,077","1,223"
2021,2,30,"24,488","1,312",939,"1,205","1,240","1,209","1,082","2,196","1,500","1,515",873,"1,223",818,678,"1,216",943,"1,384",635,"1,683","1,159","1,678"
2021,2,40,"26,085",995,793,"1,607","1,593","1,457",889,"1,572","1,442","1,914","1,397","1,657",770,889,"1,445","1,196","1,270",779,"2,120",804,"1,496"
2021,2,50,"28,267","1,359",742,"1,519","1,757","1,697",837,"1,388","1,467","1,817","1,645","2,105",706,"1,096","1,650","1,371","1,255",946,"2,484",867,"1,559"
2021,2,60,"26,560","1,228",660,"1,562","1,864","1,458",745,"1,185","1,513","1,598","1,310","1,935",739,924,"1,574","1,361",974,910,"2,459",799,"1,762"
2021,2,70,"14,080",593,252,918,"1,201",719,438,658,937,898,681,906,413,464,881,809,554,505,998,385,870
2021,2,80,"4,769",200,75,314,409,280,166,255,357,248,193,318,152,145,269,258,183,174,337,154,282
2021,2,90,362,14,13,32,25,25,12,21,17,23,13,29,12,7,15,24,9,10,21,14,26
