년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2021,1,90,248,24,44,35,16,19,19,14,31,21,11,14,,
2021,1,100,14,4,4,1,1,1,1,0,2,0,0,0,,
2021,2,총,"176,852","17,738","18,065","20,834","10,992","12,167","18,508","13,629","13,874","14,252","14,801","21,992",,
2021,2,0,"17,688","1,627",795,"1,732","1,183","1,240","2,503","1,555","1,361","1,289","1,653","2,750",,
2021,2,10,"19,640","1,807",760,"1,645","1,554","1,773","2,356","1,509","1,623","1,583","2,354","2,676",,
2021,2,20,"28,200","2,404","4,255","4,913","1,471","1,604","1,985","2,275","2,397","2,361","1,979","2,556",,
2021,2,30,"29,002","2,266","3,915","3,494","1,565","1,526","3,004","2,875","2,411","2,208","2,056","3,682",,
2021,2,40,"29,699","3,066","2,344","2,816","2,086","2,236","3,588","2,131","2,066","2,404","2,832","4,130",,
2021,2,50,"26,891","3,105","2,742","2,820","1,673","2,025","2,554","1,806","2,199","2,441","2,418","3,108",,
2021,2,60,"17,065","2,218","2,123","2,281",891,"1,058","1,663","1,030","1,305","1,280","1,109","2,107",,
2021,2,70,"6,277",904,798,826,397,490,644,324,350,470,318,756,,
2021,2,80,"2,130",312,285,270,156,196,191,111,129,196,71,213,,
2021,2,90,246,25,44,36,15,18,19,13,31,20,11,14,,
2021,2,100,14,4,4,1,1,1,1,0,2,0,0,0,,
2021,3,총,"176,765","17,736","18,033","20,835","10,981","12,185","18,483","13,617","13,860","14,252","14,796","21,987",,
2021,3,0,"17,622","1,630",792,"1,724","1,177","1,240","2,490","1,538","1,354","1,271","1,644","2,762",,
2021,3,10,"19,598","1,795",765,"1,656","1,549","1,770","2,340","1,507","1,619","1,581","2,353","2,663",,
2021,3,20,"28,214","2,399","4,242","4,941","1,490","1,600","1,988","2,274","2,385","2,359","1,982","2,554",,
2021,3,30,"28,931","2,270","3,912","3,470","1,575","1,541","2,953","2,867","2,422","2,211","2,066","3,644",,
2021,3,40,"29,655","3,055","2,351","2,809","2,067","2,222","3,604","2,135","2,061","2,395","2,811","4,145",,
2021,3,50,"26,847","3,095","2,707","2,818","1,664","2,029","2,563","1,805","2,186","2,455","2,426","3,099",,
2021,3,60,"17,225","2,246","2,143","2,281",891,"1,079","1,683","1,045","1,320","1,296","1,107","2,134",,
2021,3,70,"6,285",901,794,825,398,488,654,323,354,466,325,757,,
2021,3,80,"2,139",315,286,276,154,198,190,111,128,196,71,214,,
2021,3,90,243,26,40,35,15,18,18,12,31,22,11,15,,
2021,3,100,6,4,1,0,1,0,0,0,0,0,0,0,,
2021,4,총,"176,715","17,669","18,023","20,838","10,969","12,183","18,484","13,643","13,920","14,245","14,782","21,959",,
2021,4,0,"17,568","1,620",795,"1,724","1,172","1,237","2,479","1,546","1,359","1,257","1,627","2,752",,
2021,4,10,"19,561","1,789",755,"1,659","1,544","1,769","2,335","1,486","1,618","1,580","2,355","2,671",,
2021,4,20,"28,149","2,367","4,234","4,918","1,482","1,600","1,986","2,274","2,409","2,359","1,985","2,535",,
2021,4,30,"28,916","2,274","3,907","3,473","1,574","1,537","2,933","2,896","2,439","2,200","2,058","3,625",,
2021,4,40,"29,603","3,035","2,344","2,816","2,058","2,221","3,604","2,143","2,065","2,390","2,792","4,135",,
2021,4,50,"26,916","3,102","2,701","2,816","1,678","2,035","2,577","1,802","2,189","2,475","2,441","3,100",,
2021,4,60,"17,304","2,243","2,162","2,300",892,"1,078","1,694","1,049","1,319","1,297","1,115","2,155",,
2021,4,70,"6,291",898,797,824,401,489,660,323,360,467,324,748,,
2021,4,80,"2,163",316,286,274,154,199,197,112,131,197,74,223,,
2021,4,90,240,23,41,34,13,18,19,12,31,23,11,15,,
2021,4,100,4,2,1,0,1,0,0,0,0,0,0,0,,
2021,5,총,"176,750","17,670","18,027","20,849","10,984","12,179","18,484","13,655","13,953","14,223","14,758","21,968",,
2021,5,0,"17,485","1,614",802,"1,726","1,170","1,230","2,470","1,529","1,360","1,244","1,612","2,728",,
2021,5,10,"19,517","1,777",757,"1,642","1,543","1,769","2,325","1,493","1,616","1,574","2,346","2,675",,
2021,5,20,"28,182","2,381","4,209","4,920","1,477","1,605","1,998","2,280","2,426","2,357","1,993","2,536",,
2021,5,30,"28,894","2,260","3,901","3,491","1,581","1,536","2,914","2,898","2,458","2,194","2,055","3,606",,
2021,5,40,"29,528","3,030","2,345","2,811","2,046","2,198","3,601","2,140","2,068","2,373","2,777","4,139",,
2021,5,50,"26,988","3,110","2,715","2,820","1,688","2,047","2,596","1,803","2,172","2,483","2,443","3,111",,
2021,5,60,"17,410","2,259","2,168","2,309",900,"1,088","1,689","1,054","1,330","1,309","1,122","2,182",,
2021,5,70,"6,329",901,802,819,410,486,669,330,362,471,323,756,,
2021,5,80,"2,177",313,288,278,156,202,203,115,130,196,76,220,,
2021,5,90,236,23,39,33,12,18,19,13,31,22,11,15,,
2021,5,100,4,2,1,0,1,0,0,0,0,0,0,0,,
2021,6,총,"176,644","17,655","18,036","20,812","10,951","12,171","18,494","13,675","13,922","14,198","14,787","21,943",,
2021,6,0,"17,441","1,623",797,"1,727","1,152","1,223","2,465","1,528","1,362","1,231","1,608","2,725",,
2021,6,10,"19,459","1,762",756,"1,632","1,533","1,761","2,325","1,484","1,610","1,574","2,340","2,682",,
2021,6,20,"28,113","2,371","4,205","4,903","1,482","1,613","2,004","2,278","2,411","2,340","1,991","2,515",,
2021,6,30,"28,836","2,254","3,901","3,483","1,580","1,533","2,900","2,900","2,451","2,186","2,066","3,582",,
2021,6,40,"29,511","3,024","2,354","2,814","2,023","2,190","3,600","2,152","2,057","2,380","2,785","4,132",,
2021,6,50,"26,938","3,104","2,697","2,812","1,698","2,047","2,581","1,809","2,162","2,471","2,447","3,110",,
2021,6,60,"17,561","2,273","2,186","2,304",903,"1,093","1,721","1,062","1,353","1,327","1,136","2,203",,
2021,6,70,"6,354",906,811,830,412,484,675,329,356,469,325,757,,
2021,6,80,"2,189",313,290,273,154,209,205,120,128,199,77,221,,
2021,6,90,239,24,38,34,13,18,18,13,32,21,12,16,,
2021,6,100,3,1,1,0,1,0,0,0,0,0,0,0,,
2021,7,총,"176,651","17,630","18,101","20,771","10,969","12,178","18,458","13,703","13,912","14,189","14,784","21,956",,
2021,7,0,"17,366","1,620",794,"1,729","1,158","1,214","2,445","1,522","1,360","1,227","1,586","2,711",,
2021,7,10,"19,444","1,759",750,"1,628","1,525","1,755","2,325","1,484","1,603","1,575","2,354","2,686",,
2021,7,20,"28,065","2,365","4,187","4,879","1,485","1,615","1,997","2,289","2,401","2,340","1,992","2,515",,
