년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021,5,총,"54,095","2,769","2,094","1,425","1,005","1,397",901,883,"1,046","1,287","1,711","1,394",827,"1,125",603,"1,036","8,515","1,514","10,601","1,697","5,234","3,014","2,123","1,894"
2021,5,0,"2,991",121,94,29,24,39,19,19,19,33,29,24,25,46,16,30,675,77,783,73,439,225,95,57
2021,5,10,"4,434",145,126,64,32,60,37,41,32,60,65,24,31,51,24,48,909,143,"1,342",126,582,244,144,104
2021,5,20,"4,650",163,154,73,42,49,48,54,42,60,97,62,36,58,28,55,952,150,"1,172",144,552,282,188,189
2021,5,30,"4,042",154,138,59,45,69,31,27,40,63,58,62,34,36,15,37,888,118,938,124,539,301,144,122
2021,5,40,"6,853",260,199,98,60,83,53,70,64,87,122,68,47,100,31,69,"1,517",223,"1,799",159,914,422,227,181
2021,5,50,"8,382",399,364,218,131,183,108,148,128,178,241,173,109,155,100,124,"1,423",243,"1,687",270,863,464,371,302
2021,5,60,"8,743",519,388,288,205,305,185,182,213,263,364,347,169,205,127,213,"1,026",205,"1,363",342,646,463,397,328
2021,5,70,"7,451",539,307,281,221,304,206,158,234,269,355,315,182,233,136,228,677,196,887,284,440,389,298,312
2021,5,80,"5,564",410,276,267,217,262,174,154,239,234,333,268,155,207,107,196,387,137,529,139,228,174,226,245
2021,5,90,932,55,43,46,27,42,38,29,34,37,46,47,37,31,18,36,53,21,99,35,30,49,29,50
2021,5,100,53,4,5,2,1,1,2,1,1,3,1,4,2,3,1,0,8,1,2,1,1,1,4,4
2021,6,총,"54,048","2,759","2,098","1,420","1,008","1,396",899,884,"1,044","1,278","1,699","1,389",825,"1,126",597,"1,035","8,498","1,521","10,596","1,694","5,237","3,024","2,127","1,894"
2021,6,0,"2,958",124,94,27,25,37,19,19,18,31,28,24,25,47,16,30,663,76,768,72,436,224,96,59
2021,6,10,"4,432",140,124,62,34,62,36,41,32,59,66,24,30,51,24,48,900,143,"1,356",127,580,242,146,105
2021,6,20,"4,648",163,158,70,40,51,50,54,40,57,95,61,34,58,27,54,957,152,"1,174",143,554,287,182,187
2021,6,30,"4,018",151,134,59,46,66,30,27,39,63,58,62,33,36,15,39,890,119,923,128,538,292,148,122
