년도,월,나이,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020,9,40,"43,446","1,745","4,259","1,636","2,255",719,172,"1,487",363,235,"3,837","1,977","1,617",920,"1,820",562,310,"1,660",766,241,"7,457","4,907","2,375","2,126",,
2020,9,50,"40,751","2,342","3,118","1,450","1,272",959,295,"1,501",554,431,"3,936","2,403","1,533",887,"2,033",548,488,"2,101",887,376,"5,324","4,341","1,481","2,491",,
2020,9,60,"27,030","2,471","1,802","1,134","1,045",844,326,899,561,554,"2,224","1,704",750,608,"1,342",508,536,"1,509",763,388,"2,684","2,374",691,"1,313",,
2020,9,70,"15,968","1,656","1,115",663,550,538,237,498,394,405,"1,247","1,070",387,409,827,353,442,891,484,241,"1,261","1,249",294,757,,
2020,9,80,"8,966",967,638,410,365,318,174,323,292,291,696,555,230,177,410,162,234,457,266,118,683,644,161,395,,
2020,9,90,"1,467",158,111,79,83,48,19,66,48,60,94,75,39,37,70,34,41,58,44,18,106,96,25,58,,
2020,9,100,163,35,9,4,5,4,1,3,2,3,11,8,3,4,7,6,14,8,11,3,7,11,0,4,,
2020,10,총,"257,194","13,483","21,270","9,691","12,432","5,171","1,659","10,282","3,137","2,539","21,414","12,607","9,457","5,822","11,100","3,763","2,857","11,077","5,161","1,944","40,309","26,979","11,938","13,102",,
2020,10,0,"23,900",743,"2,067",985,"1,954",246,63,"1,270",143,74,"1,448",667,"1,158",372,826,295,74,513,284,58,"5,108","2,829","1,631","1,092",,
2020,10,10,"25,670",819,"2,902",933,"1,505",380,88,895,247,145,"2,413","1,133",920,488,"1,103",235,143,844,321,88,"4,348","2,920","1,496","1,304",,
2020,10,20,"32,736","1,237","2,634","1,065","1,000",596,136,"1,334",295,194,"3,124","1,665","1,202","1,027","1,351",471,321,"1,784",699,256,"5,334","3,569","1,542","1,900",,
2020,10,30,"36,390","1,309","2,621","1,322","2,358",492,140,"1,886",242,146,"2,393","1,348","1,593",889,"1,298",587,258,"1,256",640,159,"7,576","3,988","2,221","1,668",,
2020,10,40,"43,626","1,744","4,256","1,628","2,273",729,173,"1,543",353,238,"3,806","1,972","1,624",921,"1,811",557,313,"1,659",757,240,"7,650","4,902","2,367","2,110",,
2020,10,50,"40,947","2,334","3,125","1,453","1,273",962,295,"1,535",562,424,"3,950","2,406","1,543",888,"2,033",560,479,"2,092",889,375,"5,434","4,358","1,495","2,482",,
2020,10,60,"27,287","2,486","1,799","1,144","1,056",855,331,924,557,554,"2,239","1,706",755,609,"1,356",506,539,"1,511",768,389,"2,772","2,407",699,"1,325",,
2020,10,70,"16,001","1,649","1,111",668,551,537,237,503,398,409,"1,246","1,071",388,411,831,354,440,888,481,242,"1,287","1,252",294,753,,
2020,10,80,"9,002",970,635,410,370,322,176,323,292,292,687,557,230,175,414,158,236,464,268,116,686,647,169,405,,
2020,10,90,"1,474",159,111,79,87,48,19,66,46,60,97,74,41,38,70,34,40,58,43,18,107,96,24,59,,
2020,10,100,161,33,9,4,5,4,1,3,2,3,11,8,3,4,7,6,14,8,11,3,7,11,0,4,,
2020,11,총,"258,375","13,490","21,234","9,645","12,490","5,150","1,665","10,658","3,138","2,530","21,385","12,580","9,462","5,826","11,073","3,745","2,850","11,056","5,135","1,956","41,179","27,059","11,981","13,088",,
2020,11,0,"23,980",742,"2,041",961,"1,954",251,65,"1,328",143,69,"1,441",664,"1,146",376,809,295,73,505,281,61,"5,238","2,815","1,626","1,096",,
2020,11,10,"25,722",822,"2,898",931,"1,516",376,87,919,247,145,"2,396","1,123",922,473,"1,108",238,140,837,316,87,"4,416","2,918","1,509","1,298",,
2020,11,20,"32,943","1,232","2,635","1,072","1,003",593,134,"1,419",291,191,"3,109","1,658","1,207","1,038","1,347",462,325,"1,798",691,262,"5,434","3,588","1,559","1,895",,
2020,11,30,"36,557","1,306","2,612","1,305","2,353",491,141,"1,961",242,149,"2,393","1,352","1,588",889,"1,276",582,254,"1,240",623,163,"7,778","3,995","2,218","1,646",,
2020,11,40,"43,800","1,739","4,244","1,624","2,298",718,174,"1,604",355,236,"3,786","1,944","1,636",923,"1,806",550,309,"1,657",764,236,"7,801","4,907","2,380","2,109",,
2020,11,50,"41,068","2,327","3,124","1,436","1,285",959,296,"1,574",562,416,"3,937","2,415","1,533",886,"2,032",562,479,"2,082",883,378,"5,553","4,373","1,494","2,482",,
2020,11,60,"27,553","2,507","1,811","1,156","1,066",859,331,951,561,560,"2,265","1,712",770,607,"1,372",506,539,"1,514",770,384,"2,840","2,439",704,"1,329",,
2020,11,70,"16,061","1,647","1,111",668,552,536,239,509,395,405,"1,254","1,067",391,412,832,351,440,886,486,245,"1,310","1,265",296,764,,
2020,11,80,"9,031",975,639,408,368,314,178,323,295,296,691,563,224,179,413,160,233,466,267,119,693,649,171,407,,
2020,11,90,"1,500",160,110,80,90,49,19,68,45,60,102,74,42,39,71,33,45,63,43,18,109,98,24,58,,
2020,11,100,160,33,9,4,5,4,1,2,2,3,11,8,3,4,7,6,13,8,11,3,7,12,0,4,,
2020,12,총,"259,690","13,558","21,219","9,649","12,599","5,156","1,663","10,879","3,136","2,519","21,381","12,558","9,506","5,837","11,058","3,725","2,843","11,054","5,140","1,950","41,947","27,128","12,010","13,175",,
2020,12,0,"24,121",752,"2,025",973,"1,966",252,66,"1,351",141,67,"1,425",666,"1,150",374,804,286,77,501,284,60,"5,347","2,811","1,621","1,122",,
2020,12,10,"25,764",822,"2,880",912,"1,525",374,85,937,242,146,"2,386","1,118",929,470,"1,101",240,135,825,313,85,"4,482","2,935","1,516","1,306",,
2020,12,20,"33,162","1,244","2,643","1,089","1,025",593,133,"1,459",290,185,"3,113","1,654","1,209","1,049","1,338",468,323,"1,803",708,258,"5,506","3,600","1,574","1,898",,
2020,12,30,"36,849","1,321","2,592","1,310","2,365",499,140,"2,024",241,147,"2,369","1,347","1,595",887,"1,277",573,251,"1,244",612,168,"7,977","4,018","2,214","1,678",,
2020,12,40,"43,914","1,742","4,233","1,606","2,337",711,171,"1,633",357,235,"3,772","1,929","1,635",913,"1,806",540,316,"1,645",764,230,"7,929","4,906","2,400","2,104",,
2020,12,50,"41,229","2,344","3,132","1,437","1,287",956,297,"1,597",559,413,"3,961","2,403","1,539",892,"2,022",563,472,"2,080",877,377,"5,660","4,379","1,493","2,489",,
2020,12,60,"27,785","2,510","1,842","1,159","1,070",869,332,968,569,556,"2,287","1,720",781,613,"1,385",507,536,"1,527",773,383,"2,904","2,450",703,"1,341",,
2020,12,70,"16,093","1,652","1,110",673,552,541,240,505,393,410,"1,253","1,073",396,417,825,345,442,886,486,247,"1,321","1,271",292,763,,
2020,12,80,"9,107",978,638,408,378,311,178,334,298,297,701,566,226,181,418,164,232,474,267,121,703,652,170,412,,
2020,12,90,"1,506",160,116,78,88,47,20,69,44,60,103,74,42,37,74,33,46,61,45,18,112,94,27,58,,
2020,12,100,160,33,8,4,6,3,1,2,2,3,11,8,4,4,8,6,13,8,11,3,6,12,0,4,,
2021,1,총,"261,239","13,604","21,164","9,678","12,673","5,133","1,656","11,051","3,127","2,508","21,412","12,577","9,541","5,858","11,061","3,705","2,840","11,047","5,132","1,956","42,539","27,217","12,042","13,718",,
2021,1,0,"24,188",754,"2,003",962,"1,962",246,67,"1,362",141,68,"1,421",668,"1,158",373,792,277,77,494,278,63,"5,426","2,808","1,605","1,183",,
2021,1,10,"25,877",830,"2,868",909,"1,539",377,83,948,233,143,"2,378","1,114",928,467,"1,103",238,132,821,315,85,"4,531","2,956","1,532","1,347",,
2021,1,20,"33,360","1,251","2,639","1,101","1,048",584,124,"1,493",292,183,"3,138","1,661","1,208","1,052","1,332",470,326,"1,801",704,253,"5,560","3,598","1,573","1,969",,
2021,1,30,"37,120","1,331","2,572","1,324","2,356",492,144,"2,062",239,145,"2,359","1,346","1,602",889,"1,277",567,252,"1,249",603,173,"8,115","4,007","2,210","1,806",,
2021,1,40,"44,116","1,748","4,204","1,599","2,355",700,170,"1,650",355,232,"3,740","1,928","1,642",912,"1,811",550,308,"1,638",762,229,"8,048","4,929","2,409","2,197",,
