년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021,2,40,"13,866","1,119",638,939,"1,275","2,268","1,625",818,"1,428","1,150",676,858,"1,072"
2021,2,50,"17,040","1,470",718,"1,242","1,553","2,867","1,897","1,139","1,302","1,433",625,"1,230","1,564"
2021,2,60,"12,407","1,338",693,"1,133","1,147","1,349","1,474",890,884,872,380,936,"1,311"
2021,2,70,"5,476",625,296,549,550,495,664,480,305,447,142,413,510
2021,2,80,"1,907",182,88,210,195,213,217,159,129,167,46,125,176
2021,2,90,150,13,7,22,16,18,13,6,9,16,3,14,13
2021,2,100,9,2,0,4,2,1,0,0,0,0,0,0,0
2021,3,총,"89,343","7,762","3,762","6,411","8,215","13,699","10,146","5,630","8,489","7,338","3,606","6,301","7,984"
2021,3,0,"5,564",335,162,335,466,"1,003",476,232,"1,038",406,221,416,474
2021,3,10,"8,566",553,264,521,878,"1,944",853,464,785,637,309,524,834
2021,3,20,"13,537","1,266",455,795,"1,260","2,191","1,658",836,"1,093","1,222",594,937,"1,230"
2021,3,30,"10,880",879,439,678,875,"1,348","1,271",615,"1,493",978,619,861,824
2021,3,40,"13,736","1,104",628,931,"1,262","2,231","1,603",808,"1,442","1,148",670,849,"1,060"
2021,3,50,"17,000","1,466",726,"1,238","1,553","2,862","1,908","1,122","1,292","1,438",620,"1,224","1,551"
2021,3,60,"12,521","1,338",696,"1,137","1,158","1,388","1,482",911,899,878,379,940,"1,315"
2021,3,70,"5,490",629,298,550,547,502,665,476,311,447,147,408,510
2021,3,80,"1,902",178,87,206,199,215,218,160,125,169,44,128,173
2021,3,90,144,13,7,20,16,15,11,6,11,15,3,14,13
2021,3,100,3,1,0,0,1,0,1,0,0,0,0,0,0
2021,4,총,"89,254","7,758","3,754","6,389","8,192","13,686","10,151","5,633","8,480","7,355","3,591","6,291","7,974"
2021,4,0,"5,538",329,159,331,469,996,480,232,"1,029",406,223,413,471
2021,4,10,"8,525",557,265,518,866,"1,936",856,463,787,632,302,517,826
2021,4,20,"13,534","1,258",454,797,"1,248","2,191","1,670",834,"1,089","1,229",587,943,"1,234"
2021,4,30,"10,849",889,433,668,880,"1,350","1,251",620,"1,474",983,621,857,823
2021,4,40,"13,715","1,102",630,927,"1,251","2,222","1,611",814,"1,449","1,145",672,834,"1,058"
2021,4,50,"16,920","1,446",724,"1,231","1,547","2,847","1,910","1,106","1,290","1,445",613,"1,225","1,536"
2021,4,60,"12,596","1,352",698,"1,134","1,170","1,401","1,472",918,913,886,380,948,"1,324"
2021,4,70,"5,502",632,296,557,540,503,663,479,311,445,148,412,516
2021,4,80,"1,933",179,88,208,204,224,226,161,127,170,43,130,173
2021,4,90,139,13,7,18,16,16,11,6,11,14,2,12,13
2021,4,100,3,1,0,0,1,0,1,0,0,0,0,0,0
2021,5,총,"89,204","7,745","3,764","6,378","8,187","13,667","10,170","5,659","8,472","7,347","3,591","6,289","7,935"
2021,5,0,"5,497",328,155,327,465,990,468,230,"1,023",410,217,419,465
2021,5,10,"8,474",556,264,513,866,"1,924",854,469,779,630,302,513,804
2021,5,20,"13,502","1,248",455,785,"1,235","2,195","1,668",832,"1,099","1,223",588,931,"1,243"
2021,5,30,"10,878",886,437,682,886,"1,353","1,258",630,"1,467",981,627,862,809
2021,5,40,"13,635","1,099",622,917,"1,239","2,210","1,597",817,"1,437","1,143",672,837,"1,045"
2021,5,50,"16,922","1,452",729,"1,231","1,551","2,827","1,934","1,109","1,300","1,431",608,"1,216","1,534"
2021,5,60,"12,668","1,346",703,"1,139","1,176","1,417","1,489",916,918,895,383,953,"1,333"
2021,5,70,"5,536",637,305,554,546,509,664,481,310,450,148,415,517
2021,5,80,"1,948",178,87,211,207,226,226,169,127,171,44,131,171
2021,5,90,142,14,7,19,15,16,12,6,12,13,2,12,14
2021,5,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,6,총,"89,155","7,741","3,757","6,368","8,183","13,666","10,173","5,645","8,449","7,371","3,584","6,301","7,917"
2021,6,0,"5,467",323,154,324,463,996,459,225,"1,021",404,216,424,458
2021,6,10,"8,445",551,266,508,869,"1,911",854,469,781,629,301,513,793
2021,6,20,"13,483","1,254",456,790,"1,225","2,190","1,662",822,"1,078","1,237",587,935,"1,247"
2021,6,30,"10,858",884,433,683,878,"1,355","1,261",635,"1,466",985,625,859,794
2021,6,40,"13,620","1,099",615,915,"1,243","2,212","1,598",807,"1,437","1,141",668,839,"1,046"
2021,6,50,"16,887","1,445",724,"1,232","1,546","2,805","1,933","1,108","1,294","1,446",608,"1,214","1,532"
2021,6,60,"12,752","1,345",711,"1,137","1,180","1,448","1,499",918,928,894,389,960,"1,343"
2021,6,70,"5,544",646,304,550,550,508,670,483,308,449,146,412,518
2021,6,80,"1,952",178,87,210,211,225,225,171,125,172,42,133,173
2021,6,90,145,15,7,19,17,16,12,7,11,14,2,12,13
2021,6,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,7,총,"89,057","7,739","3,738","6,347","8,173","13,643","10,164","5,630","8,425","7,409","3,590","6,298","7,901"
2021,7,0,"5,420",317,151,323,459,986,454,215,"1,023",400,216,420,456
2021,7,10,"8,409",548,261,511,865,"1,907",845,472,781,629,299,511,780
2021,7,20,"13,477","1,257",460,782,"1,217","2,192","1,668",812,"1,066","1,254",585,935,"1,249"
2021,7,30,"10,812",888,422,677,879,"1,345","1,258",633,"1,452",994,623,859,782
2021,7,40,"13,587","1,097",615,920,"1,226","2,196","1,603",804,"1,434","1,139",665,846,"1,042"
2021,7,50,"16,877","1,431",722,"1,223","1,555","2,813","1,926","1,105","1,288","1,452",614,"1,213","1,535"
2021,7,60,"12,824","1,359",708,"1,136","1,190","1,453","1,504",928,937,904,395,961,"1,349"
