년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,10,90,"14,845","1,736",728,"1,008","1,387",932,"1,135",932,783,603,"1,026",647,838,259,626,241,188,428,484,237,381,470,539,382,536,55
2020,10,100,780,81,38,43,69,46,49,45,48,29,50,41,55,15,40,16,20,22,18,5,21,33,31,24,15,7
2020,11,총,"1,310,306","248,840","111,772","137,068","126,601","70,049","80,171","202,645","52,102","50,155","49,704","36,339","130,578","11,386","26,501","12,559","8,431","19,173","21,541","15,302","20,876","54,996","28,228","15,677","24,317","4,135"
2020,11,0,"92,207","19,199","8,470","10,729","7,952","5,046","5,080","20,106","2,964","2,836","2,519","1,955","10,044",315,926,474,343,846,749,693,948,"4,640","2,257",681,"1,444",190
2020,11,10,"107,435","22,275","10,088","12,187","9,963","5,659","6,554","21,555","4,267","3,095","3,631","2,573","10,908",443,"1,101",569,457,"1,036","1,111",957,"1,001","5,439","2,030",859,"1,719",233
2020,11,20,"123,442","24,132","10,749","13,383","11,766","6,428","7,553","25,285","3,982","4,148","3,443","2,676","16,231",597,"1,340",679,472,"1,032","1,147","1,059","1,427","5,242","1,792",846,"1,833",332
2020,11,30,"136,219","28,212","12,454","15,758","11,892","7,187","7,439","30,749","3,976","4,290","3,445","2,694","15,382",569,"1,451",708,479,"1,187","1,326","1,021","1,476","6,827","2,711",896,"1,961",341
2020,11,40,"183,522","38,370","17,277","21,093","17,600","9,159","10,734","36,202","6,724","5,709","5,427","4,069","20,268",894,"1,952","1,006",706,"1,732","1,952","1,695","1,910","9,507","3,211","1,350","2,844",501
2020,11,50,"222,130","45,024","19,977","25,047","22,622","11,442","12,959","34,220","8,820","8,521","7,917","5,807","22,287","1,870","4,012","2,220","1,362","2,909","3,448","2,591","3,844","8,985","3,869","2,663","3,957",781
2020,11,60,"205,159","39,861","18,454","21,407","20,768","11,127","13,160","19,073","9,535","9,304","9,317","6,881","17,717","2,531","5,850","2,756","1,727","3,850","4,811","2,966","4,382","6,587","4,718","3,282","4,127",829
2020,11,70,"134,154","19,651","8,982","10,669","13,683","7,607","9,222","8,982","6,557","6,940","7,225","5,279","10,794","2,178","5,101","2,291","1,523","3,561","3,576","2,296","3,132","4,315","3,827","2,614","3,235",565
2020,11,80,"90,349","10,291","4,545","5,746","8,880","5,424","6,283","5,484","4,440","4,675","5,704","3,714","6,047","1,714","4,105","1,595","1,150","2,571","2,916","1,784","2,356","2,949","3,243","2,075","2,649",300
