년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021,7,90,127,25,11,17,11,9,12,11,3,7,10,5,6
2021,7,100,2,0,0,1,0,0,0,0,0,0,0,1,0
2021,8,총,"27,439","7,214","1,145","1,305",830,"9,749","1,262","1,160",721,"1,320","1,482",573,678
2021,8,0,"2,288",377,33,24,27,"1,648",80,23,5,21,24,10,16
2021,8,10,"2,347",649,67,41,34,"1,265",58,45,19,45,55,35,34
2021,8,20,"2,312",765,50,89,29,925,139,58,34,56,103,19,45
2021,8,30,"2,697",573,40,70,42,"1,568",119,60,23,73,81,15,33
2021,8,40,"3,868",992,108,106,78,"1,860",155,131,60,132,138,47,61
2021,8,50,"4,176","1,212",200,217,157,"1,200",188,184,124,219,250,104,121
2021,8,60,"4,888","1,387",279,376,229,770,223,290,215,367,381,206,165
2021,8,70,"3,036",842,212,218,138,346,185,221,135,254,268,93,124
2021,8,80,"1,698",392,145,146,87,158,103,137,102,146,171,38,73
2021,8,90,127,25,11,17,9,9,12,11,4,7,11,5,6
2021,8,100,2,0,0,1,0,0,0,0,0,0,0,1,0
2021,9,총,"27,415","7,194","1,144","1,296",829,"9,753","1,269","1,160",722,"1,314","1,484",573,677
2021,9,0,"2,290",376,33,23,26,"1,652",80,23,5,21,24,10,17
2021,9,10,"2,355",652,67,38,34,"1,273",57,44,19,46,56,35,34
2021,9,20,"2,286",752,49,84,28,916,147,58,33,54,103,19,43
2021,9,30,"2,685",572,41,71,41,"1,561",117,60,23,73,80,14,32
2021,9,40,"3,857",986,106,107,75,"1,857",155,131,61,133,140,46,60
2021,9,50,"4,181","1,210",203,216,157,"1,214",184,186,125,213,248,105,120
2021,9,60,"4,899","1,392",277,374,233,767,229,287,216,368,383,206,167
2021,9,70,"3,027",835,212,220,139,342,183,221,135,253,271,93,123
2021,9,80,"1,706",393,146,145,87,162,105,139,101,146,169,38,75
2021,9,90,127,26,10,17,9,9,12,11,4,7,10,6,6
2021,9,100,2,0,0,1,0,0,0,0,0,0,0,1,0
2021,10,총,"27,405","7,182","1,140","1,291",840,"9,745","1,264","1,161",726,"1,324","1,482",575,675
2021,10,0,"2,278",377,31,23,27,"1,644",80,24,5,20,22,9,16
2021,10,10,"2,362",653,67,37,34,"1,282",57,45,19,46,54,35,33
2021,10,20,"2,266",751,48,83,31,899,144,58,34,53,102,20,43
2021,10,30,"2,672",572,40,67,42,"1,555",114,58,23,73,81,14,33
2021,10,40,"3,868",988,105,104,77,"1,871",154,130,60,134,140,46,59
2021,10,50,"4,171","1,201",202,215,159,"1,208",185,187,125,214,250,105,120
2021,10,60,"4,913","1,388",279,378,233,772,230,287,217,373,381,207,168
2021,10,70,"3,027",834,212,219,140,341,179,223,135,258,270,94,122
2021,10,80,"1,714",392,146,146,88,163,109,138,104,146,170,38,74
2021,10,90,132,26,10,18,9,10,12,11,4,7,12,6,7
2021,10,100,2,0,0,1,0,0,0,0,0,0,0,1,0
2021,11,총,"27,414","7,167","1,141","1,293",833,"9,759","1,271","1,164",727,"1,324","1,477",579,679
2021,11,0,"2,276",374,30,24,26,"1,645",79,23,5,21,23,9,17
2021,11,10,"2,363",653,68,37,35,"1,285",56,45,19,45,53,35,32
2021,11,20,"2,273",750,45,82,31,906,148,60,34,53,99,20,45
2021,11,30,"2,663",564,40,68,40,"1,557",114,58,23,72,79,15,33
2021,11,40,"3,871",993,107,103,73,"1,875",157,128,57,134,140,45,59
2021,11,50,"4,168","1,197",198,215,161,"1,200",186,189,126,218,251,107,120
2021,11,60,"4,917","1,386",283,380,232,775,231,285,219,369,380,208,169
2021,11,70,"3,026",833,214,217,138,345,179,224,134,257,270,95,120
2021,11,80,"1,718",387,145,148,88,160,110,141,106,148,170,38,77
2021,11,90,137,30,11,18,9,11,11,11,4,7,12,6,7
2021,11,100,2,0,0,1,0,0,0,0,0,0,0,1,0
2021,12,총,"27,391","7,169","1,137","1,295",827,"9,762","1,263","1,160",724,"1,319","1,475",581,679
2021,12,0,"2,262",371,30,26,26,"1,633",81,20,5,20,24,9,17
2021,12,10,"2,354",650,65,35,33,"1,292",56,41,18,44,53,35,32
2021,12,20,"2,266",752,46,80,31,904,145,61,33,53,97,18,46
2021,12,30,"2,652",560,39,71,41,"1,554",111,57,23,73,77,16,30
2021,12,40,"3,874",992,106,104,73,"1,887",153,127,56,131,141,45,59
2021,12,50,"4,155","1,188",199,212,162,"1,197",186,191,126,219,246,109,120
2021,12,60,"4,924","1,395",278,382,232,780,227,283,220,363,383,209,172
2021,12,70,"3,024",843,216,216,133,342,179,226,133,263,260,94,119
2021,12,80,"1,736",387,146,150,85,163,114,140,106,147,182,39,77
2021,12,90,143,31,12,19,11,10,11,14,4,6,12,6,7
2021,12,100,1,0,0,0,0,0,0,0,0,0,0,1,0
