년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020,10,70,"14,093",719,"1,539",870,739,535,499,918,810,881,686,926,835,649,765,"1,746",976
2020,10,80,"6,774",395,836,531,393,272,230,395,396,423,333,406,329,316,317,729,473
2020,10,90,"1,202",83,124,111,62,63,34,73,70,97,59,59,48,54,40,145,80
2020,10,100,257,38,30,22,8,21,10,14,15,17,16,7,12,13,9,10,15
2020,11,총,"196,897","13,638","20,192","11,344","11,516","7,453","6,259","11,919","12,962","13,708","9,741","11,032","10,081","8,265","10,296","22,033","16,458"
2020,11,0,"12,366","1,451","1,083",688,"1,180",322,459,821,924,423,539,519,593,330,519,"1,277","1,238"
2020,11,10,"14,048",864,"1,176",765,"1,025",414,580,879,861,636,497,680,808,377,739,"1,661","2,086"
2020,11,20,"33,928","1,773","3,624","1,569","1,197","1,854",918,"1,743","2,424","3,583","1,985","1,877","1,567","1,724","1,674","4,060","2,356"
2020,11,30,"34,055","2,773","3,369","1,896","2,032","1,171",968,"1,948","2,206","2,863","1,955","2,049","1,568","1,613","1,770","3,681","2,193"
2020,11,40,"31,380","2,096","2,840","1,673","2,276","1,045","1,072","2,077","2,082","1,918","1,369","1,690","1,672","1,178","1,748","3,407","3,237"
2020,11,50,"27,604","2,000","3,288","1,814","1,477",972,882,"1,774","1,906","1,595","1,249","1,500","1,429","1,071","1,508","2,966","2,173"
2020,11,60,"21,189","1,435","2,309","1,410","1,128",790,605,"1,273","1,268","1,270","1,056","1,320","1,222",941,"1,196","2,333","1,633"
2020,11,70,"14,074",726,"1,525",861,740,533,497,921,810,881,680,924,832,648,772,"1,753",971
2020,11,80,"6,795",393,828,535,391,270,234,394,395,424,335,409,331,317,321,742,476
2020,11,90,"1,196",88,120,110,62,61,34,75,71,98,60,57,46,52,40,142,80
2020,11,100,262,39,30,23,8,21,10,14,15,17,16,7,13,14,9,11,15
2020,12,총,"196,740","13,693","20,120","11,301","11,558","7,447","6,277","11,909","12,929","13,764","9,754","11,026","10,063","8,230","10,254","21,993","16,422"
2020,12,0,"12,256","1,440","1,076",677,"1,185",322,470,815,917,416,528,516,581,322,510,"1,260","1,221"
2020,12,10,"14,006",868,"1,173",769,"1,023",415,572,882,862,627,498,674,809,366,737,"1,651","2,080"
2020,12,20,"33,997","1,791","3,627","1,554","1,206","1,845",930,"1,735","2,418","3,632","2,012","1,870","1,565","1,738","1,664","4,054","2,356"
2020,12,30,"33,983","2,777","3,376","1,875","2,052","1,172",966,"1,938","2,177","2,879","1,940","2,054","1,568","1,597","1,759","3,668","2,185"
2020,12,40,"31,346","2,110","2,799","1,681","2,293","1,045","1,082","2,076","2,084","1,914","1,375","1,683","1,661","1,163","1,734","3,414","3,232"
2020,12,50,"27,602","2,005","3,276","1,803","1,470",966,876,"1,787","1,927","1,601","1,243","1,507","1,433","1,074","1,515","2,956","2,163"
2020,12,60,"21,221","1,445","2,305","1,410","1,128",796,610,"1,270","1,253","1,268","1,064","1,327","1,210",944,"1,198","2,346","1,647"
2020,12,70,"14,066",729,"1,517",862,740,533,496,917,810,884,678,923,843,646,769,"1,748",971
2020,12,80,"6,807",403,820,537,389,271,231,398,396,429,338,411,334,314,320,744,472
2020,12,90,"1,192",86,121,110,64,61,34,77,69,97,61,53,47,52,39,141,80
2020,12,100,264,39,30,23,8,21,10,14,16,17,17,8,12,14,9,11,15
2021,1,총,"196,534","13,733","20,076","11,280","11,561","7,485","6,280","11,875","12,886","13,730","9,733","11,039","10,048","8,205","10,245","22,005","16,353"
2021,1,0,"12,135","1,439","1,067",662,"1,177",315,469,823,901,417,527,521,570,313,495,"1,236","1,203"
2021,1,10,"13,977",869,"1,164",765,"1,025",408,573,880,863,627,494,669,803,372,738,"1,664","2,063"
2021,1,20,"33,855","1,797","3,593","1,541","1,203","1,878",943,"1,705","2,391","3,601","2,005","1,872","1,556","1,732","1,662","4,029","2,347"
2021,1,30,"33,922","2,768","3,397","1,876","2,048","1,186",960,"1,925","2,156","2,873","1,941","2,049","1,573","1,584","1,747","3,677","2,162"
2021,1,40,"31,270","2,115","2,773","1,669","2,290","1,043","1,083","2,068","2,087","1,907","1,368","1,676","1,667","1,170","1,718","3,414","3,222"
2021,1,50,"27,638","2,016","3,273","1,819","1,474",967,868,"1,783","1,929","1,594","1,232","1,515","1,429","1,064","1,528","2,974","2,173"
2021,1,60,"21,333","1,460","2,318","1,411","1,145",795,613,"1,283","1,270","1,272","1,064","1,337","1,212",946,"1,206","2,355","1,646"
2021,1,70,"14,072",732,"1,512",860,739,538,497,914,804,890,688,927,842,646,772,"1,744",967
2021,1,80,"6,863",410,830,544,386,274,229,404,398,431,336,412,339,310,330,759,471
2021,1,90,"1,206",88,118,110,66,61,35,76,71,101,61,54,45,54,40,142,84
2021,1,100,263,39,31,23,8,20,10,14,16,17,17,7,12,14,9,11,15
2021,2,총,"196,459","13,736","20,080","11,305","11,530","7,493","6,308","11,854","12,972","13,747","9,709","11,022","10,022","8,208","10,231","21,930","16,312"
2021,2,0,"12,051","1,444","1,069",671,"1,171",324,473,824,881,412,518,514,561,310,487,"1,227","1,165"
2021,2,10,"14,005",876,"1,157",764,"1,035",423,575,884,856,641,490,676,794,373,739,"1,655","2,067"
2021,2,20,"33,848","1,779","3,578","1,537","1,200","1,860",947,"1,686","2,505","3,580","1,992","1,867","1,551","1,737","1,662","3,997","2,370"
2021,2,30,"33,774","2,755","3,390","1,878","2,012","1,190",972,"1,904","2,163","2,889","1,931","2,044","1,562","1,578","1,734","3,639","2,133"
2021,2,40,"31,286","2,143","2,780","1,658","2,298","1,044","1,082","2,072","2,087","1,910","1,369","1,670","1,661","1,173","1,725","3,419","3,195"
2021,2,50,"27,699","2,002","3,284","1,839","1,472",968,877,"1,789","1,910","1,604","1,237","1,516","1,440","1,055","1,528","2,975","2,203"
2021,2,60,"21,376","1,464","2,333","1,420","1,146",796,618,"1,286","1,282","1,268","1,064","1,329","1,215",951,"1,204","2,361","1,639"
2021,2,70,"14,045",730,"1,510",859,735,530,491,911,804,890,686,927,838,653,777,"1,739",965
2021,2,80,"6,891",413,827,545,385,278,228,409,400,435,342,418,343,308,324,761,475
2021,2,90,"1,225",91,122,112,68,60,35,76,68,101,64,54,45,56,42,146,85
2021,2,100,259,39,30,22,8,20,10,13,16,17,16,7,12,14,9,11,15
