년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021,8,60,"16,137","3,783",406,802,"2,893","1,618","1,137","2,014","1,376",863,372,873
2021,8,70,"7,689","1,792",262,385,"1,248",607,437,953,784,520,264,437
2021,8,80,"4,430",887,188,248,566,270,258,501,471,432,257,352
2021,8,90,676,135,32,31,94,38,37,68,59,88,41,53
2021,8,100,16,4,1,2,1,2,2,0,1,2,1,0
2021,9,총,"129,263","23,890","2,200","6,247","25,724","18,936","14,506","12,601","10,884","3,945","1,677","8,653"
2021,9,0,"14,202","1,502",144,374,"2,789","2,993","2,479","1,225","1,157",186,50,"1,303"
2021,9,10,"11,666","2,112",86,612,"2,895","1,735","1,704",840,814,223,61,584
2021,9,20,"12,908","2,797",194,724,"2,627","1,821","1,063","1,200","1,288",268,97,829
2021,9,30,"19,511","2,333",254,588,"3,502","3,955","2,962","1,879","1,802",299,105,"1,832"
2021,9,40,"21,290","3,547",213,"1,098","4,899","3,385","2,959","1,729","1,582",427,113,"1,338"
2021,9,50,"20,564","4,962",418,"1,375","4,171","2,500","1,458","2,164","1,544",622,319,"1,031"
2021,9,60,"16,213","3,795",405,809,"2,912","1,624","1,138","2,024","1,380",867,369,890
2021,9,70,"7,757","1,804",264,387,"1,261",610,446,970,785,525,266,439
2021,9,80,"4,454",894,189,247,572,273,258,501,472,436,255,357
2021,9,90,683,140,32,31,95,38,37,69,59,90,42,50
2021,9,100,15,4,1,2,1,2,2,0,1,2,0,0
2021,10,총,"129,450","23,858","2,193","6,212","25,821","18,927","14,567","12,573","10,912","3,935","1,670","8,782"
2021,10,0,"14,144","1,495",141,366,"2,760","2,989","2,472","1,218","1,148",185,50,"1,320"
2021,10,10,"11,703","2,096",90,602,"2,914","1,733","1,728",837,825,223,59,596
2021,10,20,"12,878","2,794",191,716,"2,633","1,820","1,057","1,186","1,287",264,98,832
2021,10,30,"19,489","2,312",253,581,"3,516","3,941","2,969","1,866","1,803",294,101,"1,853"
2021,10,40,"21,308","3,523",207,"1,086","4,914","3,372","2,976","1,734","1,585",431,111,"1,369"
2021,10,50,"20,658","4,969",422,"1,376","4,206","2,514","1,484","2,166","1,543",616,318,"1,044"
2021,10,60,"16,289","3,809",400,811,"2,939","1,628","1,139","2,021","1,388",870,370,914
2021,10,70,"7,805","1,815",268,391,"1,270",620,445,975,793,525,262,441
2021,10,80,"4,478",903,187,249,574,269,256,502,479,438,259,362
2021,10,90,683,139,32,32,94,39,39,68,60,87,42,51
2021,10,100,15,3,2,2,1,2,2,0,1,2,0,0
2021,11,총,"129,489","23,786","2,191","6,198","25,870","18,918","14,598","12,528","10,906","3,919","1,662","8,913"
2021,11,0,"14,113","1,471",142,368,"2,760","2,976","2,464","1,204","1,152",185,48,"1,343"
2021,11,10,"11,747","2,094",89,598,"2,922","1,736","1,741",844,828,221,60,614
2021,11,20,"12,779","2,761",187,714,"2,628","1,803","1,043","1,173","1,289",260,96,825
2021,11,30,"19,431","2,303",258,578,"3,518","3,917","2,943","1,849","1,794",294,99,"1,878"
2021,11,40,"21,375","3,519",210,"1,076","4,915","3,384","3,005","1,739","1,585",425,110,"1,407"
2021,11,50,"20,682","4,951",421,"1,371","4,230","2,525","1,503","2,151","1,537",616,316,"1,061"
2021,11,60,"16,333","3,813",399,817,"2,950","1,638","1,147","2,012","1,390",869,370,928
2021,11,70,"7,846","1,825",267,383,"1,278",626,451,982,792,533,263,446
2021,11,80,"4,488",904,185,259,570,272,260,506,480,430,259,363
2021,11,90,681,143,31,32,98,39,39,68,58,84,41,48
2021,11,100,14,2,2,2,1,2,2,0,1,2,0,0
2021,12,총,"129,302","23,683","2,201","6,171","25,843","18,838","14,553","12,503","10,933","3,913","1,655","9,009"
2021,12,0,"13,979","1,437",145,358,"2,731","2,949","2,441","1,195","1,134",184,51,"1,354"
2021,12,10,"11,737","2,065",90,592,"2,926","1,738","1,744",839,834,223,56,630
2021,12,20,"12,716","2,750",189,706,"2,607","1,776","1,038","1,163","1,301",258,93,835
2021,12,30,"19,319","2,285",262,576,"3,521","3,873","2,886","1,835","1,794",287,100,"1,900"
2021,12,40,"21,384","3,492",208,"1,068","4,895","3,391","3,034","1,728","1,602",430,107,"1,429"
2021,12,50,"20,617","4,935",419,"1,360","4,220","2,523","1,495","2,151","1,526",608,314,"1,066"
2021,12,60,"16,458","3,831",400,836,"2,967","1,647","1,160","2,029","1,405",875,369,939
2021,12,70,"7,850","1,828",265,378,"1,297",624,452,978,797,528,262,441
2021,12,80,"4,535",908,190,264,578,274,264,517,480,432,261,367
2021,12,90,693,150,31,32,100,41,38,68,58,85,42,48
2021,12,100,14,2,2,1,1,2,1,0,2,3,0,0
