년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020,2,30,"67,047","2,905","3,393","4,892","5,664","5,341","2,797","2,618","1,993","2,067","2,067","4,468","5,084","2,444","2,971","2,767","5,088","4,992","2,923","2,573"
2020,2,40,"89,654","3,543","4,442","4,813","5,638","6,864","4,502","4,243","5,359","6,837","3,694","6,214","5,960","3,228","4,088","3,900","5,908","4,040","3,725","2,656"
2020,2,50,"88,754","3,695","4,607","4,894","5,962","6,118","5,030","4,019","4,659","4,459","3,651","5,756","7,174","3,991","4,853","4,637","5,671","3,029","3,645","2,904"
2020,2,60,"65,544","3,105","4,285","4,495","5,232","4,245","3,351","2,379","2,227","1,958","2,585","4,724","5,679","2,763","4,172","3,573","3,840","2,202","2,704","2,025"
2020,2,70,"36,778","1,947","2,412","2,550","2,659","2,206","1,790","1,340","1,125",989,"1,848","3,266","2,855","1,404","2,767","2,263","1,977","1,153","1,355",872
2020,2,80,"15,742",699,948,"1,037","1,006",895,903,665,563,482,742,"1,466","1,198",556,"1,121",892,965,523,626,455
2020,2,90,"2,309",108,148,138,145,139,123,92,84,55,99,213,203,83,136,138,169,76,95,65
2020,2,100,261,13,12,14,15,14,7,4,13,12,13,14,49,12,27,26,4,4,3,5
2020,3,총,"531,037","23,055","27,726","31,175","38,163","40,028","28,222","23,124","25,651","27,819","21,058","36,265","39,773","20,888","27,246","25,031","34,191","23,567","21,614","16,441"
2020,3,0,"35,393","1,328","1,839","2,426","2,300","3,068","1,245","1,613","1,702","2,075","1,252","2,298","2,542","1,052","1,485","1,207","2,739","2,654","1,535","1,033"
2020,3,10,"55,811","1,841","2,301","2,270","2,885","4,668","3,468","2,932","4,591","5,878","2,478","3,416","3,505","2,009","2,200","2,185","3,209","2,221","2,283","1,471"
2020,3,20,"74,040","3,890","3,263","3,676","6,712","6,549","4,994","3,250","3,379","3,027","2,631","4,452","5,530","3,329","3,258","3,493","4,721","2,717","2,751","2,418"
2020,3,30,"66,867","2,905","3,396","4,883","5,604","5,314","2,790","2,602","1,997","2,091","2,072","4,479","5,058","2,429","3,019","2,745","5,056","4,974","2,904","2,549"
