년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2020,8,30,"4,639",390,73,31,64,78,107,72,54,52,86,322,251,169,129,275,382,354,"1,331",419
2020,8,40,"7,284",670,107,71,114,117,169,178,79,99,135,633,431,257,207,556,544,528,"1,762",627
2020,8,50,"9,255",942,281,146,176,193,273,277,201,180,329,734,573,386,333,622,764,803,"1,381",661
2020,8,60,"8,633","1,099",274,172,241,269,363,354,270,255,404,542,452,391,317,368,654,637,995,576
2020,8,70,"5,337",635,173,136,149,175,259,231,158,146,280,349,290,249,233,264,434,355,522,299
2020,8,80,"2,367",272,103,73,77,99,128,85,83,88,139,149,127,115,85,92,181,138,212,121
2020,8,90,207,28,11,10,7,11,9,12,6,9,7,9,8,11,6,10,13,16,16,8
2020,8,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,9,총,"51,284","5,223","1,232",736,"1,001","1,125","1,555","1,417","1,015",959,"1,554","3,997","2,967","1,993","1,710","3,345","4,051","4,046","9,507","3,851"
2020,9,0,"3,198",247,29,16,29,32,44,39,24,15,28,263,176,99,94,254,209,233,"1,085",282
2020,9,10,"4,684",357,51,27,46,58,73,68,44,39,73,526,296,133,138,467,345,403,"1,111",429
2020,9,20,"5,674",578,126,56,95,96,134,104,96,73,71,475,354,185,166,435,525,584,"1,083",438
2020,9,30,"4,625",390,74,31,67,76,107,69,53,52,86,323,256,167,130,274,384,348,"1,326",412
2020,9,40,"7,268",665,108,69,113,117,169,178,81,100,135,626,433,258,206,555,543,527,"1,762",623
2020,9,50,"9,257",942,281,146,178,193,270,276,200,182,324,737,573,387,335,627,757,800,"1,384",665
2020,9,60,"8,664","1,104",279,171,240,270,364,355,270,253,409,541,454,388,315,366,660,643,"1,005",577
2020,9,70,"5,317",635,170,137,148,173,256,226,155,146,279,345,287,251,232,264,436,356,522,299
2020,9,80,"2,371",273,103,72,77,98,129,88,84,88,140,152,128,113,88,92,179,137,212,118
2020,9,90,213,28,11,11,8,12,9,12,7,10,8,9,9,11,6,11,12,15,16,8
2020,9,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
