년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021,4,40,"4,117","1,239","1,242",86,112,93,109,125,84,326,231,127,272,71
2021,4,50,"6,649","1,512","1,911",170,242,186,200,268,156,575,468,198,586,177
2021,4,60,"7,690","1,373","2,278",223,290,224,214,354,192,787,619,253,664,219
2021,4,70,"6,572",995,"2,007",201,253,224,219,304,175,726,513,205,537,213
2021,4,80,"4,799",671,"1,279",199,219,215,212,272,123,518,407,143,364,177
2021,4,90,750,81,208,41,31,31,27,38,21,83,75,14,63,37
2021,4,100,31,6,10,1,1,1,1,1,1,1,4,0,3,1
2021,5,총,"39,891","9,058","11,571","1,105","1,413","1,173","1,208","1,676",888,"3,695","2,777","1,213","3,047","1,067"
2021,5,0,"1,658",640,490,29,36,29,36,63,17,105,63,43,83,24
2021,5,10,"2,545",845,807,42,62,46,72,76,49,166,121,68,160,31
2021,5,20,"2,886",948,792,63,85,68,58,105,41,223,138,92,193,80
2021,5,30,"2,398",799,694,49,79,56,56,67,27,186,143,74,122,46
2021,5,40,"4,068","1,227","1,218",88,115,93,107,127,84,317,231,126,265,70
2021,5,50,"6,580","1,492","1,878",168,239,188,201,268,158,570,461,195,586,176
2021,5,60,"7,653","1,363","2,238",226,293,220,221,358,192,788,619,248,669,218
2021,5,70,"6,531",993,"1,969",201,256,225,217,297,172,731,508,209,541,212
2021,5,80,"4,798",665,"1,275",196,215,215,211,278,127,524,413,144,359,176
2021,5,90,750,82,203,42,32,32,28,37,20,84,76,14,66,34
2021,5,100,24,4,7,1,1,1,1,0,1,1,4,0,3,0
2021,6,총,"39,838","9,043","11,549","1,106","1,414","1,169","1,202","1,666",894,"3,692","2,781","1,208","3,043","1,071"
2021,6,0,"1,636",632,479,29,36,28,37,61,15,104,63,43,83,26
2021,6,10,"2,548",844,814,42,61,47,70,72,52,163,125,67,159,32
2021,6,20,"2,860",936,786,63,86,67,56,102,42,223,139,90,192,78
2021,6,30,"2,386",798,694,47,77,56,55,70,26,181,139,72,124,47
2021,6,40,"4,050","1,222","1,213",88,112,94,106,124,85,321,230,124,262,69
2021,6,50,"6,539","1,484","1,851",171,243,186,198,266,158,566,458,196,585,177
2021,6,60,"7,709","1,384","2,254",227,296,219,225,360,195,790,621,249,670,219
2021,6,70,"6,515",990,"1,971",199,257,222,216,294,170,728,510,207,539,212
2021,6,80,"4,810",666,"1,273",197,213,216,209,279,130,531,414,145,359,178
2021,6,90,762,83,207,42,32,33,29,38,20,84,79,15,67,33
2021,6,100,23,4,7,1,1,1,1,0,1,1,3,0,3,0
2021,7,총,"39,790","9,004","11,574","1,109","1,415","1,160","1,197","1,666",892,"3,677","2,767","1,212","3,046","1,071"
2021,7,0,"1,618",613,480,29,37,28,39,61,15,105,62,44,81,24
2021,7,10,"2,547",848,821,42,60,45,67,72,51,161,125,66,158,31
2021,7,20,"2,841",924,785,63,85,65,57,105,42,217,136,88,197,77
2021,7,30,"2,394",793,695,46,77,57,59,71,27,185,138,73,125,48
2021,7,40,"4,023","1,208","1,222",89,111,91,103,120,83,315,225,125,260,71
2021,7,50,"6,526","1,489","1,850",173,237,186,192,266,159,566,456,195,579,178
2021,7,60,"7,720","1,383","2,259",224,303,219,229,362,195,785,619,250,673,219
2021,7,70,"6,517",988,"1,972",201,257,221,213,292,169,731,507,211,544,211
2021,7,80,"4,819",670,"1,271",199,214,216,209,279,130,529,419,144,359,180
2021,7,90,762,84,211,42,33,31,28,38,21,82,77,16,67,32
2021,7,100,23,4,8,1,1,1,1,0,0,1,3,0,3,0
2021,8,총,"39,734","8,956","11,588","1,109","1,418","1,167","1,191","1,665",893,"3,653","2,757","1,222","3,050","1,065"
2021,8,0,"1,601",600,485,27,37,30,38,63,14,99,57,46,81,24
2021,8,10,"2,543",843,813,43,61,49,66,74,50,163,125,66,160,30
2021,8,20,"2,824",924,791,64,84,65,57,101,43,216,131,84,192,72
2021,8,30,"2,379",789,699,46,77,54,59,69,27,171,136,77,127,48
2021,8,40,"3,999","1,186","1,222",86,116,96,100,116,84,318,220,124,261,70
2021,8,50,"6,511","1,483","1,846",174,232,185,190,264,157,565,461,202,576,176
2021,8,60,"7,747","1,390","2,269",224,305,220,229,366,192,789,618,248,677,220
2021,8,70,"6,495",983,"1,973",201,253,221,215,292,172,725,501,211,540,208
2021,8,80,"4,843",666,"1,274",202,219,214,207,280,132,528,428,147,365,181
2021,8,90,768,88,209,41,33,32,29,40,21,78,77,17,68,35
2021,8,100,24,4,7,1,1,1,1,0,1,1,3,0,3,1
2021,9,총,"39,592","8,928","11,562","1,103","1,417","1,150","1,185","1,657",892,"3,645","2,735","1,222","3,030","1,066"
2021,9,0,"1,580",595,480,25,38,29,37,61,14,101,55,43,80,22
2021,9,10,"2,522",834,808,43,59,49,66,70,49,162,126,68,159,29
2021,9,20,"2,787",908,780,63,86,59,57,103,46,213,128,86,186,72
2021,9,30,"2,360",789,689,44,78,52,58,68,28,173,129,75,128,49
2021,9,40,"3,965","1,181","1,218",82,118,95,97,112,84,316,212,126,253,71
2021,9,50,"6,502","1,488","1,843",174,230,182,192,268,156,563,457,202,574,173
2021,9,60,"7,740","1,390","2,276",228,300,220,227,359,194,788,616,247,673,222
2021,9,70,"6,467",974,"1,973",200,252,218,215,293,167,723,500,211,540,201
2021,9,80,"4,881",680,"1,280",202,221,213,206,281,133,527,431,147,369,191
2021,9,90,764,85,208,41,34,32,29,42,20,77,78,17,66,35
2021,9,100,24,4,7,1,1,1,1,0,1,2,3,0,2,1
2021,10,총,"39,564","8,906","11,555","1,101","1,416","1,152","1,184","1,649",892,"3,648","2,740","1,220","3,034","1,067"
2021,10,0,"1,560",594,469,25,37,28,36,60,16,100,52,41,79,23
2021,10,10,"2,513",832,803,41,59,51,65,69,50,164,125,68,157,29
2021,10,20,"2,789",902,788,62,87,57,57,102,45,213,125,88,191,72
2021,10,30,"2,341",777,688,47,75,52,59,65,27,171,130,73,129,48
2021,10,40,"3,928","1,176","1,196",80,114,95,96,112,84,312,218,124,250,71
2021,10,50,"6,533","1,496","1,850",169,236,185,192,268,157,572,457,203,578,170
2021,10,60,"7,750","1,391","2,280",228,300,218,229,358,195,790,619,249,669,224
2021,10,70,"6,450",968,"1,976",200,251,219,213,294,162,715,501,206,542,203
2021,10,80,"4,898",676,"1,287",207,223,214,207,276,135,531,430,151,370,191
2021,10,90,777,90,210,41,33,32,29,45,20,78,80,17,67,35
2021,10,100,25,4,8,1,1,1,1,0,1,2,3,0,2,1
2021,11,총,"39,478","8,885","11,525","1,087","1,412","1,144","1,180","1,647",888,"3,645","2,743","1,224","3,037","1,061"
2021,11,0,"1,538",591,461,21,36,26,36,59,16,101,51,42,75,23
2021,11,10,"2,506",828,802,39,59,48,63,70,49,165,128,67,158,30
2021,11,20,"2,774",896,783,62,86,57,57,103,44,209,127,91,191,68
2021,11,30,"2,319",773,678,46,73,50,57,63,26,171,127,72,135,48
2021,11,40,"3,899","1,159","1,185",77,112,94,99,111,83,310,221,125,250,73
2021,11,50,"6,513","1,502","1,851",170,227,184,188,268,158,573,450,201,572,169
2021,11,60,"7,770","1,395","2,280",227,308,218,228,357,194,786,626,251,678,222
