년도,월,나이,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021,10,30,"8,201","2,296",611,219,390,708,81,174,502,546,577,86,184,"1,049",778
2021,10,40,"10,651","3,541",618,318,536,859,110,298,670,368,483,136,162,"1,333","1,219"
2021,10,50,"16,048","4,907",874,665,"1,148","1,427",221,565,822,449,702,272,233,"1,889","1,874"
2021,10,60,"14,458","3,455",910,659,"1,074","1,403",335,651,994,590,807,373,318,"1,542","1,347"
2021,10,70,"5,763","1,201",364,237,377,502,161,303,494,310,411,218,139,595,451
2021,10,80,"2,499",488,144,120,184,219,87,132,199,131,223,106,61,239,166
2021,10,90,245,36,12,10,14,27,8,19,33,9,26,5,7,23,16
2021,10,100,13,2,0,0,1,1,0,1,1,1,2,1,0,1,2
2021,11,총,"78,786","23,198","4,646","2,658","4,466","6,844","1,183","2,585","4,916","3,438","4,438","1,431","1,436","9,571","7,976"
2021,11,0,"4,165","1,446",285,56,95,318,27,82,238,253,319,21,88,583,354
2021,11,10,"6,187","2,564",287,98,199,499,37,121,359,171,220,58,68,940,566
2021,11,20,"10,450","3,245",542,274,439,875,118,236,582,606,672,156,172,"1,372","1,161"
2021,11,30,"8,194","2,292",610,216,390,709,80,176,510,549,569,85,184,"1,048",776
2021,11,40,"10,638","3,536",618,319,538,854,110,296,673,371,484,137,165,"1,313","1,224"
2021,11,50,"16,069","4,902",872,663,"1,139","1,430",216,558,824,448,706,270,232,"1,918","1,891"
2021,11,60,"14,560","3,475",910,666,"1,090","1,413",339,662,999,588,810,379,321,"1,546","1,362"
2021,11,70,"5,760","1,206",366,235,373,502,160,303,495,311,409,215,136,590,459
2021,11,80,"2,503",492,142,120,187,216,88,132,201,131,221,104,64,240,165
2021,11,90,248,38,14,11,15,27,8,18,34,9,27,5,6,20,16
2021,11,100,12,2,0,0,1,1,0,1,1,1,1,1,0,1,2
2021,12,총,"78,915","23,202","4,647","2,647","4,455","6,878","1,184","2,588","4,949","3,439","4,434","1,435","1,448","9,593","8,016"
2021,12,0,"4,165","1,445",282,54,96,325,26,79,234,253,318,22,92,578,361
2021,12,10,"6,134","2,538",288,96,192,500,35,123,355,166,218,58,68,935,562
2021,12,20,"10,530","3,254",543,268,442,881,121,229,609,621,675,155,170,"1,399","1,163"
2021,12,30,"8,220","2,301",604,210,384,712,80,179,522,549,567,87,189,"1,047",789
