년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021,3,50,"15,918","4,520",250,377,505,314,295,187,202,"5,986","1,506","1,551",225
2021,3,60,"9,104","3,101",216,324,369,294,290,220,167,"2,159",853,923,188
2021,3,70,"3,674","1,316",130,208,215,221,227,114,125,559,263,205,91
2021,3,80,"1,488",498,73,110,117,121,114,74,70,182,64,27,38
2021,3,90,133,51,12,11,7,11,7,6,6,11,4,5,2
2021,3,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,4,총,"78,627","24,848","1,137","1,506","2,470","1,417","1,380",904,871,"30,260","6,328","6,519",987
2021,4,0,"6,626","2,195",44,34,130,26,31,18,13,"3,216",456,435,28
2021,4,10,"8,173","2,656",77,66,140,78,45,44,34,"3,715",579,666,73
2021,4,20,"11,583","3,341",128,158,358,127,121,77,74,"4,725",940,"1,410",124
2021,4,30,"9,765","2,990",80,78,264,94,91,54,69,"4,506",691,758,90
2021,4,40,"12,091","4,157",124,141,273,128,157,107,112,"5,209",986,564,133
2021,4,50,"15,905","4,509",252,371,572,314,292,185,198,"5,968","1,493","1,527",224
2021,4,60,"9,168","3,128",216,328,390,295,292,222,168,"2,172",853,919,185
2021,4,70,"3,689","1,324",128,208,218,222,229,116,127,557,264,207,89
2021,4,80,"1,491",497,74,110,118,122,115,75,70,181,62,28,39
2021,4,90,134,51,13,11,7,11,7,6,6,11,4,5,2
2021,4,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,5,총,"78,631","24,868","1,130","1,512","2,524","1,412","1,384",903,860,"30,251","6,330","6,480",977
2021,5,0,"6,616","2,194",45,34,132,28,34,19,13,"3,207",452,431,27
2021,5,10,"8,166","2,656",77,66,144,78,43,43,33,"3,708",584,662,72
2021,5,20,"11,544","3,343",125,153,369,123,119,78,73,"4,725",926,"1,389",121
2021,5,30,"9,753","2,979",81,81,266,92,91,51,68,"4,505",691,758,90
2021,5,40,"12,053","4,145",124,142,276,125,159,107,109,"5,183",987,565,131
2021,5,50,"15,902","4,497",250,369,595,314,294,182,195,"5,988","1,493","1,508",217
2021,5,60,"9,267","3,174",217,336,397,296,292,228,163,"2,185",864,927,188
2021,5,70,"3,703","1,332",125,204,221,222,231,116,131,555,267,208,91
2021,5,80,"1,488",497,72,114,116,123,113,74,69,183,62,27,38
2021,5,90,137,51,13,12,8,11,8,5,6,12,4,5,2
2021,5,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,6,총,"78,601","24,835","1,125","1,511","2,552","1,410","1,381",894,852,"30,295","6,311","6,465",970
2021,6,0,"6,590","2,178",48,34,131,28,35,17,13,"3,206",448,425,27
2021,6,10,"8,181","2,656",77,66,143,77,43,43,32,"3,736",581,658,69
2021,6,20,"11,513","3,332",125,151,369,121,120,76,73,"4,701",918,"1,405",122
2021,6,30,"9,702","2,956",80,80,276,90,89,50,64,"4,495",685,748,89
2021,6,40,"12,016","4,128",119,141,273,120,158,105,109,"5,192",983,560,128
2021,6,50,"15,911","4,506",248,362,615,320,292,181,193,"5,984","1,499","1,496",215
2021,6,60,"9,330","3,185",217,342,400,293,291,229,161,"2,229",864,931,188
2021,6,70,"3,727","1,343",124,208,220,228,231,115,133,560,266,208,91
2021,6,80,"1,487",499,73,114,117,122,113,72,67,180,63,29,38
2021,6,90,142,52,13,12,8,11,9,6,7,12,4,5,3
2021,6,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,7,총,"78,693","24,859","1,129","1,514","2,562","1,420","1,384",896,856,"30,361","6,301","6,450",961
2021,7,0,"6,586","2,174",51,34,138,28,35,18,13,"3,209",444,414,28
2021,7,10,"8,165","2,649",78,67,143,79,44,43,31,"3,737",572,656,66
2021,7,20,"11,484","3,329",122,153,364,123,116,79,73,"4,704",907,"1,395",119
2021,7,30,"9,729","2,962",79,76,283,91,92,49,64,"4,503",691,751,88
2021,7,40,"12,007","4,117",118,141,268,121,155,102,113,"5,200",983,564,125
2021,7,50,"15,930","4,514",247,362,613,321,298,182,191,"6,014","1,488","1,487",213
2021,7,60,"9,397","3,200",222,344,410,296,286,230,162,"2,240",877,940,190
2021,7,70,"3,752","1,358",122,210,215,226,235,115,134,566,271,210,90
2021,7,80,"1,500",504,76,113,122,123,114,73,68,176,64,28,39
2021,7,90,141,52,13,13,6,12,9,5,7,12,4,5,3
2021,7,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,8,총,"78,647","24,837","1,137","1,514","2,582","1,413","1,378",898,835,"30,365","6,286","6,447",955
2021,8,0,"6,541","2,149",51,35,141,28,34,20,13,"3,189",443,410,28
2021,8,10,"8,171","2,660",81,66,143,79,43,44,29,"3,735",568,660,63
2021,8,20,"11,433","3,320",121,150,363,121,117,80,72,"4,684",896,"1,389",120
2021,8,30,"9,709","2,958",82,78,287,90,88,48,65,"4,485",696,747,85
2021,8,40,"11,981","4,096",115,138,267,119,155,100,105,"5,221",971,572,122
2021,8,50,"15,948","4,522",251,357,620,319,296,185,188,"6,025","1,489","1,482",214
2021,8,60,"9,447","3,205",224,352,412,297,287,230,160,"2,265",885,939,191
2021,8,70,"3,763","1,365",122,210,222,222,235,113,128,571,270,214,91
2021,8,80,"1,512",510,77,113,121,127,115,73,68,177,64,29,38
2021,8,90,140,52,12,14,6,11,8,5,7,13,4,5,3
2021,8,100,2,0,1,1,0,0,0,0,0,0,0,0,0
