년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2021,1,30,"5,634",364,48,155,43,100,161,98,128,96,218,127,582,630,787,241,"1,856"
2021,1,40,"8,663",591,108,262,76,179,251,179,224,170,297,180,696,853,"1,328",318,"2,951"
2021,1,50,"11,940","1,027",221,530,179,344,476,385,479,351,605,496,989,"1,135","1,543",530,"2,650"
2021,1,60,"13,409","1,275",260,711,200,558,718,534,639,500,760,659,"1,133","1,406","1,547",673,"1,836"
2021,1,70,"9,242",996,172,596,147,389,541,351,515,316,702,467,721,952,930,536,911
2021,1,80,"5,519",526,112,445,87,347,415,272,411,219,479,322,350,428,466,306,334
2021,1,90,821,81,18,81,14,55,76,42,59,30,61,62,31,49,60,43,59
2021,1,100,58,11,0,4,1,0,3,0,5,0,6,7,4,8,5,2,2
2021,2,총,"71,030","5,794","1,114","3,180",842,"2,422","3,056","2,358","2,759","1,950","3,567","2,603","5,810","7,099","9,026","3,137","16,313"
2021,2,0,"3,974",204,43,105,12,56,88,45,54,82,89,75,366,431,637,126,"1,561"
2021,2,10,"5,487",331,60,144,39,235,128,144,101,79,125,89,404,563,859,154,"2,032"
2021,2,20,"6,121",379,74,158,36,139,188,302,149,91,214,118,528,615,832,208,"2,090"
2021,2,30,"5,630",366,49,148,45,101,165,103,124,99,219,131,578,633,782,242,"1,845"
2021,2,40,"8,689",596,105,255,76,181,254,181,223,174,298,180,698,861,"1,345",316,"2,946"
2021,2,50,"11,934","1,021",218,531,184,344,473,384,477,351,612,491,990,"1,149","1,533",523,"2,653"
2021,2,60,"13,521","1,280",260,719,201,572,721,529,645,510,761,660,"1,142","1,407","1,568",680,"1,866"
2021,2,70,"9,206",989,172,591,146,388,540,353,511,313,696,467,715,946,930,532,917
2021,2,80,"5,584",537,115,445,89,351,420,274,412,221,484,322,354,435,473,311,341
2021,2,90,824,80,18,80,13,55,76,43,58,30,63,63,31,50,62,42,60
2021,2,100,60,11,0,4,1,0,3,0,5,0,6,7,4,9,5,3,2
2021,3,총,"71,924","5,892","1,115","3,234",858,"2,493","3,110","2,433","2,796","1,964","3,601","2,654","5,911","7,177","9,074","3,172","16,440"
2021,3,0,"3,993",203,40,108,13,57,94,40,55,85,96,76,384,432,633,133,"1,544"
2021,3,10,"5,669",369,61,148,39,298,132,177,106,76,122,86,414,586,867,158,"2,030"
2021,3,20,"6,338",390,70,169,37,147,196,340,157,97,219,132,538,640,848,207,"2,151"
2021,3,30,"5,684",368,46,160,46,101,169,101,120,98,221,130,582,641,789,250,"1,862"
2021,3,40,"8,772",609,101,254,80,180,259,188,224,172,297,186,720,872,"1,343",318,"2,969"
2021,3,50,"12,032","1,031",223,537,189,336,481,379,481,357,625,503,993,"1,154","1,540",526,"2,677"
2021,3,60,"13,710","1,307",267,731,207,581,732,538,660,515,768,680,"1,162","1,415","1,570",697,"1,880"
2021,3,70,"9,195",979,173,590,142,384,541,356,513,310,693,465,720,945,944,529,911
2021,3,80,"5,639",546,116,453,90,351,424,270,416,224,492,324,360,433,476,310,354
2021,3,90,831,79,18,80,14,58,79,44,59,30,60,65,34,50,59,42,60
2021,3,100,61,11,0,4,1,0,3,0,5,0,8,7,4,9,5,2,2
2021,4,총,"71,800","5,873","1,118","3,239",858,"2,496","3,100","2,426","2,786","1,983","3,600","2,659","5,887","7,177","9,053","3,157","16,388"
2021,4,0,"3,983",203,39,107,12,55,94,39,56,86,100,77,382,436,636,130,"1,531"
2021,4,10,"5,636",368,60,147,39,297,130,173,105,78,122,88,416,589,861,157,"2,006"
2021,4,20,"6,326",389,71,168,36,147,191,341,156,97,219,132,531,636,848,203,"2,161"
2021,4,30,"5,647",359,47,160,46,94,167,104,117,99,212,130,578,641,792,251,"1,850"
2021,4,40,"8,727",607,98,261,80,182,260,183,222,170,296,184,713,871,"1,331",314,"2,955"
2021,4,50,"11,986","1,024",228,535,190,338,476,382,480,357,621,500,986,"1,144","1,534",522,"2,669"
2021,4,60,"13,756","1,316",269,735,207,583,738,531,659,526,772,682,"1,160","1,421","1,573",697,"1,887"
2021,4,70,"9,169",963,171,581,144,389,535,358,509,316,691,467,727,947,934,525,912
2021,4,80,"5,681",556,118,463,89,351,427,272,418,223,497,327,358,433,478,316,355
2021,4,90,829,77,17,78,14,60,79,43,59,31,62,65,32,50,61,40,61
2021,4,100,60,11,0,4,1,0,3,0,5,0,8,7,4,9,5,2,1
