년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2021,1,0,"24,694","2,797","2,253","1,469","2,256",669,926,"1,688","1,854",843,"1,114","1,045","1,169",617,963,"2,498","2,533"
2021,1,10,"28,282","1,675","2,314","1,615","2,029",879,"1,148","1,905","1,741","1,210",950,"1,323","1,568",810,"1,468","3,487","4,160"
2021,1,20,"61,680","3,183","6,418","2,978","2,233","3,401","1,812","3,455","4,602","6,237","3,592","3,484","2,888","3,237","3,124","6,748","4,288"
2021,1,30,"64,383","5,163","6,556","3,630","3,775","2,387","1,860","3,746","4,082","5,379","3,727","3,933","2,966","3,093","3,384","6,713","3,989"
2021,1,40,"60,825","4,255","5,513","3,207","4,410","2,089","2,180","3,904","4,010","3,716","2,652","3,246","3,276","2,340","3,314","6,564","6,149"
2021,1,50,"54,289","3,886","6,407","3,499","2,958","2,034","1,763","3,572","3,699","3,105","2,356","2,982","2,816","2,019","2,892","5,783","4,518"
2021,1,60,"39,802","2,783","4,466","2,698","2,181","1,500","1,163","2,485","2,459","2,306","1,946","2,435","2,166","1,740","2,201","4,272","3,001"
2021,1,70,"24,313","1,235","2,594","1,567","1,283",913,799,"1,550","1,397","1,571","1,225","1,618","1,472","1,106","1,356","2,894","1,733"
2021,1,80,"11,194",671,"1,278",864,629,456,392,683,677,756,539,648,566,509,556,"1,191",779
2021,1,90,"1,683",120,166,144,91,81,50,114,97,141,85,80,68,88,62,186,110
2021,1,100,347,53,40,29,11,24,12,19,18,27,21,7,18,20,14,17,17
2021,2,총,"371,200","25,848","37,973","21,697","21,814","14,459","12,160","23,053","24,773","25,345","18,132","20,778","18,913","15,555","19,333","40,179","31,188"
2021,2,0,"24,519","2,820","2,256","1,476","2,238",678,935,"1,682","1,835",837,"1,092","1,032","1,147",607,945,"2,462","2,477"
2021,2,10,"28,232","1,695","2,300","1,606","2,046",893,"1,144","1,897","1,724","1,217",943,"1,329","1,558",802,"1,468","3,459","4,151"
2021,2,20,"61,599","3,155","6,365","2,970","2,223","3,395","1,817","3,420","4,773","6,228","3,554","3,484","2,866","3,231","3,128","6,688","4,302"
2021,2,30,"64,115","5,110","6,552","3,631","3,726","2,398","1,865","3,717","4,092","5,403","3,701","3,918","2,954","3,091","3,370","6,652","3,935"
2021,2,40,"60,829","4,315","5,513","3,190","4,405","2,091","2,195","3,906","4,001","3,731","2,650","3,245","3,259","2,335","3,330","6,551","6,112"
2021,2,50,"54,414","3,878","6,410","3,517","2,976","2,038","1,780","3,579","3,682","3,113","2,356","2,991","2,830","2,015","2,893","5,795","4,561"
2021,2,60,"39,913","2,787","4,505","2,703","2,185","1,502","1,178","2,484","2,474","2,316","1,959","2,424","2,169","1,741","2,204","4,279","3,003"
2021,2,70,"24,272","1,234","2,587","1,564","1,281",897,791,"1,547","1,399","1,568","1,223","1,614","1,468","1,114","1,364","2,887","1,734"
2021,2,80,"11,256",676,"1,276",867,630,463,395,688,680,760,546,655,576,508,554,"1,198",784
2021,2,90,"1,704",125,170,145,93,80,47,115,95,144,88,79,67,91,62,191,112
2021,2,100,347,53,39,28,11,24,13,18,18,28,20,7,19,20,15,17,17
2021,3,총,"368,518","25,549","37,549","21,443","21,735","14,415","12,535","22,839","24,868","25,034","17,735","20,601","18,794","15,404","19,134","39,978","30,905"
