년도,월,나이,완도군,완도읍,금일읍,노화읍,노화읍넙도출장소,군외면,신지면,고금면,약산면,청산면,청산면모도출장소,소안면,금당면,보길면,생일면
2021,8,총,"24,757","9,107","1,860","2,159",432,"1,596","1,731","2,063","1,182","1,007",117,"1,227",493,"1,353",430
2021,8,0,"1,530",746,97,139,24,50,58,83,71,30,3,64,20,123,22
2021,8,10,"1,831",870,96,220,26,59,95,134,43,49,5,70,30,118,16
2021,8,20,"2,195","1,068",126,161,28,100,137,160,81,75,10,85,33,91,40
2021,8,30,"2,011",835,163,196,49,99,115,131,59,79,2,94,36,122,31
2021,8,40,"3,533","1,375",272,334,81,201,226,248,139,106,18,185,66,215,67
2021,8,50,"4,470","1,645",331,359,68,307,342,369,229,205,23,198,96,224,74
2021,8,60,"4,348","1,411",374,336,76,358,335,345,244,218,22,226,90,232,81
2021,8,70,"3,270",844,269,272,67,299,260,369,216,150,24,187,78,165,70
2021,8,80,"1,444",285,123,136,13,117,149,208,91,83,10,106,39,57,27
2021,8,90,123,28,9,6,0,6,14,16,9,11,0,11,5,6,2
2021,8,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,9,총,"24,677","9,090","1,856","2,153",428,"1,591","1,726","2,055","1,178","1,007",115,"1,214",492,"1,346",426
2021,9,0,"1,531",743,96,140,24,51,58,83,71,30,3,64,20,126,22
2021,9,10,"1,827",868,98,221,27,59,95,132,42,49,5,69,30,116,16
2021,9,20,"2,149","1,045",124,157,27,98,136,158,83,73,8,78,34,88,40
2021,9,30,"1,986",832,158,191,48,97,114,131,56,78,2,94,37,120,28
2021,9,40,"3,515","1,368",273,334,81,200,224,248,139,105,17,182,65,213,66
2021,9,50,"4,447","1,644",331,359,67,303,338,366,226,207,24,197,93,220,72
2021,9,60,"4,365","1,425",368,333,75,359,336,344,246,218,22,229,90,236,84
2021,9,70,"3,281",849,273,274,66,301,260,369,215,152,24,187,79,164,68
2021,9,80,"1,449",286,126,138,13,117,151,207,91,83,10,103,39,57,28
2021,9,90,125,30,9,6,0,6,14,17,9,11,0,10,5,6,2
2021,9,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,10,총,"24,606","9,070","1,854","2,151",425,"1,588","1,712","2,043","1,172","1,012",115,"1,209",486,"1,341",428
2021,10,0,"1,515",741,95,137,23,50,58,83,70,29,3,62,18,124,22
2021,10,10,"1,832",870,98,219,27,61,95,131,44,49,5,70,30,117,16
2021,10,20,"2,121","1,035",121,160,25,98,131,155,81,72,8,76,35,85,39
2021,10,30,"1,973",825,161,191,48,94,114,129,57,75,2,94,34,119,30
2021,10,40,"3,497","1,366",273,332,81,200,216,247,135,109,17,180,64,212,65
2021,10,50,"4,435","1,637",329,360,66,303,337,364,227,213,24,196,89,217,73
2021,10,60,"4,369","1,428",366,336,75,358,332,347,246,218,22,229,94,235,83
2021,10,70,"3,287",853,274,274,67,298,262,365,212,151,24,189,79,169,70
2021,10,80,"1,451",284,128,136,13,120,153,206,91,84,10,102,38,58,28
2021,10,90,124,31,9,6,0,6,14,16,9,11,0,10,5,5,2
2021,10,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,11,총,"24,537","9,051","1,842","2,150",420,"1,584","1,701","2,030","1,167","1,017",115,"1,210",485,"1,335",430
