년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021,10,50,"2,395",825,153,177,144,153,137,182,204,122,86,212
2021,10,60,"2,584",654,166,234,167,240,152,252,248,130,100,241
2021,10,70,"1,680",374,114,146,140,121,104,140,150,101,90,200
2021,10,80,909,171,56,90,78,65,74,73,75,64,52,111
2021,10,90,109,22,4,6,7,7,4,17,14,10,3,15
2021,10,100,3,0,0,0,0,1,0,0,0,2,0,0
2021,11,총,"13,211","4,926",728,970,836,845,705,953,"1,031",603,507,"1,107"
2021,11,0,686,432,16,29,29,22,27,24,48,10,24,25
2021,11,10,"1,107",665,44,44,43,37,43,62,71,19,24,55
2021,11,20,"1,086",567,60,52,54,49,40,64,67,43,26,64
2021,11,30,873,413,39,55,58,62,43,39,52,38,27,47
2021,11,40,"1,760",794,70,129,119,88,82,101,102,65,73,137
2021,11,50,"2,393",829,156,178,143,154,133,183,199,122,89,207
2021,11,60,"2,603",652,167,243,167,240,154,252,252,130,99,247
2021,11,70,"1,670",378,115,145,134,117,103,138,152,101,90,197
2021,11,80,920,175,57,89,81,68,75,74,73,64,50,114
2021,11,90,110,21,4,6,8,7,5,16,15,9,5,14
2021,11,100,3,0,0,0,0,1,0,0,0,2,0,0
2021,12,총,"13,189","4,927",731,968,838,844,697,954,"1,030",596,499,"1,105"
2021,12,0,679,434,16,29,28,21,25,25,47,10,19,25
2021,12,10,"1,102",664,45,42,42,37,41,62,71,20,24,54
2021,12,20,"1,092",566,60,53,56,48,38,65,73,43,26,64
2021,12,30,870,407,40,53,60,61,43,41,54,37,26,48
2021,12,40,"1,737",792,67,127,118,86,80,102,97,63,71,134
2021,12,50,"2,400",834,157,176,143,157,135,181,197,121,88,211
2021,12,60,"2,618",656,169,247,169,242,153,253,254,130,99,246
2021,12,70,"1,646",375,113,145,131,115,98,137,148,101,91,192
2021,12,80,934,177,60,89,84,69,79,73,75,62,49,117
2021,12,90,110,22,4,7,7,7,5,15,14,9,6,14
2021,12,100,1,0,0,0,0,1,0,0,0,0,0,0
