년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021,2,20,"23,945","7,044","2,959","1,577",592,650,59,97,"1,820","1,485",,"1,224","2,641","2,271","1,526"
2021,2,30,"29,817","10,309","3,238","1,566",578,755,48,123,"1,847","1,578",,"1,456","2,828","2,559","2,932"
2021,2,40,"35,439","10,729","4,401","1,925",809,"1,334",84,200,"2,158","1,949",,"1,636","3,505","3,063","3,646"
2021,2,50,"32,592","8,435","4,272","2,555","1,033","1,335",149,274,"2,365","1,989",,"1,461","3,659","2,987","2,078"
2021,2,60,"24,607","6,379","3,113","1,882",989,"1,432",209,287,"1,594","1,512",,"1,051","2,550","2,336","1,273"
2021,2,70,"10,741","2,834","1,298",805,428,792,106,148,708,648,,407,"1,004",970,593
2021,2,80,"3,225",825,410,311,159,231,60,72,203,164,,117,278,238,157
2021,2,90,283,81,32,25,18,27,8,5,14,16,,5,24,18,10
2021,2,100,27,6,1,7,2,2,0,0,6,0,,0,3,0,0
2021,3,총,"195,851","57,028","24,067","12,330","5,197","7,792",781,"1,374","12,885","11,119",,"9,185","19,914","17,229","16,950"
2021,3,0,"17,755","5,761","1,938",706,237,534,22,73,"1,035",805,,"1,024","1,564","1,371","2,685"
2021,3,10,"17,267","4,521","2,417",972,346,662,33,100,"1,161",979,,792,"1,833","1,383","2,068"
2021,3,20,"23,983","7,042","2,958","1,578",591,655,59,93,"1,826","1,481",,"1,226","2,648","2,292","1,534"
2021,3,30,"29,690","10,255","3,230","1,555",584,760,50,117,"1,849","1,575",,"1,458","2,816","2,542","2,899"
2021,3,40,"35,417","10,768","4,361","1,926",805,"1,342",84,203,"2,140","1,936",,"1,629","3,512","3,056","3,655"
2021,3,50,"32,600","8,459","4,275","2,552","1,028","1,334",149,272,"2,355","1,978",,"1,463","3,652","2,994","2,089"
