년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,12,0,"3,266",123,79,27,36,36,30,28,21,47,42,24,23,38,17,26,739,72,830,80,529,243,101,75
2020,12,10,"5,131",230,155,82,41,50,38,57,58,51,84,40,34,92,26,41,"1,077",150,"1,380",137,758,257,167,126
2020,12,20,"5,848",218,207,122,72,111,67,80,74,106,142,77,48,95,45,65,"1,236",184,"1,261",196,654,315,242,231
2020,12,30,"4,716",222,166,81,71,128,53,54,61,83,102,109,68,73,33,63,"1,019",115,920,131,510,327,154,173
2020,12,40,"7,794",364,256,144,117,181,105,107,122,146,220,145,96,146,53,119,"1,597",245,"1,600",205,814,517,249,246
2020,12,50,"9,898",491,469,331,216,251,158,202,197,274,334,257,162,246,137,230,"1,558",296,"1,701",264,828,481,427,388
2020,12,60,"8,394",490,424,310,202,312,193,181,216,270,333,325,172,231,160,237,957,221,"1,189",281,572,415,349,354
2020,12,70,"5,777",389,265,195,191,216,168,139,179,200,263,277,149,175,94,181,519,137,718,216,342,304,206,254
2020,12,80,"2,691",170,127,124,106,112,74,57,101,110,157,123,80,103,47,94,173,66,268,104,129,115,98,153
2020,12,90,254,22,9,8,8,10,5,10,12,12,24,11,15,5,4,9,15,3,22,12,7,11,11,9
2020,12,100,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2021,1,총,"53,748","2,721","2,159","1,428","1,064","1,404",896,914,"1,040","1,291","1,695","1,393",854,"1,199",614,"1,063","8,876","1,482","9,902","1,614","5,137","2,998","1,992","2,012"
2021,1,0,"3,229",123,80,26,40,35,32,27,22,48,40,26,24,40,15,26,722,69,819,83,516,249,94,73
