년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020,12,50,"18,344","1,398",673,"1,144","1,553","1,093","1,161",753,975,"1,722","2,204",651,527,583,"1,576","1,112","1,219"
2020,12,60,"13,760","1,047",645,956,"1,111",788,817,498,707,"1,292","1,441",598,481,502,"1,292",699,886
2020,12,70,"7,401",585,416,396,628,370,470,264,406,662,744,328,242,351,699,323,517
2020,12,80,"3,219",195,151,143,267,151,188,121,154,275,460,117,146,161,284,219,187
2020,12,90,503,34,21,29,25,22,17,25,14,53,94,12,22,24,47,31,33
2020,12,100,107,6,6,15,10,5,4,2,5,14,8,2,7,3,10,3,7
2021,1,총,"110,700","8,566","4,784","4,651","9,311","7,753","6,667","4,850","5,870","9,901","13,125","4,087","3,311","4,279","10,193","6,327","7,025"
2021,1,0,"6,928",487,188,92,325,662,466,401,384,587,"1,435",288,114,223,624,404,248
2021,1,10,"7,911",701,272,147,628,454,498,395,426,527,"1,453",258,141,230,589,741,451
2021,1,20,"15,891","1,299",808,457,"1,675","1,039",883,738,881,"1,414","1,451",473,553,697,"1,402",887,"1,234"
2021,1,30,"18,997","1,456",884,553,"1,697","1,803","1,039",905,986,"1,932","1,610",737,648,829,"1,984",734,"1,200"
2021,1,40,"17,537","1,342",717,708,"1,392","1,347","1,130",754,919,"1,403","2,207",622,432,679,"1,675","1,162","1,048"
2021,1,50,"18,338","1,405",667,"1,137","1,545","1,106","1,158",752,983,"1,726","2,206",648,525,581,"1,572","1,117","1,210"
2021,1,60,"13,819","1,046",652,967,"1,115",794,812,493,708,"1,302","1,454",597,481,505,"1,297",709,887
2021,1,70,"7,426",595,415,401,623,370,468,266,407,662,746,332,247,351,704,320,519
