년도,월,나이,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2021,3,10,"10,828",118,"1,028",292,638,118,162,103,47,91,"1,227",161,159,176,176,429,96,876,177,"1,306","1,931","1,172",301,44,
2021,3,20,"14,915",227,"1,304",443,"1,229",283,394,160,81,102,"1,220",283,310,297,346,"1,111",207,"1,052",281,"1,430","1,992","1,653",425,85,
2021,3,30,"13,392",190,937,387,"1,472",270,295,155,62,83,"1,480",213,320,279,305,740,163,756,253,"1,618","1,519","1,241",582,72,
2021,3,40,"19,005",381,"1,727",608,"1,723",244,419,234,112,171,"1,856",408,407,348,413,974,278,"1,218",402,"2,089","2,387","1,777",716,113,
2021,3,50,"24,140",558,"2,587",891,"2,336",387,746,485,305,327,"1,793",696,577,424,605,"1,171",458,"1,427",532,"1,910","2,663","2,179",911,172,
2021,3,60,"20,639",620,"2,177","1,037","1,979",438,674,602,519,363,"1,200",705,579,482,645,"1,171",540,895,540,"1,197","1,560","1,654",859,203,
2021,3,70,"11,002",375,"1,314",648,929,264,352,384,313,282,534,414,348,336,404,784,345,416,356,401,519,697,474,113,
2021,3,80,"4,166",170,526,288,311,116,134,168,133,132,186,165,129,123,156,251,165,165,135,129,168,211,171,34,
2021,3,90,336,14,35,22,29,9,16,16,8,7,7,22,12,5,14,15,13,10,16,14,13,19,17,3,
2021,3,100,13,1,1,0,2,1,0,1,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,
2021,4,총,"126,589","2,728","12,176","4,789","11,437",0,"3,340","2,366","1,606","1,589","10,715","3,143","2,972","2,567","3,111","6,876","2,315","7,391","2,875","11,589","13,930","11,177","4,800",857,"2,240"
2021,4,0,"8,167",75,584,179,683,0,140,53,29,26,"1,249",84,139,100,75,241,47,583,180,"1,433","1,206",600,324,21,116
2021,4,10,"10,753",121,"1,015",284,644,0,160,103,48,92,"1,210",161,157,178,169,430,93,869,178,"1,316","1,909","1,158",301,41,116
2021,4,20,"14,877",220,"1,290",447,"1,232",0,395,159,77,101,"1,206",276,293,292,339,"1,111",212,"1,049",281,"1,435","2,003","1,652",433,87,287
2021,4,30,"13,374",188,924,382,"1,500",0,298,154,62,86,"1,476",208,325,277,304,737,165,751,250,"1,627","1,512","1,235",572,71,270
2021,4,40,"18,982",385,"1,720",597,"1,729",0,422,235,112,169,"1,847",410,408,350,413,966,274,"1,217",402,"2,103","2,378","1,771",722,112,240
2021,4,50,"24,125",560,"2,577",896,"2,355",0,744,479,304,324,"1,787",691,582,429,592,"1,166",461,"1,432",536,"1,914","2,662","2,162",916,173,383
