년도,월,나이,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021,9,70,"9,930","1,615",798,"2,863","1,119",772,"2,763"
2021,9,80,"4,308",762,346,"1,213",433,376,"1,178"
2021,9,90,542,77,33,162,75,38,157
2021,9,100,27,0,4,12,2,5,4
2021,10,총,"230,403","35,682","20,702","61,095","31,987","16,229","64,708"
2021,10,0,"22,117","3,720",832,"6,649","3,837","1,275","5,804"
2021,10,10,"24,873","4,151","1,149","7,175","3,358","1,909","7,131"
2021,10,20,"31,336","4,400","3,843","7,029","4,063","2,243","9,758"
2021,10,30,"37,661","5,288","4,991","9,447","5,694","2,343","9,898"
2021,10,40,"43,813","6,709","3,912","11,883","6,172","3,072","12,065"
2021,10,50,"33,932","5,500","2,936","8,520","4,340","2,547","10,089"
2021,10,60,"21,814","3,446","1,863","6,124","2,881","1,641","5,859"
2021,10,70,"9,954","1,630",792,"2,868","1,124",773,"2,767"
2021,10,80,"4,332",762,348,"1,225",439,383,"1,175"
2021,10,90,543,76,32,162,77,38,158
2021,10,100,28,0,4,13,2,5,4
2021,11,총,"230,165","35,597","20,632","61,051","31,974","16,198","64,713"
2021,11,0,"21,870","3,672",819,"6,592","3,791","1,247","5,749"
2021,11,10,"24,897","4,153","1,134","7,191","3,369","1,917","7,133"
2021,11,20,"31,265","4,378","3,794","7,023","4,067","2,244","9,759"
2021,11,30,"37,425","5,249","4,965","9,356","5,655","2,334","9,866"
2021,11,40,"43,876","6,696","3,928","11,927","6,198","3,060","12,067"
2021,11,50,"34,020","5,531","2,934","8,541","4,357","2,550","10,107"
2021,11,60,"21,924","3,451","1,875","6,149","2,891","1,652","5,906"
2021,11,70,"9,951","1,627",792,"2,870","1,118",769,"2,775"
2021,11,80,"4,360",762,354,"1,227",450,382,"1,185"
2021,11,90,556,78,34,168,76,38,162
2021,11,100,21,0,3,7,2,5,4
2021,12,총,"229,983","35,537","20,644","61,008","31,971","16,188","64,635"
2021,12,0,"21,682","3,641",822,"6,533","3,773","1,235","5,678"
2021,12,10,"24,904","4,150","1,121","7,223","3,375","1,921","7,114"
2021,12,20,"31,150","4,367","3,789","6,997","4,055","2,241","9,701"
2021,12,30,"37,349","5,222","4,984","9,291","5,664","2,328","9,860"
2021,12,40,"43,914","6,688","3,923","11,976","6,189","3,053","12,085"
2021,12,50,"34,049","5,520","2,936","8,545","4,372","2,556","10,120"
2021,12,60,"22,019","3,477","1,881","6,166","2,900","1,659","5,936"
2021,12,70,"9,954","1,628",789,"2,861","1,120",775,"2,781"
2021,12,80,"4,385",767,361,"1,239",446,381,"1,191"
2021,12,90,560,77,35,170,75,38,165
2021,12,100,17,0,3,7,2,1,4
